step,loss
1,0.843810
10,0.690635
20,0.572206
30,0.515853
40,0.469345
50,0.424555
60,0.359392
70,0.325091
80,0.296646
90,0.268094
100,0.243438
110,0.217282
120,0.203800
130,0.195295
140,0.184817
150,0.179011
160,0.163540
170,0.160006
180,0.155614
190,0.153416
200,0.151208
210,0.148684
220,0.147781
230,0.146304
240,0.144048
250,0.145435
260,0.135120
270,0.131419
280,0.130047
290,0.127821
300,0.123517
310,0.117050
320,0.115010
330,0.111517
340,0.107218
350,0.103930
360,0.105838
370,0.101450
380,0.096297
390,0.095389
400,0.093990
410,0.088024
420,0.082453
430,0.081615
440,0.083193
450,0.081182
460,0.079149
470,0.077707
480,0.073323
490,0.071485
500,0.069086
510,0.076074
520,0.072026
530,0.076379
540,0.078824
550,0.076872
560,0.074240
570,0.068722
580,0.073115
590,0.077608
600,0.082950
610,0.083462
620,0.078755
630,0.076975
640,0.074687
650,0.074233
660,0.079653
670,0.083795
680,0.083153
690,0.082798
700,0.084948
710,0.091287
720,0.096858
730,0.100565
740,0.100430
750,0.104206
760,0.108583
770,0.110247
780,0.111579
790,0.113106
800,0.114871
810,0.108251
820,0.106357
830,0.105332
840,0.108672
850,0.109548
860,0.114979
870,0.113914
880,0.112883
890,0.111094
900,0.114222
910,0.119649
920,0.123742
930,0.127844
940,0.129559
950,0.133696
960,0.137553
970,0.144785
980,0.153864
990,0.162687
1000,0.172673
