step,loss
1,0.864949
10,0.756225
20,0.677171
30,0.627986
40,0.581560
50,0.532686
60,0.479883
70,0.436587
80,0.396641
90,0.354755
100,0.316299
110,0.282019
120,0.260826
130,0.250870
140,0.241462
150,0.236132
160,0.224337
170,0.213763
180,0.199604
190,0.188703
200,0.174834
210,0.156170
220,0.146740
230,0.136951
240,0.128683
250,0.123934
260,0.113970
270,0.109470
280,0.103923
290,0.098619
300,0.095772
310,0.094422
320,0.089703
330,0.088397
340,0.085162
350,0.085354
360,0.086014
370,0.084183
380,0.087725
390,0.088495
400,0.086224
410,0.084467
420,0.081235
430,0.079690
440,0.081226
450,0.079902
460,0.084045
470,0.084325
480,0.082285
490,0.084196
500,0.081144
510,0.085480
520,0.084395
530,0.081937
540,0.082338
550,0.083287
560,0.083679
570,0.082619
580,0.082557
590,0.080496
600,0.080902
610,0.080573
620,0.078740
630,0.076713
640,0.076182
650,0.076658
660,0.079823
670,0.078933
680,0.078628
690,0.078385
700,0.077511
710,0.078736
720,0.079251
730,0.077966
740,0.078865
750,0.078144
760,0.079810
770,0.076948
780,0.076926
790,0.076840
800,0.076081
810,0.078070
820,0.077424
830,0.077837
840,0.077590
850,0.075753
860,0.085625
870,0.081638
880,0.078550
890,0.079879
900,0.078954
910,0.079429
920,0.078959
930,0.079537
940,0.078851
950,0.078339
960,0.078908
970,0.081763
980,0.079923
990,0.077085
1000,0.080200
