step,loss
1,0.951222
10,0.799183
20,0.700513
30,0.655441
40,0.613746
50,0.572411
60,0.522780
70,0.487411
80,0.451308
90,0.415380
100,0.377188
110,0.333852
120,0.297300
130,0.272753
140,0.255685
150,0.248753
160,0.232970
170,0.225334
180,0.219772
190,0.206646
200,0.201959
210,0.203917
220,0.199818
230,0.194337
240,0.191053
250,0.179401
260,0.180944
270,0.177486
280,0.175616
290,0.172373
300,0.171605
310,0.165021
320,0.163027
330,0.160706
340,0.154692
350,0.153697
360,0.149234
370,0.143870
380,0.138711
390,0.135055
400,0.128667
410,0.128490
420,0.128011
430,0.125124
440,0.124250
450,0.122799
460,0.122656
470,0.122306
480,0.119082
490,0.117325
500,0.112489
510,0.111563
520,0.113902
530,0.112411
540,0.113469
550,0.109910
560,0.111079
570,0.106983
580,0.109061
590,0.112342
600,0.106743
610,0.103839
620,0.102366
630,0.096328
640,0.095629
650,0.089498
660,0.090368
670,0.088526
680,0.090512
690,0.086411
700,0.085588
710,0.083846
720,0.083174
730,0.081839
740,0.082287
750,0.081871
760,0.082125
770,0.080673
780,0.081196
790,0.082386
800,0.082257
810,0.082503
820,0.082061
830,0.082467
840,0.082426
850,0.083474
860,0.088532
870,0.087896
880,0.084090
890,0.084129
900,0.090614
910,0.087856
920,0.081078
930,0.074503
940,0.071222
950,0.068039
960,0.065971
970,0.065164
980,0.066605
990,0.065926
1000,0.066516
