step,loss
1,0.742102
10,0.607178
20,0.507905
30,0.445902
40,0.394169
50,0.353876
60,0.320579
70,0.298733
80,0.277642
90,0.254204
100,0.229553
110,0.210322
120,0.189542
130,0.179467
140,0.170862
150,0.162752
160,0.155918
170,0.152524
180,0.147001
190,0.142490
200,0.139743
210,0.138181
220,0.135629
230,0.134398
240,0.134862
250,0.139674
260,0.139555
270,0.139790
280,0.141036
290,0.143851
300,0.144225
310,0.139682
320,0.135266
330,0.133539
340,0.132712
350,0.132714
360,0.130519
370,0.129091
380,0.128136
390,0.128772
400,0.129083
410,0.129816
420,0.129235
430,0.128270
440,0.128586
450,0.128671
460,0.127371
470,0.126576
480,0.127602
490,0.125983
500,0.124916
510,0.125839
520,0.123538
530,0.122815
540,0.120112
550,0.119184
560,0.118890
570,0.117828
580,0.115727
590,0.111451
600,0.110017
610,0.109887
620,0.110170
630,0.107906
640,0.108421
650,0.107822
660,0.107897
670,0.108547
680,0.109003
690,0.114028
700,0.113543
710,0.114660
720,0.115848
730,0.115893
740,0.117832
750,0.116883
760,0.117478
770,0.116754
780,0.116537
790,0.115477
800,0.115465
810,0.119281
820,0.115445
830,0.115361
840,0.114979
850,0.115302
860,0.114843
870,0.114660
880,0.114350
890,0.115047
900,0.115501
910,0.114808
920,0.114489
930,0.115468
940,0.115748
950,0.116890
960,0.116220
970,0.117428
980,0.118432
990,0.117432
1000,0.117272
