step,loss
1,0.864949
10,0.756225
20,0.677171
30,0.627986
40,0.581560
50,0.532686
60,0.482129
70,0.438842
80,0.403486
90,0.363755
100,0.326471
110,0.302447
120,0.279463
130,0.269807
140,0.259508
150,0.251451
160,0.252332
170,0.244397
180,0.230554
190,0.223674
200,0.209315
210,0.197328
220,0.185489
230,0.173028
240,0.172791
250,0.163414
260,0.156333
270,0.148983
280,0.145553
290,0.148044
300,0.152631
310,0.159568
320,0.158043
330,0.154125
340,0.150260
350,0.148899
360,0.154777
370,0.156699
380,0.151814
390,0.146129
400,0.144885
410,0.147955
420,0.145519
430,0.143563
440,0.144507
450,0.144681
460,0.143978
470,0.144762
480,0.143172
490,0.146320
500,0.145040
510,0.142931
520,0.142071
530,0.141065
540,0.144858
550,0.147364
560,0.142068
570,0.137853
580,0.140650
590,0.138847
600,0.136693
610,0.136495
620,0.136833
630,0.134424
640,0.134080
650,0.130996
660,0.134862
670,0.135242
680,0.133718
690,0.130993
700,0.131362
710,0.134264
720,0.134364
730,0.134317
740,0.132273
750,0.134721
760,0.134959
770,0.134469
780,0.134191
790,0.131866
800,0.131952
810,0.131648
820,0.130393
830,0.132318
840,0.125271
850,0.124510
860,0.129264
870,0.127706
880,0.125274
890,0.126404
900,0.126085
910,0.125323
920,0.124603
930,0.124365
940,0.123979
950,0.124250
960,0.122994
970,0.121416
980,0.121918
990,0.123303
1000,0.121913
