step,loss
1,0.665099
10,0.535514
20,0.450420
30,0.401237
40,0.356443
50,0.316308
60,0.269605
70,0.242598
80,0.219002
90,0.195353
100,0.169578
110,0.148994
120,0.132283
130,0.119098
140,0.113227
150,0.104499
160,0.096922
170,0.088929
180,0.081260
190,0.076232
200,0.072978
210,0.068311
220,0.067287
230,0.063578
240,0.062802
250,0.059652
260,0.059176
270,0.057863
280,0.057504
290,0.059728
300,0.059046
310,0.059712
320,0.057751
330,0.055263
340,0.054912
350,0.053536
360,0.054310
370,0.053504
380,0.052801
390,0.052277
400,0.053166
410,0.052772
420,0.049616
430,0.047109
440,0.048608
450,0.049579
460,0.049524
470,0.050776
480,0.048183
490,0.051188
500,0.050889
510,0.046663
520,0.044448
530,0.040641
540,0.038244
550,0.038483
560,0.035342
570,0.035203
580,0.034749
590,0.034816
600,0.035204
610,0.035081
620,0.034606
630,0.033227
640,0.033088
650,0.032044
660,0.037149
670,0.034855
680,0.035469
690,0.033780
700,0.034171
710,0.035039
720,0.035582
730,0.034561
740,0.034741
750,0.032761
760,0.032998
770,0.033599
780,0.034333
790,0.034898
800,0.035436
810,0.033828
820,0.033948
830,0.034354
840,0.034427
850,0.032545
860,0.036021
870,0.034020
880,0.033124
890,0.032943
900,0.032354
910,0.032538
920,0.033445
930,0.035058
940,0.038266
950,0.039398
960,0.039149
970,0.039038
980,0.037488
990,0.037478
1000,0.035060
