step,loss
1,0.665099
10,0.535514
20,0.450420
30,0.401237
40,0.356443
50,0.316308
60,0.282373
70,0.254476
80,0.235410
90,0.209808
100,0.189329
110,0.173990
120,0.163205
130,0.152682
140,0.143844
150,0.138067
160,0.130388
170,0.120749
180,0.112282
190,0.108299
200,0.104839
210,0.103135
220,0.098997
230,0.095354
240,0.090864
250,0.088028
260,0.086266
270,0.084825
280,0.083448
290,0.083608
300,0.083513
310,0.083413
320,0.083238
330,0.082789
340,0.081213
350,0.080843
360,0.080671
370,0.081243
380,0.081033
390,0.078541
400,0.077669
410,0.077818
420,0.075720
430,0.074237
440,0.075108
450,0.074480
460,0.074186
470,0.073371
480,0.072389
490,0.073678
500,0.073269
510,0.073775
520,0.069501
530,0.070302
540,0.069911
550,0.068316
560,0.071615
570,0.070464
580,0.071906
590,0.069377
600,0.068757
610,0.068339
620,0.069408
630,0.069625
640,0.069177
650,0.068666
660,0.069745
670,0.068642
680,0.069435
690,0.070534
700,0.071191
710,0.070300
720,0.070152
730,0.068551
740,0.068170
750,0.068291
760,0.069050
770,0.069822
780,0.068240
790,0.068710
800,0.068099
810,0.067995
820,0.068896
830,0.068701
840,0.067576
850,0.066588
860,0.067174
870,0.068296
880,0.069990
890,0.067954
900,0.067541
910,0.067554
920,0.069443
930,0.070510
940,0.067214
950,0.066277
960,0.066483
970,0.067352
980,0.066955
990,0.066664
1000,0.066360
