step,loss
1,1.014083
10,0.911717
20,0.815247
30,0.734549
40,0.661002
50,0.585874
60,0.514327
70,0.451862
80,0.398441
90,0.363907
100,0.336062
110,0.319032
120,0.306108
130,0.300935
140,0.292421
150,0.283897
160,0.274444
170,0.264599
180,0.253126
190,0.244098
200,0.233290
210,0.220960
220,0.220666
230,0.216084
240,0.215529
250,0.214645
260,0.214664
270,0.217578
280,0.221628
290,0.219573
300,0.215418
310,0.213329
320,0.214669
330,0.214614
340,0.213411
350,0.215345
360,0.215073
370,0.213132
380,0.211695
390,0.206865
400,0.206406
410,0.201935
420,0.202350
430,0.200674
440,0.198332
450,0.196421
460,0.194888
470,0.194021
480,0.191184
490,0.190206
500,0.188026
510,0.186745
520,0.187870
530,0.184832
540,0.185096
550,0.188146
560,0.183867
570,0.183944
580,0.181322
590,0.177945
600,0.178711
610,0.179742
620,0.181867
630,0.182161
640,0.182174
650,0.183327
660,0.185918
670,0.187643
680,0.191344
690,0.196550
700,0.199333
710,0.200713
720,0.202432
730,0.201620
740,0.201595
750,0.200685
760,0.203588
770,0.199353
780,0.195518
790,0.196383
800,0.196715
810,0.202475
820,0.208141
830,0.209289
840,0.205208
850,0.207055
860,0.206838
870,0.201632
880,0.201211
890,0.199118
900,0.201771
910,0.199021
920,0.199612
930,0.195885
940,0.195019
950,0.193045
960,0.196179
970,0.192148
980,0.189198
990,0.186950
1000,0.185394
