step,loss
1,0.820683
10,0.675427
20,0.552133
30,0.489842
40,0.443533
50,0.410615
60,0.384926
70,0.360432
80,0.337515
90,0.319278
100,0.305677
110,0.298195
120,0.293730
130,0.286870
140,0.282215
150,0.278236
160,0.274094
170,0.267416
180,0.265486
190,0.258450
200,0.255476
210,0.254602
220,0.252149
230,0.248113
240,0.246593
250,0.244913
260,0.242180
270,0.239321
280,0.239145
290,0.236599
300,0.235576
310,0.233849
320,0.232002
330,0.227767
340,0.221076
350,0.217910
360,0.214846
370,0.214927
380,0.214755
390,0.211365
400,0.207723
410,0.201514
420,0.195732
430,0.190624
440,0.185904
450,0.178250
460,0.175827
470,0.172894
480,0.168268
490,0.165856
500,0.165316
510,0.162005
520,0.160880
530,0.156933
540,0.153674
550,0.154029
560,0.154911
570,0.152413
580,0.149044
590,0.145227
600,0.143554
610,0.144292
620,0.141515
630,0.141234
640,0.140117
650,0.140601
660,0.140149
670,0.138725
680,0.137716
690,0.139711
700,0.137696
710,0.136439
720,0.136579
730,0.136036
740,0.135510
750,0.134484
760,0.134984
770,0.136293
780,0.136512
790,0.137789
800,0.136144
810,0.135320
820,0.134530
830,0.135364
840,0.136228
850,0.136036
860,0.136590
870,0.136487
880,0.136604
890,0.136853
900,0.135496
910,0.137990
920,0.137427
930,0.137795
940,0.137633
950,0.137142
960,0.135934
970,0.136562
980,0.137369
990,0.136161
1000,0.135674
