step,loss
1,1.106387
10,0.959442
20,0.871761
30,0.842005
40,0.818293
50,0.797067
60,0.765305
70,0.748232
80,0.725505
90,0.708797
100,0.692818
110,0.675270
120,0.661466
130,0.648955
140,0.640564
150,0.631913
160,0.616277
170,0.607332
180,0.601735
190,0.594070
200,0.585098
210,0.570508
220,0.562071
230,0.558156
240,0.550056
250,0.539207
260,0.533437
270,0.526171
280,0.517810
290,0.512579
300,0.505871
310,0.499248
320,0.489717
330,0.479683
340,0.470962
350,0.460764
360,0.452523
370,0.445568
380,0.439428
390,0.436347
400,0.431280
410,0.425414
420,0.418056
430,0.410279
440,0.405900
450,0.398125
460,0.397145
470,0.390819
480,0.386779
490,0.380891
500,0.377965
510,0.374240
520,0.365685
530,0.360366
540,0.354616
550,0.346995
560,0.341921
570,0.335780
580,0.332860
590,0.328153
600,0.317171
610,0.301222
620,0.295637
630,0.292203
640,0.287175
650,0.284771
660,0.275999
670,0.272834
680,0.269488
690,0.264021
700,0.262169
710,0.264334
720,0.257970
730,0.257349
740,0.260015
750,0.257037
760,0.258282
770,0.254914
780,0.253618
790,0.253917
800,0.254727
810,0.260124
820,0.261351
830,0.266099
840,0.263069
850,0.261803
860,0.262453
870,0.260834
880,0.263406
890,0.262880
900,0.259931
910,0.259994
920,0.258781
930,0.258141
940,0.259573
950,0.259935
960,0.261271
970,0.261513
980,0.260805
990,0.259804
1000,0.261207
1010,0.260416
1020,0.259195
1030,0.259850
1040,0.259794
1050,0.258537
1060,0.257218
1070,0.258559
1080,0.257630
1090,0.257007
1100,0.257830
1110,0.258942
1120,0.260889
1130,0.263432
1140,0.262043
1150,0.253448
1160,0.245945
1170,0.245479
1180,0.242947
1190,0.240758
1200,0.238670
1210,0.237064
1220,0.237093
1230,0.235651
1240,0.234961
1250,0.233140
1260,0.232139
1270,0.230594
1280,0.231355
1290,0.232518
1300,0.231079
1310,0.231544
1320,0.228521
1330,0.227048
1340,0.223711
1350,0.218640
1360,0.218642
1370,0.218564
1380,0.218543
1390,0.218293
1400,0.216376
1410,0.212828
1420,0.209073
1430,0.207566
1440,0.205523
1450,0.205158
1460,0.203866
1470,0.204002
1480,0.202389
1490,0.202436
1500,0.202661
1510,0.201593
1520,0.198546
1530,0.198717
1540,0.197513
1550,0.195411
1560,0.196617
1570,0.195588
1580,0.193757
1590,0.194738
1600,0.193632
1610,0.192001
1620,0.191407
1630,0.189808
1640,0.189914
1650,0.188837
1660,0.186665
1670,0.184963
1680,0.183205
1690,0.184632
1700,0.185139
1710,0.185347
1720,0.186173
1730,0.186882
1740,0.185496
1750,0.185250
1760,0.185342
1770,0.186291
1780,0.186826
1790,0.188653
1800,0.187567
1810,0.185752
1820,0.183568
1830,0.183388
1840,0.183230
1850,0.182250
1860,0.182311
1870,0.183054
1880,0.184203
1890,0.182794
1900,0.182377
1910,0.181445
1920,0.179427
1930,0.178476
1940,0.177722
1950,0.177950
1960,0.176284
1970,0.176529
1980,0.177572
1990,0.175576
2000,0.177264
