step,loss
1,0.866645
10,0.763800
20,0.700171
30,0.662856
40,0.624330
50,0.579603
60,0.514121
70,0.476959
80,0.449739
90,0.425251
100,0.404735
110,0.380571
120,0.350806
130,0.325329
140,0.302192
150,0.295989
160,0.279867
170,0.274676
180,0.271472
190,0.263610
200,0.257661
210,0.244549
220,0.234293
230,0.226416
240,0.219857
250,0.212121
260,0.207185
270,0.200361
280,0.193845
290,0.184286
300,0.183169
310,0.176713
320,0.175129
330,0.171725
340,0.170178
350,0.167520
360,0.165248
370,0.166233
380,0.163822
390,0.163798
400,0.164908
410,0.169072
420,0.165277
430,0.161584
440,0.160486
450,0.158482
460,0.157441
470,0.154209
480,0.153345
490,0.154370
500,0.152834
510,0.151714
520,0.150988
530,0.150254
540,0.147405
550,0.149789
560,0.147789
570,0.144688
580,0.142534
590,0.142267
600,0.141699
610,0.140771
620,0.141091
630,0.142094
640,0.137964
650,0.133381
660,0.132403
670,0.133329
680,0.129481
690,0.125447
700,0.126052
710,0.122858
720,0.127262
730,0.125836
740,0.121855
750,0.119720
760,0.118277
770,0.118836
780,0.122655
790,0.120743
800,0.117308
810,0.119850
820,0.122533
830,0.120477
840,0.124837
850,0.131324
860,0.133847
870,0.134276
880,0.131783
890,0.134576
900,0.132039
910,0.127555
920,0.130279
930,0.126782
940,0.126407
950,0.123787
960,0.122877
970,0.121819
980,0.121615
990,0.121404
1000,0.120925
1010,0.122980
1020,0.122518
1030,0.117372
1040,0.118171
1050,0.116212
1060,0.116280
1070,0.114890
1080,0.109403
1090,0.107146
1100,0.105370
1110,0.109412
1120,0.110119
1130,0.108899
1140,0.113573
1150,0.117517
1160,0.116516
1170,0.114372
1180,0.114329
1190,0.113866
1200,0.111449
1210,0.110672
1220,0.110482
1230,0.106283
1240,0.107776
1250,0.108544
1260,0.111215
1270,0.110977
1280,0.111226
1290,0.110148
1300,0.115814
1310,0.115352
1320,0.113520
1330,0.112519
1340,0.113011
1350,0.115631
1360,0.112363
1370,0.114147
1380,0.114085
1390,0.108459
1400,0.109819
1410,0.115057
1420,0.114165
1430,0.109579
1440,0.104891
1450,0.108456
1460,0.103919
1470,0.106695
1480,0.103985
1490,0.104379
1500,0.104903
1510,0.103864
1520,0.106083
1530,0.104092
1540,0.104581
1550,0.104566
1560,0.103715
1570,0.105371
1580,0.103223
1590,0.105920
1600,0.103531
1610,0.107179
1620,0.106045
1630,0.103982
1640,0.103494
1650,0.105841
1660,0.106478
1670,0.104743
1680,0.107042
1690,0.104220
1700,0.104216
1710,0.109454
1720,0.110261
1730,0.119358
1740,0.116541
1750,0.117936
1760,0.117305
1770,0.113766
1780,0.114023
1790,0.114495
1800,0.115955
1810,0.117654
1820,0.109625
1830,0.109155
1840,0.112134
1850,0.107690
1860,0.108893
1870,0.111421
1880,0.107261
1890,0.107155
1900,0.104006
1910,0.102101
1920,0.100994
1930,0.100520
1940,0.102556
1950,0.097602
1960,0.099957
1970,0.104038
1980,0.102525
1990,0.105198
2000,0.109071
