step,loss
1,0.979649
10,0.852555
20,0.783933
30,0.751263
40,0.722707
50,0.697074
60,0.679521
70,0.667735
80,0.651258
90,0.638972
100,0.627000
110,0.619158
120,0.612709
130,0.603847
140,0.597558
150,0.585781
160,0.574882
170,0.565515
180,0.553532
190,0.541345
200,0.533087
210,0.524256
220,0.515924
230,0.507686
240,0.501208
250,0.490881
260,0.488517
270,0.483143
280,0.476877
290,0.470107
300,0.465634
310,0.462233
320,0.463322
330,0.463342
340,0.462501
350,0.460169
360,0.455111
370,0.452052
380,0.452368
390,0.450546
400,0.446837
410,0.446759
420,0.441342
430,0.440617
440,0.438253
450,0.435033
460,0.432790
470,0.430432
480,0.428663
490,0.426609
500,0.423318
510,0.424754
520,0.428475
530,0.427312
540,0.423052
550,0.423771
560,0.419608
570,0.419591
580,0.419470
590,0.416354
600,0.412444
610,0.409947
620,0.406727
630,0.402159
640,0.399878
650,0.399139
660,0.399384
670,0.397605
680,0.397129
690,0.402027
700,0.403085
710,0.394185
720,0.393993
730,0.385895
740,0.382957
750,0.382539
760,0.379709
770,0.379153
780,0.377850
790,0.377202
800,0.376829
810,0.380451
820,0.379301
830,0.381906
840,0.384611
850,0.387722
860,0.387098
870,0.390340
880,0.389803
890,0.390546
900,0.391424
910,0.394144
920,0.396098
930,0.396533
940,0.397538
950,0.396451
960,0.397571
970,0.399460
980,0.388649
990,0.383555
1000,0.381247
1010,0.378528
1020,0.377846
1030,0.380312
1040,0.378864
1050,0.377297
1060,0.382567
1070,0.381885
1080,0.381534
1090,0.380956
1100,0.380665
1110,0.380400
1120,0.379197
1130,0.378445
1140,0.373946
1150,0.371034
1160,0.369389
1170,0.366299
1180,0.366242
1190,0.367130
1200,0.367328
1210,0.366392
1220,0.367340
1230,0.365519
1240,0.362177
1250,0.363186
1260,0.361468
1270,0.359888
1280,0.358610
1290,0.360981
1300,0.362049
1310,0.362008
1320,0.358865
1330,0.354266
1340,0.354078
1350,0.349530
1360,0.348236
1370,0.346694
1380,0.343248
1390,0.344443
1400,0.348224
1410,0.347314
1420,0.343075
1430,0.345307
1440,0.345949
1450,0.342648
1460,0.346506
1470,0.345711
1480,0.343571
1490,0.345750
1500,0.342922
1510,0.342955
1520,0.341988
1530,0.342602
1540,0.343089
1550,0.344834
1560,0.344329
1570,0.340540
1580,0.339780
1590,0.338069
1600,0.338535
1610,0.337113
1620,0.337653
1630,0.333505
1640,0.335513
1650,0.335344
1660,0.335751
1670,0.333234
1680,0.333870
1690,0.333162
1700,0.332615
1710,0.334301
1720,0.335160
1730,0.333266
1740,0.333813
1750,0.333942
1760,0.334937
1770,0.337340
1780,0.335956
1790,0.331295
1800,0.331838
1810,0.332986
1820,0.333165
1830,0.333106
1840,0.334955
1850,0.337446
1860,0.337732
1870,0.337607
1880,0.337635
1890,0.333632
1900,0.332771
1910,0.332542
1920,0.333086
1930,0.334810
1940,0.334267
1950,0.333050
1960,0.332057
1970,0.331215
1980,0.331963
1990,0.329150
2000,0.326169
