step,loss
1,0.982875
10,0.838856
20,0.760346
30,0.725160
40,0.695637
50,0.670797
60,0.651601
70,0.634330
80,0.614114
90,0.594677
100,0.575816
110,0.555020
120,0.544265
130,0.531647
140,0.521409
150,0.509945
160,0.488101
170,0.473669
180,0.465791
190,0.455162
200,0.448912
210,0.441612
220,0.431009
230,0.423005
240,0.416438
250,0.413792
260,0.404708
270,0.393397
280,0.387074
290,0.380039
300,0.376296
310,0.370910
320,0.365471
330,0.365671
340,0.360970
350,0.359803
360,0.356693
370,0.352590
380,0.352714
390,0.351658
400,0.347412
410,0.346654
420,0.342938
430,0.341920
440,0.340574
450,0.339778
460,0.341163
470,0.339787
480,0.339134
490,0.338767
500,0.338161
510,0.337869
520,0.336988
530,0.338047
540,0.335831
550,0.338364
560,0.336509
570,0.337179
580,0.339209
590,0.341342
600,0.345130
610,0.344535
620,0.344870
630,0.344740
640,0.342038
650,0.341654
660,0.340539
670,0.339811
680,0.338201
690,0.336933
700,0.333500
710,0.332548
720,0.330133
730,0.326515
740,0.327916
750,0.329702
760,0.333864
770,0.330684
780,0.331132
790,0.330678
800,0.333335
810,0.336708
820,0.334800
830,0.334119
840,0.334511
850,0.337784
860,0.339493
870,0.341470
880,0.341228
890,0.345550
900,0.344212
910,0.344786
920,0.345783
930,0.344864
940,0.343702
950,0.342544
960,0.341064
970,0.337685
980,0.336929
990,0.334800
1000,0.336260
1010,0.337306
1020,0.339702
1030,0.336375
1040,0.333693
1050,0.334566
1060,0.333773
1070,0.333512
1080,0.333966
1090,0.334186
1100,0.330893
1110,0.331883
1120,0.331418
1130,0.332728
1140,0.332333
1150,0.327423
1160,0.323212
1170,0.320375
1180,0.320696
1190,0.318364
1200,0.315938
1210,0.316116
1220,0.315823
1230,0.314049
1240,0.314203
1250,0.314610
1260,0.315172
1270,0.316895
1280,0.314016
1290,0.313039
1300,0.313038
1310,0.313785
1320,0.312187
1330,0.312535
1340,0.311656
1350,0.312518
1360,0.312226
1370,0.311686
1380,0.311987
1390,0.311432
1400,0.314426
1410,0.303614
1420,0.300218
1430,0.297641
1440,0.288555
1450,0.282844
1460,0.274497
1470,0.267697
1480,0.262651
1490,0.258343
1500,0.254501
1510,0.256369
1520,0.252875
1530,0.249053
1540,0.251287
1550,0.246923
1560,0.248503
1570,0.245901
1580,0.245861
1590,0.245207
1600,0.244424
1610,0.244840
1620,0.244756
1630,0.243326
1640,0.242788
1650,0.241727
1660,0.240828
1670,0.240830
1680,0.239301
1690,0.239087
1700,0.237452
1710,0.238170
1720,0.237810
1730,0.235193
1740,0.233388
1750,0.233225
1760,0.228581
1770,0.226115
1780,0.227078
1790,0.226612
1800,0.226680
1810,0.226781
1820,0.223051
1830,0.229734
1840,0.227325
1850,0.224287
1860,0.224868
1870,0.224580
1880,0.223112
1890,0.219858
1900,0.224181
1910,0.223601
1920,0.219712
1930,0.218960
1940,0.216122
1950,0.214807
1960,0.213086
1970,0.216409
1980,0.216739
1990,0.216411
2000,0.216677
