step,loss
1,0.748559
10,0.662910
20,0.596122
30,0.548317
40,0.514477
50,0.487475
60,0.464519
70,0.445959
80,0.432004
90,0.420551
100,0.405536
110,0.390036
120,0.378098
130,0.363866
140,0.351460
150,0.341599
160,0.329126
170,0.321862
180,0.310364
190,0.296156
200,0.276582
210,0.259370
220,0.238158
230,0.219152
240,0.199172
250,0.181042
260,0.171528
270,0.159421
280,0.151165
290,0.138485
300,0.136662
310,0.133305
320,0.125887
330,0.120224
340,0.116826
350,0.112879
360,0.112867
370,0.109162
380,0.107493
390,0.107994
400,0.108346
410,0.113001
420,0.108679
430,0.107073
440,0.105746
450,0.107316
460,0.105780
470,0.104706
480,0.102178
490,0.099481
500,0.098592
510,0.105943
520,0.102855
530,0.104007
540,0.100893
550,0.098144
560,0.098706
570,0.098980
580,0.099317
590,0.099706
600,0.098415
610,0.098533
620,0.097310
630,0.098740
640,0.096383
650,0.096227
660,0.097681
670,0.096979
680,0.094876
690,0.094914
700,0.093889
710,0.099808
720,0.098011
730,0.097189
740,0.094573
750,0.096317
760,0.099382
770,0.098851
780,0.095825
790,0.094722
800,0.096033
810,0.097642
820,0.094384
830,0.093462
840,0.092117
850,0.093139
860,0.091778
870,0.095346
880,0.094682
890,0.095098
900,0.095864
910,0.098634
920,0.097641
930,0.096250
940,0.094468
950,0.095988
960,0.094966
970,0.095794
980,0.094640
990,0.095192
1000,0.095324
1010,0.096502
1020,0.094745
1030,0.094307
1040,0.094140
1050,0.092703
1060,0.097037
1070,0.094759
1080,0.093676
1090,0.093974
1100,0.093401
1110,0.093339
1120,0.093592
1130,0.095053
1140,0.096280
1150,0.094297
1160,0.094580
1170,0.095919
1180,0.094541
1190,0.093984
1200,0.094666
1210,0.095949
1220,0.094303
1230,0.096052
1240,0.095452
1250,0.096098
1260,0.098967
1270,0.098486
1280,0.099562
1290,0.098610
1300,0.097728
1310,0.098982
1320,0.100182
1330,0.099287
1340,0.098906
1350,0.098765
1360,0.097252
1370,0.098331
1380,0.097704
1390,0.097282
1400,0.098324
1410,0.099147
1420,0.100754
1430,0.100159
1440,0.099464
1450,0.099406
1460,0.097507
1470,0.097392
1480,0.096057
1490,0.098570
1500,0.097468
1510,0.098434
1520,0.098123
1530,0.096450
1540,0.096812
1550,0.096377
1560,0.096400
1570,0.097206
1580,0.096695
1590,0.096569
1600,0.093567
1610,0.091949
1620,0.091628
1630,0.092848
1640,0.093798
1650,0.096232
1660,0.099867
1670,0.099750
1680,0.101742
1690,0.100257
1700,0.100598
1710,0.102066
1720,0.101877
1730,0.104338
1740,0.105634
1750,0.108423
1760,0.105600
1770,0.102011
1780,0.103328
1790,0.102153
1800,0.101687
1810,0.102704
1820,0.102603
1830,0.103641
1840,0.103220
1850,0.104468
1860,0.105177
1870,0.104531
1880,0.102631
1890,0.104247
1900,0.103266
1910,0.104097
1920,0.103130
1930,0.104204
1940,0.103977
1950,0.102583
1960,0.105177
1970,0.102822
1980,0.102960
1990,0.102263
2000,0.100832
