step,loss
1,0.894852
10,0.806823
20,0.746148
30,0.727738
40,0.709794
50,0.700814
60,0.676540
70,0.667160
80,0.658403
90,0.648117
100,0.634634
110,0.613025
120,0.604078
130,0.591984
140,0.581907
150,0.572673
160,0.560216
170,0.551263
180,0.543690
190,0.538361
200,0.534154
210,0.528016
220,0.520075
230,0.513011
240,0.503767
250,0.495682
260,0.489739
270,0.480783
280,0.477834
290,0.474807
300,0.467964
310,0.469072
320,0.466373
330,0.459509
340,0.457565
350,0.454826
360,0.450630
370,0.448332
380,0.444141
390,0.444387
400,0.444286
410,0.443195
420,0.442828
430,0.442625
440,0.442971
450,0.442375
460,0.441161
470,0.439760
480,0.440426
490,0.439411
500,0.437874
510,0.437667
520,0.437605
530,0.436574
540,0.436182
550,0.437127
560,0.436264
570,0.437556
580,0.436284
590,0.436350
600,0.438189
610,0.437221
620,0.436366
630,0.437341
640,0.435910
650,0.434410
660,0.433809
670,0.433624
680,0.432140
690,0.431022
700,0.429310
710,0.429611
720,0.429234
730,0.429594
740,0.428484
750,0.429396
760,0.430364
770,0.429044
780,0.431729
790,0.430304
800,0.428450
810,0.427935
820,0.426617
830,0.426362
840,0.424621
850,0.424389
860,0.425485
870,0.425021
880,0.423887
890,0.425313
900,0.426419
910,0.430188
920,0.428287
930,0.427536
940,0.429547
950,0.428666
960,0.428833
970,0.427580
980,0.426224
990,0.425087
1000,0.427114
