step,loss
1,0.952302
10,0.895079
20,0.846947
30,0.823100
40,0.818683
50,0.810198
60,0.810737
70,0.807000
80,0.806189
90,0.801358
100,0.799706
110,0.800327
120,0.797771
130,0.798329
140,0.799841
150,0.800175
160,0.794216
170,0.787351
180,0.777319
190,0.771909
200,0.765287
210,0.757270
220,0.752308
230,0.751243
240,0.749860
250,0.748323
260,0.747581
270,0.747590
280,0.743713
290,0.741463
300,0.739912
310,0.738326
320,0.738498
330,0.737316
340,0.736744
350,0.735858
360,0.733332
370,0.731823
380,0.731811
390,0.733571
400,0.730360
410,0.731016
420,0.731770
430,0.730979
440,0.731013
450,0.729811
460,0.729943
470,0.729956
480,0.730836
490,0.732325
500,0.734016
510,0.735840
520,0.736207
530,0.736320
540,0.738448
550,0.738492
560,0.742033
570,0.741038
580,0.742026
590,0.742688
600,0.744538
610,0.743608
620,0.741717
630,0.740124
640,0.739915
650,0.740972
660,0.740912
670,0.740100
680,0.739170
690,0.741078
700,0.740839
710,0.742900
720,0.742053
730,0.742709
740,0.741578
750,0.738411
760,0.737470
770,0.735744
780,0.734770
790,0.732020
800,0.730010
810,0.726816
820,0.724123
830,0.723814
840,0.723929
850,0.719942
860,0.720876
870,0.719387
880,0.719739
890,0.720624
900,0.719736
910,0.719769
920,0.719779
930,0.719558
940,0.719528
950,0.720367
960,0.719958
970,0.719725
980,0.719814
990,0.719734
1000,0.719057
