step,loss
1,1.094216
10,0.975677
20,0.890790
30,0.830767
40,0.763619
50,0.697012
60,0.632986
70,0.582946
80,0.547369
90,0.513096
100,0.487639
110,0.457087
120,0.435907
130,0.415064
140,0.398517
150,0.383067
160,0.364441
170,0.351480
180,0.337705
190,0.327159
200,0.320087
210,0.310014
220,0.301169
230,0.294225
240,0.291528
250,0.290446
260,0.293228
270,0.296183
280,0.297134
290,0.301216
300,0.303028
310,0.301520
320,0.299465
330,0.300807
340,0.305642
350,0.306567
360,0.292187
370,0.287526
380,0.284581
390,0.283486
400,0.283030
410,0.281918
420,0.278557
430,0.274791
440,0.274524
450,0.276114
460,0.274786
470,0.271561
480,0.270510
490,0.266172
500,0.261247
510,0.260693
520,0.255697
530,0.250974
540,0.247678
550,0.245523
560,0.237512
570,0.233053
580,0.229685
590,0.228576
600,0.227516
610,0.226109
620,0.224235
630,0.224729
640,0.221998
650,0.218539
660,0.217117
670,0.216559
680,0.215391
690,0.213332
700,0.214381
710,0.215824
720,0.212036
730,0.210255
740,0.207438
750,0.207218
760,0.208887
770,0.208904
780,0.210445
790,0.209768
800,0.208149
810,0.206679
820,0.205643
830,0.202505
840,0.199357
850,0.198271
860,0.197290
870,0.195178
880,0.193957
890,0.193316
900,0.192514
910,0.191413
920,0.191855
930,0.189273
940,0.186508
950,0.187067
960,0.185559
970,0.184471
980,0.182981
990,0.182889
1000,0.179243
