step,loss
1,0.616195
10,0.486442
20,0.396468
30,0.354276
40,0.323941
50,0.297601
60,0.258798
70,0.234684
80,0.215646
90,0.196793
100,0.179360
110,0.167469
120,0.156984
130,0.151163
140,0.150728
150,0.148846
160,0.144369
170,0.138339
180,0.135625
190,0.130854
200,0.129397
210,0.132909
220,0.131167
230,0.126188
240,0.123544
250,0.122299
260,0.116835
270,0.117066
280,0.115339
290,0.111347
300,0.105327
310,0.101224
320,0.101458
330,0.101996
340,0.101809
350,0.103108
360,0.098145
370,0.099853
380,0.101138
390,0.098017
400,0.098628
410,0.104242
420,0.102737
430,0.103712
440,0.100588
450,0.098670
460,0.100627
470,0.098752
480,0.096785
490,0.100578
500,0.100272
510,0.100224
520,0.097609
530,0.095960
540,0.095141
550,0.095596
560,0.094654
570,0.091058
580,0.089211
590,0.088904
600,0.088611
610,0.088489
620,0.086855
630,0.086380
640,0.086541
650,0.085437
660,0.082363
670,0.081347
680,0.082713
690,0.078435
700,0.079453
710,0.077508
720,0.077203
730,0.077494
740,0.076491
750,0.077844
760,0.082848
770,0.079629
780,0.078750
790,0.079161
800,0.079439
810,0.078690
820,0.077107
830,0.076629
840,0.079081
850,0.079207
860,0.080146
870,0.077799
880,0.078919
890,0.078594
900,0.077582
910,0.082735
920,0.080597
930,0.083767
940,0.082110
950,0.081580
960,0.086966
970,0.083432
980,0.083986
990,0.083009
1000,0.085083
