step,loss
1,1.060740
10,0.962958
20,0.894660
30,0.834117
40,0.771077
50,0.703933
60,0.622763
70,0.563087
80,0.509531
90,0.467515
100,0.432462
110,0.394934
120,0.372855
130,0.357614
140,0.349389
150,0.338519
160,0.318175
170,0.311906
180,0.305678
190,0.302668
200,0.300192
210,0.290642
220,0.287704
230,0.286296
240,0.282685
250,0.280674
260,0.276055
270,0.270739
280,0.268652
290,0.268345
300,0.266072
310,0.263414
320,0.260921
330,0.257691
340,0.253702
350,0.254871
360,0.259386
370,0.254831
380,0.253553
390,0.249757
400,0.244356
410,0.235991
420,0.232978
430,0.230120
440,0.227846
450,0.225505
460,0.222324
470,0.219443
480,0.216114
490,0.212594
500,0.208990
510,0.206782
520,0.203605
530,0.201024
540,0.199176
550,0.197584
560,0.194638
570,0.190041
580,0.189445
590,0.187731
600,0.188774
610,0.190165
620,0.189515
630,0.188692
640,0.183470
650,0.185209
660,0.187994
670,0.189740
680,0.190025
690,0.189731
700,0.188850
710,0.184131
720,0.181987
730,0.179815
740,0.180268
750,0.177080
760,0.179959
770,0.180180
780,0.177478
790,0.179999
800,0.176592
810,0.174678
820,0.176413
830,0.178972
840,0.179316
850,0.178931
860,0.179385
870,0.181171
880,0.181424
890,0.184910
900,0.185332
910,0.183850
920,0.186994
930,0.188129
940,0.188315
950,0.186755
960,0.190472
970,0.189845
980,0.185992
990,0.185123
1000,0.183323
1010,0.183595
1020,0.182703
1030,0.180728
1040,0.179837
1050,0.182419
1060,0.181568
1070,0.182039
1080,0.181881
1090,0.180133
1100,0.180148
1110,0.180973
1120,0.180780
1130,0.181619
1140,0.181324
1150,0.181317
1160,0.182933
1170,0.183053
1180,0.182695
1190,0.180667
1200,0.181673
1210,0.185525
1220,0.182756
1230,0.184912
1240,0.185311
1250,0.185208
1260,0.183730
1270,0.183891
1280,0.183654
1290,0.185334
1300,0.189660
1310,0.187641
1320,0.187355
1330,0.188084
1340,0.186531
1350,0.186950
1360,0.187647
1370,0.188701
1380,0.187398
1390,0.185647
1400,0.186233
1410,0.186465
1420,0.185808
1430,0.186462
1440,0.188026
1450,0.187868
1460,0.188996
1470,0.190221
1480,0.190209
1490,0.191099
1500,0.191102
1510,0.190492
1520,0.191310
1530,0.191836
1540,0.193713
1550,0.192718
1560,0.193910
1570,0.193467
1580,0.191465
1590,0.191152
1600,0.193889
1610,0.193362
1620,0.191831
1630,0.192911
1640,0.192240
1650,0.193871
1660,0.196083
1670,0.196535
1680,0.193439
1690,0.199795
1700,0.203699
1710,0.204164
1720,0.202944
1730,0.202255
1740,0.199886
1750,0.202758
1760,0.208244
1770,0.207437
1780,0.204669
1790,0.203263
1800,0.201439
1810,0.201729
1820,0.199964
1830,0.200392
1840,0.197911
1850,0.197930
1860,0.197104
1870,0.194135
1880,0.192697
1890,0.192240
1900,0.190854
1910,0.188931
1920,0.186891
1930,0.185949
1940,0.185646
1950,0.184296
1960,0.188233
1970,0.185489
1980,0.183676
1990,0.182053
2000,0.183098
