step,loss
1,0.755679
10,0.652062
20,0.581456
30,0.532626
40,0.487956
50,0.443043
60,0.397021
70,0.361605
80,0.333650
90,0.311916
100,0.293520
110,0.270072
120,0.254075
130,0.245871
140,0.236229
150,0.227038
160,0.220431
170,0.209730
180,0.201996
190,0.196713
200,0.192425
210,0.196059
220,0.185871
230,0.181759
240,0.174981
250,0.168113
260,0.162972
270,0.159707
280,0.157332
290,0.151316
300,0.146719
310,0.148196
320,0.146527
330,0.143685
340,0.141370
350,0.137096
360,0.140786
370,0.138428
380,0.132937
390,0.133838
400,0.134589
410,0.135528
420,0.136758
430,0.135322
440,0.133186
450,0.133894
460,0.132227
470,0.131993
480,0.131166
490,0.131283
500,0.131358
510,0.130014
520,0.131625
530,0.130795
540,0.129512
550,0.128592
560,0.128741
570,0.125895
580,0.126800
590,0.127595
600,0.129106
610,0.128600
620,0.126402
630,0.126098
640,0.126826
650,0.126020
660,0.132438
670,0.127341
680,0.128914
690,0.127479
700,0.127437
710,0.130059
720,0.127189
730,0.128017
740,0.128796
750,0.128099
760,0.127549
770,0.128012
780,0.126342
790,0.127838
800,0.128554
810,0.136467
820,0.130712
830,0.128493
840,0.129681
850,0.127889
860,0.127245
870,0.127426
880,0.128960
890,0.130072
900,0.129292
910,0.128467
920,0.129426
930,0.133319
940,0.132663
950,0.133356
960,0.134205
970,0.133439
980,0.132311
990,0.131587
1000,0.130126
1010,0.139175
1020,0.133907
1030,0.133704
1040,0.135956
1050,0.136481
1060,0.137046
1070,0.138160
1080,0.139855
1090,0.139866
1100,0.138517
1110,0.138524
1120,0.135909
1130,0.134646
1140,0.134336
1150,0.134627
1160,0.135734
1170,0.134578
1180,0.133885
1190,0.136575
1200,0.136252
1210,0.135843
1220,0.134136
1230,0.136209
1240,0.136506
1250,0.135956
1260,0.134387
1270,0.135657
1280,0.136821
1290,0.136978
1300,0.136501
1310,0.137022
1320,0.136275
1330,0.137069
1340,0.137301
1350,0.137358
1360,0.137139
1370,0.137119
1380,0.135918
1390,0.133346
1400,0.133795
1410,0.133262
1420,0.133483
1430,0.134952
1440,0.135337
1450,0.134374
1460,0.133916
1470,0.133944
1480,0.137409
1490,0.136432
1500,0.137876
1510,0.144209
1520,0.140044
1530,0.138295
1540,0.136000
1550,0.135888
1560,0.136887
1570,0.136319
1580,0.138413
1590,0.136732
1600,0.135846
1610,0.137186
1620,0.137446
1630,0.137259
1640,0.136295
1650,0.136712
1660,0.138210
1670,0.139288
1680,0.138735
1690,0.136778
1700,0.137210
1710,0.137219
1720,0.135074
1730,0.134755
1740,0.136228
1750,0.135094
1760,0.135240
1770,0.139509
1780,0.135915
1790,0.137490
1800,0.136083
1810,0.136149
1820,0.135757
1830,0.132994
1840,0.131361
1850,0.130920
1860,0.133757
1870,0.134878
1880,0.134422
1890,0.136284
1900,0.134980
1910,0.139098
1920,0.136894
1930,0.135704
1940,0.138763
1950,0.138859
1960,0.140035
1970,0.137648
1980,0.134890
1990,0.130405
2000,0.132168
