step,loss
1,0.522651
10,0.425038
20,0.368552
30,0.341042
40,0.315063
50,0.291292
60,0.268159
70,0.252829
80,0.232445
90,0.215414
100,0.201573
110,0.176881
120,0.165520
130,0.159317
140,0.155878
150,0.151767
160,0.140597
170,0.134190
180,0.128284
190,0.120846
200,0.113727
210,0.107965
220,0.104500
230,0.102431
240,0.102862
250,0.098331
260,0.090271
270,0.086656
280,0.082460
290,0.077138
300,0.072879
310,0.069596
320,0.065094
330,0.060994
340,0.060343
350,0.061680
360,0.059646
370,0.056987
380,0.052842
390,0.050497
400,0.050532
410,0.050256
420,0.049748
430,0.051112
440,0.048763
450,0.048197
460,0.048340
470,0.047600
480,0.048072
490,0.048928
500,0.049035
510,0.050124
520,0.048305
530,0.047478
540,0.045394
550,0.044538
560,0.043988
570,0.044686
580,0.045601
590,0.045385
600,0.045476
610,0.046059
620,0.044310
630,0.046333
640,0.046751
650,0.045340
660,0.044597
670,0.045984
680,0.045356
690,0.045779
700,0.045272
710,0.045365
720,0.045653
730,0.044955
740,0.045014
750,0.046148
760,0.045518
770,0.045103
780,0.046098
790,0.045740
800,0.046508
810,0.045407
820,0.045442
830,0.045140
840,0.045142
850,0.045111
860,0.044412
870,0.044719
880,0.044753
890,0.045578
900,0.045468
910,0.045045
920,0.046446
930,0.045568
940,0.045520
950,0.043915
960,0.044310
970,0.042913
980,0.042585
990,0.042152
1000,0.042464
1010,0.041539
1020,0.041968
1030,0.041355
1040,0.041355
1050,0.042139
1060,0.040756
1070,0.041939
1080,0.042311
1090,0.041070
1100,0.041512
1110,0.040806
1120,0.041507
1130,0.042009
1140,0.041562
1150,0.042766
1160,0.042793
1170,0.041605
1180,0.040989
1190,0.041705
1200,0.043346
1210,0.042201
1220,0.041775
1230,0.041731
1240,0.042841
1250,0.042513
1260,0.041889
1270,0.044963
1280,0.043036
1290,0.041225
1300,0.042141
1310,0.042409
1320,0.041515
1330,0.041734
1340,0.041373
1350,0.041474
1360,0.040588
1370,0.042087
1380,0.040571
1390,0.040485
1400,0.040241
1410,0.040951
1420,0.041252
1430,0.042924
1440,0.041244
1450,0.043015
1460,0.042753
1470,0.040364
1480,0.040935
1490,0.040524
1500,0.040568
1510,0.039961
1520,0.040358
1530,0.042355
1540,0.042497
1550,0.042185
1560,0.043184
1570,0.042073
1580,0.040508
1590,0.039704
1600,0.039533
1610,0.039774
1620,0.039727
1630,0.039303
1640,0.041423
1650,0.040350
1660,0.039496
1670,0.040297
1680,0.039795
1690,0.039724
1700,0.039705
1710,0.042122
1720,0.042637
1730,0.042604
1740,0.043586
1750,0.044134
1760,0.042741
1770,0.042713
1780,0.042420
1790,0.042795
1800,0.042355
1810,0.042413
1820,0.041361
1830,0.041115
1840,0.041678
1850,0.041836
1860,0.040000
1870,0.042112
1880,0.041968
1890,0.040996
1900,0.040867
1910,0.041131
1920,0.042886
1930,0.042997
1940,0.043932
1950,0.043823
1960,0.045959
1970,0.042377
1980,0.042277
1990,0.042510
2000,0.040891
