step,loss
1,0.755679
10,0.652062
20,0.581456
30,0.532626
40,0.487956
50,0.443043
60,0.405812
70,0.380356
80,0.352100
90,0.325755
100,0.305287
110,0.289513
120,0.276402
130,0.268127
140,0.260001
150,0.252528
160,0.245010
170,0.237655
180,0.230782
190,0.224053
200,0.221575
210,0.215481
220,0.213655
230,0.208962
240,0.209098
250,0.208804
260,0.210036
270,0.208605
280,0.206287
290,0.205718
300,0.204511
310,0.207014
320,0.206236
330,0.202020
340,0.200195
350,0.197437
360,0.194201
370,0.196414
380,0.191148
390,0.191302
400,0.188482
410,0.184760
420,0.185660
430,0.184510
440,0.183490
450,0.179922
460,0.179183
470,0.173522
480,0.169173
490,0.163729
500,0.158615
510,0.152879
520,0.151065
530,0.149060
540,0.148799
550,0.148073
560,0.146823
570,0.147071
580,0.144584
590,0.146037
600,0.143109
610,0.142876
620,0.142795
630,0.143356
640,0.143194
650,0.143685
660,0.141890
670,0.141570
680,0.141205
690,0.142048
700,0.141498
710,0.143237
720,0.141710
730,0.143711
740,0.142506
750,0.143700
760,0.141517
770,0.142771
780,0.143006
790,0.142433
800,0.141583
810,0.142332
820,0.143750
830,0.142640
840,0.141243
850,0.140341
860,0.143539
870,0.141626
880,0.139895
890,0.141650
900,0.138818
910,0.138719
920,0.138511
930,0.138252
940,0.138153
950,0.136236
960,0.136162
970,0.132336
980,0.133121
990,0.132568
1000,0.130744
1010,0.129095
1020,0.127536
1030,0.127427
1040,0.127663
1050,0.127069
1060,0.127557
1070,0.128443
1080,0.128652
1090,0.125650
1100,0.127830
1110,0.125408
1120,0.124113
1130,0.127207
1140,0.127401
1150,0.125376
1160,0.125858
1170,0.124736
1180,0.125324
1190,0.125157
1200,0.124828
1210,0.126069
1220,0.124727
1230,0.126195
1240,0.125562
1250,0.123915
1260,0.123767
1270,0.126096
1280,0.124713
1290,0.126721
1300,0.125310
1310,0.126957
1320,0.126146
1330,0.126906
1340,0.125551
1350,0.124773
1360,0.123399
1370,0.125253
1380,0.124669
1390,0.124143
1400,0.127151
1410,0.124938
1420,0.126761
1430,0.128146
1440,0.127912
1450,0.127539
1460,0.126320
1470,0.127334
1480,0.126540
1490,0.126885
1500,0.125143
1510,0.124377
1520,0.124299
1530,0.124587
1540,0.124894
1550,0.124862
1560,0.125461
1570,0.125699
1580,0.123930
1590,0.125278
1600,0.126917
1610,0.126110
1620,0.125663
1630,0.125395
1640,0.123690
1650,0.123896
1660,0.123590
1670,0.125313
1680,0.122801
1690,0.123137
1700,0.125583
1710,0.125552
1720,0.123760
1730,0.125862
1740,0.124836
1750,0.124730
1760,0.126576
1770,0.124582
1780,0.124583
1790,0.125704
1800,0.128116
1810,0.124046
1820,0.123686
1830,0.123167
1840,0.125143
1850,0.122897
1860,0.123539
1870,0.125071
1880,0.125050
1890,0.125148
1900,0.124115
1910,0.123821
1920,0.122648
1930,0.124348
1940,0.123601
1950,0.125274
1960,0.126928
1970,0.126961
1980,0.124537
1990,0.123599
2000,0.123347
