step,loss
1,0.578752
10,0.467809
20,0.392123
30,0.340502
40,0.293004
50,0.254125
60,0.219207
70,0.192001
80,0.177322
90,0.168461
100,0.160824
110,0.153540
120,0.147898
130,0.144031
140,0.139301
150,0.133560
160,0.133357
170,0.133496
180,0.131070
190,0.132016
200,0.131792
210,0.128524
220,0.126799
230,0.125235
240,0.122629
250,0.122096
260,0.125440
270,0.124295
280,0.122294
290,0.116352
300,0.115129
310,0.115780
320,0.114774
330,0.114611
340,0.116758
350,0.116885
360,0.112237
370,0.108559
380,0.109973
390,0.109886
400,0.108496
410,0.112207
420,0.112028
430,0.108544
440,0.107918
450,0.105837
460,0.102541
470,0.102041
480,0.101595
490,0.104125
500,0.103538
510,0.107459
520,0.103903
530,0.103163
540,0.101976
550,0.102104
560,0.101011
570,0.103808
580,0.104847
590,0.103162
600,0.103056
610,0.105967
620,0.104891
630,0.104319
640,0.101555
650,0.100337
660,0.100388
670,0.099443
680,0.098674
690,0.098076
700,0.100009
710,0.104594
720,0.104264
730,0.104022
740,0.104435
750,0.103413
760,0.104533
770,0.102836
780,0.101718
790,0.102493
800,0.101832
810,0.105319
820,0.103580
830,0.105719
840,0.104184
850,0.104555
860,0.102879
870,0.103674
880,0.103752
890,0.102295
900,0.100751
910,0.103046
920,0.100471
930,0.099974
940,0.101612
950,0.101676
960,0.102436
970,0.102911
980,0.101698
990,0.102010
1000,0.098901
1010,0.101357
1020,0.100860
1030,0.100336
1040,0.099571
1050,0.098968
1060,0.098872
1070,0.098799
1080,0.098954
1090,0.097737
1100,0.097157
1110,0.095870
1120,0.096154
1130,0.097689
1140,0.097899
1150,0.098186
1160,0.093527
1170,0.093821
1180,0.092940
1190,0.091727
1200,0.091674
1210,0.097733
1220,0.097248
1230,0.097217
1240,0.098421
1250,0.099046
1260,0.101956
1270,0.104201
1280,0.101970
1290,0.102408
1300,0.102416
1310,0.100657
1320,0.099392
1330,0.098536
1340,0.100729
1350,0.099963
1360,0.106288
1370,0.104306
1380,0.104597
1390,0.105216
1400,0.106790
1410,0.105517
1420,0.102769
1430,0.102011
1440,0.101717
1450,0.101410
1460,0.100513
1470,0.099199
1480,0.101080
1490,0.099647
1500,0.098877
1510,0.099882
1520,0.098104
1530,0.099230
1540,0.099413
1550,0.097314
1560,0.097620
1570,0.097609
1580,0.097250
1590,0.096345
1600,0.095199
1610,0.095734
1620,0.095353
1630,0.095861
1640,0.095400
1650,0.094648
1660,0.095596
1670,0.095309
1680,0.093600
1690,0.094881
1700,0.096530
1710,0.094802
1720,0.092894
1730,0.093708
1740,0.091155
1750,0.092391
1760,0.094810
1770,0.097118
1780,0.095148
1790,0.096046
1800,0.096056
1810,0.093594
1820,0.095284
1830,0.094290
1840,0.094343
1850,0.094058
1860,0.094291
1870,0.095465
1880,0.093732
1890,0.094324
1900,0.092772
1910,0.093587
1920,0.093480
1930,0.092546
1940,0.093006
1950,0.092343
1960,0.092305
1970,0.093606
1980,0.092228
1990,0.092289
2000,0.092668
