step,loss
1,0.792104
10,0.668956
20,0.585933
30,0.539373
40,0.500520
50,0.468443
60,0.437995
70,0.418310
80,0.405367
90,0.390212
100,0.376616
110,0.362482
120,0.348410
130,0.341389
140,0.335678
150,0.328627
160,0.320039
170,0.311489
180,0.302178
190,0.296821
200,0.292657
210,0.288670
220,0.283699
230,0.279776
240,0.273598
250,0.268784
260,0.263028
270,0.258072
280,0.256316
290,0.252502
300,0.248262
310,0.243343
320,0.239059
330,0.233724
340,0.231476
350,0.230159
360,0.229758
370,0.227189
380,0.224276
390,0.223071
400,0.222611
410,0.221801
420,0.219364
430,0.216108
440,0.215168
450,0.215341
460,0.215966
470,0.213206
480,0.209905
490,0.206384
500,0.205385
510,0.202604
520,0.201084
530,0.200617
540,0.197759
550,0.193196
560,0.189130
570,0.183581
580,0.178882
590,0.173761
600,0.169434
610,0.166309
620,0.164059
630,0.163303
640,0.163268
650,0.161663
660,0.161091
670,0.160860
680,0.160571
690,0.160764
700,0.161237
710,0.161152
720,0.159412
730,0.160106
740,0.158990
750,0.160327
760,0.159910
770,0.160201
780,0.157696
790,0.158635
800,0.159146
810,0.159150
820,0.160529
830,0.161810
840,0.162735
850,0.162360
860,0.161367
870,0.161897
880,0.162874
890,0.164979
900,0.165126
910,0.164535
920,0.165328
930,0.165335
940,0.165268
950,0.163932
960,0.160706
970,0.159496
980,0.159518
990,0.158030
1000,0.156880
