step,loss
1,1.038845
10,1.003765
20,0.960753
30,0.919094
40,0.884221
50,0.855309
60,0.834353
70,0.808282
80,0.778953
90,0.751332
100,0.729441
110,0.716822
120,0.706382
130,0.696490
140,0.687249
150,0.674928
160,0.665929
170,0.655028
180,0.644852
190,0.634153
200,0.626280
210,0.618688
220,0.611947
230,0.607422
240,0.602901
250,0.596880
260,0.586702
270,0.580255
280,0.574859
290,0.564278
300,0.555871
310,0.545182
320,0.532285
330,0.517560
340,0.503563
350,0.482282
360,0.461278
370,0.441434
380,0.428252
390,0.421855
400,0.414345
410,0.409861
420,0.401445
430,0.394599
440,0.387662
450,0.383168
460,0.378455
470,0.375427
480,0.369475
490,0.367153
500,0.365338
510,0.364739
520,0.365181
530,0.364373
540,0.364760
550,0.364864
560,0.362982
570,0.362334
580,0.362436
590,0.361793
600,0.362452
610,0.362786
620,0.362525
630,0.362068
640,0.360791
650,0.358792
660,0.358856
670,0.358930
680,0.358149
690,0.355903
700,0.355561
710,0.354595
720,0.351058
730,0.348897
740,0.348409
750,0.348211
760,0.348522
770,0.350205
780,0.350427
790,0.350806
800,0.350082
810,0.351982
820,0.351263
830,0.348796
840,0.348730
850,0.349335
860,0.350261
870,0.350284
880,0.349078
890,0.350711
900,0.350822
910,0.349273
920,0.351033
930,0.350580
940,0.348016
950,0.348651
960,0.349554
970,0.350186
980,0.350297
990,0.349574
1000,0.349936
