step,loss
1,0.898825
10,0.746327
20,0.635283
30,0.583395
40,0.544508
50,0.504454
60,0.465905
70,0.434807
80,0.409201
90,0.390338
100,0.375911
110,0.360206
120,0.350064
130,0.340671
140,0.330560
150,0.321855
160,0.318047
170,0.314390
180,0.306010
190,0.300349
200,0.293562
210,0.289356
220,0.287980
230,0.284571
240,0.281005
250,0.277825
260,0.274330
270,0.269046
280,0.263728
290,0.260519
300,0.256836
310,0.252007
320,0.247569
330,0.245021
340,0.243636
350,0.239512
360,0.236962
370,0.235775
380,0.234360
390,0.232075
400,0.229610
410,0.228756
420,0.229565
430,0.227796
440,0.227187
450,0.226389
460,0.224294
470,0.224188
480,0.223262
490,0.222425
500,0.222272
510,0.221467
520,0.216234
530,0.213480
540,0.215988
550,0.215764
560,0.216187
570,0.216858
580,0.218401
590,0.221162
600,0.221479
610,0.224261
620,0.224119
630,0.224099
640,0.225109
650,0.226468
660,0.227800
670,0.230364
680,0.233252
690,0.237194
700,0.238146
710,0.240154
720,0.237602
730,0.232593
740,0.226082
750,0.216936
760,0.206215
770,0.203761
780,0.202475
790,0.201938
800,0.202668
810,0.202669
820,0.203278
830,0.201579
840,0.199118
850,0.196411
860,0.196080
870,0.191226
880,0.188671
890,0.186926
900,0.184126
910,0.184512
920,0.182217
930,0.182443
940,0.181972
950,0.180578
960,0.181870
970,0.180779
980,0.180028
990,0.178796
1000,0.181147
