step,loss
1,0.578752
10,0.467809
20,0.392123
30,0.340502
40,0.293004
50,0.254125
60,0.224073
70,0.200489
80,0.186288
90,0.175871
100,0.168412
110,0.163625
120,0.160966
130,0.156112
140,0.150179
150,0.144420
160,0.140481
170,0.137096
180,0.135983
190,0.135393
200,0.134799
210,0.135926
220,0.133614
230,0.135110
240,0.136678
250,0.136651
260,0.135021
270,0.130819
280,0.130375
290,0.129324
300,0.130768
310,0.124869
320,0.123586
330,0.122533
340,0.120237
350,0.118349
360,0.117435
370,0.116047
380,0.114836
390,0.115134
400,0.116839
410,0.118677
420,0.117617
430,0.115910
440,0.118854
450,0.114082
460,0.114806
470,0.114033
480,0.108892
490,0.108296
500,0.109390
510,0.111645
520,0.111044
530,0.113754
540,0.112845
550,0.113738
560,0.114225
570,0.113883
580,0.113588
590,0.113505
600,0.113949
610,0.113199
620,0.113477
630,0.112766
640,0.112376
650,0.112701
660,0.112853
670,0.113555
680,0.111744
690,0.111859
700,0.112714
710,0.112505
720,0.112417
730,0.110910
740,0.111655
750,0.109794
760,0.109447
770,0.110306
780,0.109935
790,0.109383
800,0.107773
810,0.106521
820,0.106912
830,0.103618
840,0.101165
850,0.102054
860,0.100373
870,0.101271
880,0.100894
890,0.101195
900,0.100320
910,0.101945
920,0.102678
930,0.101577
940,0.103398
950,0.104034
960,0.103508
970,0.104277
980,0.102862
990,0.105093
1000,0.102524
