step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.374,0.166314,0.174822,0.157806,1.049393,20
25,25.363,0.256686,0.269820,0.243552,0.858491,20
50,49.496,0.392832,0.424363,0.361302,0.697404,20
75,73.859,0.538811,0.556836,0.520786,0.542362,20
100,98.102,0.643545,0.666935,0.620155,0.436983,20
125,122.405,0.689486,0.701674,0.677298,0.385442,20
150,146.806,0.714372,0.710465,0.718279,0.353241,20
175,170.995,0.729244,0.726729,0.731760,0.329046,20
200,194.949,0.738023,0.733170,0.742876,0.317507,20
225,218.862,0.746973,0.740297,0.753648,0.307543,20
250,242.669,0.758874,0.750542,0.767205,0.296243,20
275,266.596,0.776105,0.747653,0.804556,0.281308,20
300,290.943,0.777530,0.757636,0.797424,0.272203,20
325,315.549,0.782501,0.761978,0.803024,0.262554,20
350,340.177,0.787267,0.765581,0.808953,0.257216,20
375,364.903,0.789652,0.767198,0.812107,0.249944,20
400,389.668,0.788893,0.763529,0.814256,0.249520,20
425,414.510,0.790476,0.763689,0.817262,0.245440,20
450,439.270,0.786271,0.764765,0.807778,0.247512,20
475,464.052,0.786048,0.766557,0.805539,0.243831,20
500,488.737,0.784385,0.765334,0.803435,0.245059,20
525,513.418,0.785276,0.768211,0.802342,0.244148,20
550,538.122,0.788065,0.767412,0.808718,0.239297,20
575,562.794,0.787801,0.766027,0.809574,0.237039,20
600,587.344,0.784570,0.763293,0.805848,0.239338,20
625,612.069,0.788407,0.764190,0.812624,0.233984,20
650,636.639,0.790111,0.764776,0.815446,0.232965,20
675,661.284,0.790570,0.765880,0.815260,0.234283,20
700,685.794,0.789277,0.764867,0.813688,0.235151,20
725,710.464,0.788759,0.763933,0.813585,0.234754,20
750,734.975,0.789450,0.764534,0.814365,0.234312,20
775,759.546,0.788862,0.764362,0.813362,0.233979,20
800,784.090,0.788591,0.766926,0.810257,0.237257,20
825,808.551,0.789909,0.767714,0.812104,0.233671,20
850,833.071,0.791025,0.769434,0.812615,0.232959,20
875,857.637,0.791681,0.770058,0.813304,0.233994,20
900,882.089,0.791622,0.771330,0.811915,0.233378,20
