step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.874,0.221311,0.191183,0.251440,0.844565,20
25,27.505,0.331309,0.318868,0.343750,0.599463,20
50,191.930,0.441121,0.441332,0.440910,0.491368,23
75,221.968,0.519544,0.526024,0.513063,0.410930,23
100,410.268,0.565109,0.564292,0.565927,0.372938,25
125,443.795,0.607925,0.582443,0.633406,0.344025,25
150,645.617,0.639348,0.579641,0.699056,0.314745,26
175,680.772,0.656371,0.580963,0.731779,0.294795,26
200,866.203,0.677725,0.590383,0.765067,0.271162,24
225,898.961,0.701602,0.615965,0.787239,0.252739,24
250,1086.831,0.727874,0.644536,0.811211,0.236776,24
275,1119.947,0.736360,0.654065,0.818656,0.230176,24
300,1308.233,0.747841,0.661027,0.834655,0.225411,22
325,1338.332,0.750702,0.657803,0.843602,0.222607,22
350,1505.616,0.754255,0.665294,0.843216,0.222081,19
375,1530.876,0.754675,0.673164,0.836186,0.221959,19
400,1689.413,0.754844,0.677653,0.832034,0.217761,19
425,1714.602,0.751697,0.677884,0.825511,0.217731,19
450,1874.553,0.751346,0.686570,0.816122,0.213372,22
475,1903.872,0.757522,0.699591,0.815454,0.201339,22
500,2067.690,0.768817,0.713701,0.823933,0.194215,19
525,2092.657,0.767827,0.711288,0.824366,0.193054,19
550,2235.789,0.768042,0.707729,0.828355,0.196673,17
575,2257.520,0.765067,0.716076,0.814058,0.200078,17
600,2397.794,0.764045,0.720335,0.807756,0.199835,17
625,2420.206,0.764156,0.725957,0.802356,0.198047,17
650,2561.947,0.763924,0.732280,0.795567,0.194096,17
675,2584.330,0.764476,0.734696,0.794257,0.190701,17
700,2705.697,0.762828,0.738960,0.786695,0.189130,15
725,2725.361,0.763033,0.745943,0.780123,0.183959,15
750,2851.743,0.766064,0.751965,0.780164,0.180946,15
775,2871.393,0.769826,0.758551,0.781102,0.177706,15
800,2999.941,0.775323,0.756486,0.794160,0.178890,15
825,3019.673,0.772340,0.749008,0.795672,0.190406,15
850,3146.487,0.764481,0.745999,0.782962,0.204771,15
875,3166.118,0.762382,0.748793,0.775972,0.210706,15
