step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.376,0.156898,0.173700,0.140095,1.080129,20
25,26.636,0.268778,0.306563,0.230993,0.854215,20
50,195.177,0.412319,0.458739,0.365900,0.683049,23
75,225.695,0.530976,0.591682,0.470270,0.559993,23
100,386.430,0.602660,0.664006,0.541314,0.483289,21
125,414.085,0.651590,0.700009,0.603171,0.437791,21
150,579.038,0.685271,0.701536,0.669006,0.401174,22
175,608.421,0.712215,0.703553,0.720877,0.371513,22
200,787.949,0.737005,0.703390,0.770621,0.343175,21
225,815.569,0.750527,0.708710,0.792344,0.328003,21
250,990.029,0.764572,0.727879,0.801266,0.305614,24
275,1021.474,0.778808,0.746987,0.810629,0.291906,24
300,1226.296,0.789153,0.762354,0.815953,0.274563,26
325,1261.799,0.796622,0.778296,0.814949,0.264551,26
350,1469.961,0.799533,0.780915,0.818152,0.263144,24
375,1501.931,0.801066,0.777662,0.824470,0.266791,24
400,1707.377,0.794000,0.765051,0.822948,0.277655,26
425,1742.441,0.799067,0.771064,0.827071,0.276655,26
450,1959.704,0.797457,0.767963,0.826951,0.278546,25
475,1993.256,0.794375,0.767535,0.821214,0.272595,25
500,2210.608,0.798720,0.775755,0.821685,0.263103,28
525,2248.821,0.806023,0.787620,0.824427,0.246869,28
550,2482.117,0.809657,0.792156,0.827158,0.239721,29
575,2521.791,0.815301,0.800018,0.830583,0.234525,29
600,2752.678,0.820056,0.806460,0.833652,0.228714,29
625,2792.260,0.823247,0.814479,0.832014,0.223297,29
650,3024.490,0.826485,0.822157,0.830814,0.216432,26
675,3060.102,0.831714,0.830710,0.832717,0.210654,26
700,3289.061,0.836083,0.832485,0.839681,0.206452,26
725,3324.810,0.839575,0.835580,0.843571,0.204348,26
750,3553.503,0.846649,0.838377,0.854922,0.198897,26
775,3589.187,0.846122,0.830907,0.861336,0.198229,26
800,3816.758,0.848569,0.830286,0.866851,0.196006,26
825,3852.611,0.850476,0.833600,0.867352,0.194249,26
850,4082.980,0.849708,0.832472,0.866943,0.192496,26
875,4118.683,0.846856,0.823383,0.870330,0.194968,26
900,4348.289,0.854896,0.824446,0.885347,0.187109,29
925,4389.097,0.868785,0.830939,0.906631,0.177080,29
950,4632.828,0.874586,0.823096,0.926075,0.171801,27
975,4670.474,0.880309,0.819355,0.941262,0.175274,27
1000,4905.773,0.885606,0.814946,0.956266,0.174085,27
1025,4942.510,0.886560,0.815968,0.957152,0.174726,27
1050,5179.238,0.887058,0.817308,0.956808,0.176304,27
1075,5216.542,0.888047,0.818104,0.957990,0.179833,27
1100,5451.676,0.886206,0.815184,0.957227,0.186841,27
1125,5488.435,0.884117,0.809621,0.958614,0.195904,27
1150,5716.616,0.883798,0.809766,0.957831,0.198715,26
