step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.393,0.284974,0.263907,0.306041,0.564071,20
25,26.957,0.426918,0.400946,0.452890,0.360282,20
50,193.642,0.607628,0.588142,0.627114,0.249102,23
75,223.629,0.719785,0.726561,0.713009,0.187628,23
100,394.984,0.766065,0.768882,0.763248,0.153196,23
125,425.441,0.786657,0.785013,0.788302,0.135071,23
150,591.604,0.814992,0.822087,0.807898,0.119974,22
175,620.361,0.816680,0.821110,0.812250,0.117487,22
200,777.219,0.816855,0.822314,0.811396,0.119013,18
225,800.761,0.813047,0.825145,0.800949,0.120624,18
250,946.907,0.824942,0.842864,0.807020,0.111668,20
275,973.587,0.855728,0.890786,0.820670,0.093624,20
300,1120.694,0.861127,0.903910,0.818345,0.093183,17
325,1143.003,0.857751,0.897810,0.817693,0.093016,17
350,1285.347,0.861419,0.909136,0.813702,0.095153,17
375,1307.646,0.863346,0.913576,0.813116,0.098160,17
400,1451.071,0.861078,0.911633,0.810523,0.102630,17
425,1473.338,0.867718,0.914101,0.821335,0.097810,17
450,1615.252,0.868734,0.914777,0.822691,0.098857,17
475,1637.469,0.868802,0.917370,0.820234,0.101989,17
500,1779.030,0.871699,0.920456,0.822941,0.099511,17
525,1801.418,0.873680,0.919848,0.827511,0.098732,17
550,1941.490,0.872746,0.920853,0.824640,0.102203,17
