step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.378,0.156035,0.188703,0.123366,0.952467,20
25,26.966,0.240186,0.261768,0.218603,0.726988,20
50,52.385,0.355282,0.349338,0.361226,0.598223,20
75,77.668,0.474316,0.417708,0.530925,0.488464,20
100,102.283,0.552775,0.452381,0.653169,0.419339,20
125,127.072,0.603814,0.485761,0.721867,0.368320,20
150,151.565,0.640075,0.536031,0.744120,0.338999,20
175,176.262,0.697537,0.603056,0.792018,0.294483,20
200,201.215,0.715732,0.626385,0.805078,0.277166,20
225,226.965,0.741686,0.659459,0.823912,0.257488,20
250,252.453,0.761210,0.697311,0.825109,0.245762,20
275,277.986,0.764434,0.705400,0.823468,0.238483,20
300,303.027,0.768860,0.710876,0.826844,0.235413,20
325,328.128,0.773589,0.722822,0.824357,0.230038,20
350,352.928,0.778278,0.729561,0.826996,0.228290,20
375,378.002,0.786135,0.740968,0.831303,0.223657,20
400,403.508,0.787194,0.740368,0.834021,0.217612,20
425,428.888,0.787946,0.737024,0.838868,0.213015,20
450,454.349,0.795805,0.746177,0.845432,0.207975,20
475,479.566,0.799670,0.749330,0.850011,0.203076,20
500,504.511,0.800814,0.756723,0.844905,0.197548,20
525,529.538,0.797687,0.752283,0.843091,0.200528,20
550,554.293,0.800862,0.756964,0.844760,0.198415,20
575,579.328,0.808158,0.764260,0.852057,0.195368,20
600,604.531,0.810266,0.769098,0.851433,0.193489,20
625,629.353,0.813738,0.773314,0.854162,0.193305,20
650,653.826,0.814803,0.776799,0.852806,0.191584,20
675,677.772,0.815730,0.778565,0.852894,0.189303,20
700,702.483,0.819152,0.787307,0.850996,0.186705,20
725,727.114,0.819103,0.790936,0.847271,0.189166,20
750,751.214,0.819963,0.791922,0.848004,0.184662,20
775,775.221,0.824343,0.799214,0.849473,0.182067,20
800,798.953,0.822870,0.798294,0.847445,0.184102,20
825,822.797,0.827674,0.804614,0.850734,0.179631,20
850,846.885,0.830354,0.812542,0.848166,0.175347,20
875,870.864,0.832316,0.818225,0.846407,0.173331,20
900,894.866,0.835474,0.823586,0.847362,0.170335,20
925,918.880,0.837598,0.829108,0.846088,0.166421,20
950,943.003,0.842183,0.834622,0.849744,0.159409,20
975,967.051,0.843621,0.838554,0.848688,0.159129,20
1000,991.233,0.844952,0.840708,0.849195,0.159232,20
1025,1015.560,0.844848,0.840848,0.848847,0.160873,20
1050,1039.611,0.841988,0.833700,0.850276,0.168559,20
1075,1063.789,0.846074,0.840245,0.851903,0.162768,20
1100,1087.907,0.848850,0.849784,0.847916,0.158357,20
1125,1112.221,0.852121,0.853173,0.851068,0.155579,20
1150,1136.235,0.850688,0.853687,0.847690,0.156157,20
1175,1160.750,0.849767,0.852636,0.846898,0.150549,20
1200,1184.916,0.854730,0.861439,0.848022,0.149567,20
1225,1208.929,0.859329,0.869746,0.848912,0.144543,20
1250,1233.172,0.861952,0.872574,0.851331,0.139545,20
1275,1257.529,0.863564,0.875608,0.851520,0.135637,20
1300,1281.567,0.867600,0.882908,0.852291,0.130711,20
1325,1305.771,0.869633,0.887774,0.851493,0.127782,20
1350,1330.966,0.873092,0.892401,0.853783,0.125351,20
1375,1356.106,0.870963,0.891525,0.850401,0.131009,20
1400,1381.255,0.871292,0.892854,0.849731,0.131446,20
1425,1406.518,0.870416,0.893652,0.847180,0.134824,20
1450,1431.164,0.872346,0.893133,0.851558,0.129959,20
1475,1455.808,0.871616,0.893808,0.849425,0.131562,20
1500,1480.275,0.872338,0.894814,0.849863,0.134012,20
1525,1504.614,0.874253,0.896354,0.852153,0.131842,20
1550,1529.299,0.873974,0.896119,0.851828,0.130461,20
1575,1553.846,0.874131,0.895248,0.853013,0.130732,20
1600,1578.367,0.873021,0.896693,0.849350,0.130764,20
1625,1603.124,0.876504,0.899065,0.853943,0.124503,20
1650,1628.305,0.877108,0.901315,0.852901,0.125424,20
1675,1652.737,0.875602,0.900351,0.850854,0.126170,20
1700,1677.406,0.875737,0.901452,0.850021,0.128383,20
1725,1701.878,0.877752,0.903899,0.851605,0.127120,20
1750,1726.595,0.878700,0.904957,0.852443,0.126035,20
1775,1751.444,0.882481,0.907350,0.857613,0.123050,20
1800,1776.295,0.883124,0.905960,0.860288,0.128103,20
1825,1801.150,0.883216,0.906640,0.859792,0.127246,20
1850,1825.649,0.885208,0.912172,0.858244,0.125302,20
1875,1850.565,0.883572,0.911944,0.855199,0.127570,20
1900,1874.937,0.877410,0.901721,0.853100,0.130091,20
1925,1898.946,0.879031,0.904058,0.854004,0.127339,20
1950,1923.105,0.882560,0.906612,0.858508,0.121257,20
1975,1948.074,0.883725,0.910005,0.857445,0.119986,20
2000,1972.638,0.884051,0.908319,0.859783,0.118140,20
