step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.357,0.156898,0.173700,0.140095,1.080129,20
25,25.443,0.268778,0.306563,0.230993,0.854215,20
50,50.240,0.411587,0.459720,0.363453,0.690121,20
75,74.640,0.531413,0.592692,0.470134,0.564034,20
100,99.602,0.610006,0.677325,0.542688,0.482432,20
125,124.493,0.650233,0.694129,0.606337,0.435799,20
150,149.450,0.680392,0.704872,0.655911,0.408193,20
175,174.723,0.708647,0.714820,0.702473,0.372489,20
200,200.157,0.719304,0.716462,0.722145,0.357122,20
225,225.327,0.738447,0.719754,0.757140,0.337406,20
250,250.417,0.757021,0.728818,0.785224,0.314317,20
275,275.293,0.771284,0.741789,0.800779,0.289282,20
300,300.329,0.786515,0.756050,0.816981,0.264993,20
325,325.196,0.797561,0.761338,0.833785,0.253595,20
350,349.909,0.806039,0.764446,0.847632,0.243068,20
375,374.750,0.812421,0.762308,0.862534,0.236116,20
400,399.888,0.818153,0.766551,0.869755,0.223483,20
425,424.789,0.820456,0.764136,0.876776,0.217789,20
450,449.664,0.825609,0.757403,0.893815,0.219430,20
475,474.165,0.828868,0.754968,0.902768,0.218920,20
500,498.800,0.832968,0.752788,0.913147,0.215820,20
525,523.231,0.833019,0.752247,0.913791,0.214401,20
550,547.814,0.835247,0.753740,0.916755,0.209839,20
575,572.404,0.835323,0.756023,0.914624,0.209815,20
600,597.118,0.834444,0.756192,0.912696,0.207887,20
625,621.730,0.834031,0.756033,0.912029,0.205128,20
650,646.370,0.834482,0.757530,0.911434,0.202057,20
675,670.958,0.831878,0.759160,0.904595,0.199531,20
700,695.503,0.832090,0.757996,0.906184,0.200633,20
725,720.055,0.831512,0.756072,0.906952,0.200204,20
750,744.671,0.830645,0.755785,0.905505,0.200735,20
775,769.242,0.831749,0.757881,0.905618,0.199087,20
800,793.953,0.834001,0.759175,0.908827,0.194696,20
825,818.524,0.835170,0.759724,0.910616,0.190962,20
850,843.421,0.837183,0.758173,0.916194,0.189451,20
875,868.177,0.838576,0.758982,0.918169,0.185618,20
900,893.095,0.837870,0.758160,0.917580,0.186488,20
925,917.942,0.838200,0.759178,0.917223,0.185091,20
950,942.899,0.836419,0.758748,0.914089,0.185344,20
975,967.712,0.835413,0.758782,0.912044,0.186158,20
1000,992.401,0.835330,0.756854,0.913807,0.187460,20
1025,1017.193,0.836017,0.759273,0.912762,0.185522,20
1050,1042.001,0.836466,0.757366,0.915566,0.185084,20
1075,1066.805,0.833676,0.757535,0.909818,0.187877,20
1100,1091.626,0.834207,0.758223,0.910190,0.184858,20
1125,1116.392,0.836043,0.758320,0.913767,0.184621,20
1150,1141.242,0.839027,0.761711,0.916342,0.179128,20
1175,1166.241,0.840024,0.764610,0.915438,0.178945,20
1200,1191.094,0.839964,0.764149,0.915780,0.178615,20
1225,1215.941,0.839860,0.760377,0.919342,0.182678,20
1250,1240.706,0.838717,0.756837,0.920597,0.185391,20
1275,1265.607,0.838166,0.758240,0.918092,0.184976,20
1300,1290.462,0.837480,0.756917,0.918043,0.185449,20
1325,1315.302,0.834960,0.755504,0.914416,0.187148,20
1350,1340.201,0.833763,0.755852,0.911673,0.187494,20
1375,1365.034,0.833013,0.756929,0.909097,0.188541,20
1400,1389.895,0.833294,0.759027,0.907561,0.189981,20
1425,1414.950,0.830619,0.758726,0.902512,0.189985,20
1450,1439.799,0.830660,0.757428,0.903891,0.189636,20
1475,1464.637,0.831610,0.760973,0.902246,0.190107,20
1500,1489.269,0.832809,0.760819,0.904800,0.188583,20
1525,1513.649,0.833692,0.761158,0.906227,0.186991,20
1550,1538.060,0.833735,0.762136,0.905334,0.189128,20
1575,1562.375,0.832452,0.760811,0.904092,0.190040,20
1600,1586.839,0.830211,0.761299,0.899123,0.192162,20
1625,1611.519,0.831737,0.762317,0.901156,0.189261,20
1650,1635.793,0.832052,0.763279,0.900826,0.189645,20
1675,1660.363,0.834656,0.762840,0.906471,0.187527,20
1700,1684.984,0.833230,0.760613,0.905847,0.187417,20
1725,1709.625,0.831345,0.760595,0.902096,0.188711,20
1750,1734.137,0.829795,0.762004,0.897587,0.188919,20
1775,1758.737,0.832377,0.762064,0.902691,0.187878,20
1800,1783.227,0.831082,0.762837,0.899326,0.188460,20
1825,1807.730,0.829733,0.763208,0.896258,0.189265,20
1850,1832.103,0.828959,0.765371,0.892548,0.191294,20
1875,1856.702,0.824589,0.763139,0.886039,0.193040,20
1900,1881.297,0.818574,0.763899,0.873249,0.199054,20
1925,1906.003,0.820111,0.762835,0.877387,0.197771,20
1950,1930.598,0.824832,0.763529,0.886135,0.191134,20
1975,1955.253,0.825674,0.763612,0.887736,0.191524,20
2000,1979.946,0.826921,0.759432,0.894410,0.191460,20
