step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.370,0.238938,0.185128,0.292748,0.742472,20
25,25.450,0.365969,0.338126,0.393812,0.552908,20
50,49.820,0.484458,0.464569,0.504348,0.439155,20
75,74.147,0.568221,0.543081,0.593360,0.362779,20
100,99.012,0.641181,0.596897,0.685465,0.303560,20
125,124.061,0.685157,0.630891,0.739423,0.270784,20
150,149.128,0.708851,0.641682,0.776021,0.252081,20
175,174.336,0.735088,0.652241,0.817935,0.231385,20
200,199.569,0.749296,0.654215,0.844376,0.220503,20
225,224.757,0.758951,0.657944,0.859958,0.211345,20
250,250.069,0.760324,0.658645,0.862004,0.210282,20
275,275.212,0.764437,0.656943,0.871931,0.208283,20
300,300.150,0.766740,0.658421,0.875059,0.207158,20
325,324.940,0.769080,0.660977,0.877183,0.202682,20
350,349.939,0.774774,0.660580,0.888968,0.200093,20
375,374.673,0.779070,0.661494,0.896645,0.195471,20
400,399.478,0.780621,0.663557,0.897684,0.193390,20
425,424.009,0.784231,0.669267,0.899195,0.188928,20
450,448.708,0.785714,0.671096,0.900331,0.187572,20
475,473.359,0.789470,0.672731,0.906209,0.185393,20
500,498.008,0.792864,0.676937,0.908790,0.183657,20
525,522.408,0.797702,0.681682,0.913722,0.181014,20
550,547.115,0.804591,0.694407,0.914775,0.175166,20
575,571.774,0.819154,0.724982,0.913326,0.161878,20
600,596.664,0.834910,0.754247,0.915573,0.149145,20
625,621.245,0.837108,0.760304,0.913911,0.148659,20
650,645.936,0.838124,0.758517,0.917730,0.148444,20
675,670.589,0.836744,0.758356,0.915132,0.150129,20
700,695.201,0.837646,0.759294,0.915999,0.154325,20
725,719.917,0.838189,0.758404,0.917975,0.153523,20
750,744.497,0.842332,0.761786,0.922877,0.146252,20
775,769.105,0.842065,0.759336,0.924793,0.150474,20
800,793.958,0.841181,0.759030,0.923331,0.148809,20
825,818.656,0.843446,0.760377,0.926516,0.147220,20
850,843.454,0.845076,0.762847,0.927305,0.144118,20
875,868.139,0.847378,0.770335,0.924421,0.140375,20
900,892.993,0.848044,0.768521,0.927567,0.140309,20
925,917.771,0.849777,0.775286,0.924267,0.138544,20
950,942.361,0.851321,0.777905,0.924738,0.137744,20
975,966.722,0.851878,0.781714,0.922041,0.136924,20
1000,990.947,0.852120,0.782518,0.921722,0.136538,20
1025,1015.351,0.853251,0.783506,0.922995,0.135494,20
1050,1039.868,0.854680,0.785692,0.923668,0.134979,20
1075,1064.686,0.852777,0.786055,0.919500,0.135254,20
1100,1089.475,0.856834,0.793229,0.920440,0.130452,20
1125,1114.371,0.859140,0.795240,0.923041,0.130289,20
1150,1138.940,0.862959,0.799896,0.926022,0.128338,20
1175,1163.240,0.863130,0.800893,0.925366,0.128621,20
1200,1187.492,0.865280,0.806556,0.924004,0.125857,20
1225,1211.842,0.864737,0.804370,0.925103,0.127590,20
1250,1236.124,0.867262,0.810648,0.923876,0.124696,20
1275,1260.447,0.867800,0.810828,0.924773,0.124788,20
1300,1284.705,0.867170,0.810637,0.923703,0.125403,20
1325,1309.026,0.869522,0.813143,0.925900,0.123578,20
1350,1333.347,0.869876,0.811475,0.928276,0.122700,20
1375,1357.720,0.870698,0.814537,0.926858,0.121186,20
1400,1381.988,0.869604,0.812643,0.926564,0.122934,20
1425,1406.223,0.869222,0.813468,0.924976,0.122486,20
1450,1430.608,0.868114,0.811444,0.924785,0.125587,20
1475,1454.961,0.868471,0.810872,0.926070,0.124534,20
1500,1479.227,0.870308,0.814730,0.925887,0.122098,20
1525,1503.600,0.868932,0.810940,0.926924,0.123691,20
1550,1527.824,0.871587,0.814222,0.928951,0.120480,20
1575,1552.108,0.871795,0.813702,0.929889,0.120843,20
1600,1576.354,0.871671,0.813528,0.929814,0.120481,20
1625,1600.645,0.870257,0.811739,0.928774,0.121531,20
1650,1624.935,0.871527,0.813274,0.929781,0.120394,20
1675,1649.219,0.870931,0.809074,0.932789,0.121981,20
1700,1673.542,0.868897,0.805691,0.932103,0.124082,20
1725,1697.581,0.871451,0.810673,0.932229,0.120671,20
1750,1721.738,0.871601,0.810524,0.932679,0.120914,20
1775,1746.540,0.871901,0.810429,0.933373,0.121054,20
1800,1771.013,0.872662,0.812376,0.932947,0.120434,20
1825,1795.306,0.873112,0.810033,0.936190,0.120419,20
1850,1819.684,0.871930,0.806909,0.936952,0.124161,20
1875,1843.991,0.872005,0.812682,0.931328,0.121568,20
1900,1868.636,0.867485,0.807473,0.927497,0.125000,20
1925,1892.840,0.867526,0.805797,0.929256,0.127111,20
1950,1917.285,0.867675,0.805935,0.929416,0.127261,20
1975,1941.703,0.864471,0.804031,0.924911,0.128845,20
2000,1966.168,0.866916,0.805717,0.928116,0.128466,20
