step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.376,0.232155,0.207057,0.257252,0.423639,20
25,26.694,0.341938,0.286730,0.397146,0.304182,20
50,52.089,0.414667,0.354057,0.475276,0.265094,20
75,77.640,0.462143,0.391590,0.532696,0.239482,20
100,103.328,0.491934,0.418456,0.565411,0.220344,20
125,129.061,0.528624,0.456396,0.600852,0.205092,20
150,154.949,0.573685,0.485510,0.661859,0.187724,20
175,180.816,0.607204,0.512768,0.701640,0.178726,20
200,206.791,0.613115,0.517160,0.709069,0.170035,20
225,232.938,0.623210,0.527282,0.719138,0.164439,20
250,259.154,0.645854,0.546073,0.745636,0.151435,20
275,285.399,0.662068,0.555708,0.768428,0.146757,20
300,311.666,0.672546,0.568570,0.776522,0.144051,20
325,337.917,0.680862,0.578205,0.783520,0.141960,20
350,364.239,0.687361,0.582754,0.791967,0.140060,20
375,390.652,0.698138,0.601015,0.795261,0.138800,20
400,417.282,0.707423,0.608772,0.806073,0.135072,20
425,443.973,0.723174,0.631928,0.814420,0.130761,20
450,470.551,0.735357,0.649003,0.821710,0.129148,20
475,497.268,0.735520,0.647479,0.823561,0.136930,20
500,523.850,0.731015,0.664205,0.797824,0.117771,20
525,550.480,0.750146,0.672275,0.828017,0.112684,20
550,577.108,0.763285,0.685042,0.841528,0.104104,20
575,603.770,0.769445,0.689962,0.848929,0.102659,20
600,630.323,0.769539,0.690688,0.848390,0.100229,20
625,656.984,0.769851,0.688588,0.851114,0.100803,20
650,683.576,0.771587,0.690601,0.852574,0.098243,20
675,710.244,0.774447,0.693214,0.855680,0.096114,20
700,736.879,0.770920,0.693489,0.848351,0.097350,20
725,763.745,0.771027,0.693168,0.848886,0.097855,20
750,790.504,0.773021,0.694637,0.851405,0.098474,20
775,817.359,0.773033,0.694249,0.851816,0.097321,20
800,844.026,0.774638,0.696001,0.853274,0.095921,20
825,870.860,0.776060,0.698216,0.853903,0.094440,20
850,897.584,0.779361,0.705574,0.853148,0.093972,20
875,924.413,0.779102,0.707740,0.850464,0.093887,20
900,951.040,0.779693,0.706592,0.852795,0.095123,20
925,977.587,0.779450,0.706936,0.851964,0.093467,20
950,1003.861,0.779136,0.707064,0.851208,0.094393,20
975,1030.263,0.779915,0.709129,0.850701,0.093393,20
1000,1056.140,0.781140,0.711405,0.850875,0.093715,20
1025,1081.922,0.780280,0.711955,0.848606,0.092989,20
1050,1108.044,0.778724,0.710911,0.846536,0.094334,20
1075,1134.260,0.778625,0.710373,0.846877,0.093722,20
1100,1160.257,0.778823,0.711034,0.846611,0.092691,20
1125,1186.500,0.778554,0.709556,0.847551,0.093206,20
1150,1212.585,0.778091,0.709671,0.846511,0.094781,20
1175,1238.674,0.776842,0.711436,0.842247,0.094317,20
