step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.405,0.160325,0.164391,0.156260,0.611503,20
25,27.010,0.261458,0.273886,0.249029,0.426065,20
50,53.114,0.387980,0.372238,0.403723,0.352076,20
75,79.362,0.491643,0.457509,0.525777,0.287354,20
100,105.675,0.564210,0.536863,0.591558,0.245533,20
125,131.898,0.619327,0.605906,0.632748,0.221924,20
150,158.115,0.641719,0.620080,0.663357,0.201426,20
175,183.539,0.659406,0.631920,0.686891,0.188193,20
200,209.100,0.676135,0.641368,0.710902,0.179220,20
225,234.662,0.684267,0.647431,0.721103,0.172281,20
250,260.909,0.690922,0.649472,0.732372,0.165847,20
275,287.134,0.697086,0.643827,0.750346,0.162610,20
300,313.476,0.703214,0.640638,0.765791,0.159158,20
325,339.649,0.702764,0.634003,0.771524,0.158470,20
350,365.831,0.700807,0.631705,0.769910,0.156871,20
375,391.979,0.701889,0.631386,0.772392,0.155182,20
400,418.220,0.702947,0.633765,0.772129,0.155245,20
425,444.126,0.701722,0.630935,0.772509,0.153865,20
450,470.247,0.703257,0.628253,0.778261,0.152745,20
475,496.383,0.703498,0.625713,0.781283,0.152574,20
500,522.658,0.703645,0.625104,0.782187,0.151004,20
525,548.940,0.703769,0.623688,0.783850,0.150463,20
550,574.898,0.705022,0.625841,0.784204,0.149176,20
575,600.763,0.703918,0.621853,0.785982,0.148770,20
600,626.543,0.704171,0.620620,0.787723,0.149135,20
625,652.101,0.708315,0.628411,0.788218,0.147278,20
650,677.665,0.709358,0.627939,0.790777,0.146689,20
675,703.456,0.708692,0.626118,0.791266,0.147254,20
700,729.103,0.708683,0.627330,0.790036,0.146620,20
725,754.704,0.709653,0.628284,0.791021,0.146985,20
750,780.514,0.708901,0.626036,0.791765,0.148208,20
775,805.927,0.706482,0.619486,0.793478,0.149315,20
800,831.106,0.705914,0.620247,0.791582,0.147845,20
825,856.284,0.707452,0.623084,0.791820,0.146287,20
850,881.708,0.711110,0.629407,0.792813,0.146949,20
875,907.306,0.715916,0.640844,0.790989,0.146688,20
900,932.700,0.717946,0.644968,0.790923,0.145409,20
925,958.372,0.722239,0.650645,0.793833,0.144463,20
950,983.918,0.726434,0.659325,0.793542,0.141625,20
975,1008.642,0.732417,0.667863,0.796970,0.141044,20
1000,1033.455,0.735562,0.675927,0.795197,0.146610,20
1025,1058.466,0.739476,0.682399,0.796552,0.146902,20
