step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.388,0.187996,0.185776,0.190215,0.880670,20
25,26.918,0.311078,0.296878,0.325278,0.602234,20
50,52.032,0.407311,0.401073,0.413548,0.499520,20
75,77.314,0.499946,0.506241,0.493651,0.420024,20
100,102.552,0.560892,0.560445,0.561340,0.371498,20
125,128.285,0.596385,0.585399,0.607372,0.339490,20
150,154.004,0.626754,0.608313,0.645195,0.314345,20
175,180.331,0.653250,0.615320,0.691180,0.295377,20
200,206.162,0.679567,0.624181,0.734954,0.278568,20
225,232.004,0.681976,0.624599,0.739352,0.282192,20
250,257.907,0.696024,0.628939,0.763109,0.273459,20
275,283.879,0.704141,0.636458,0.771824,0.263231,20
300,309.817,0.701329,0.646186,0.756471,0.253770,20
325,335.505,0.708985,0.652413,0.765558,0.245889,20
350,361.245,0.720146,0.654793,0.785499,0.237331,20
375,387.298,0.728853,0.659314,0.798393,0.227482,20
400,413.124,0.731845,0.660491,0.803198,0.222753,20
425,438.645,0.737815,0.664268,0.811363,0.218989,20
450,464.181,0.741205,0.665820,0.816589,0.214661,20
475,489.953,0.747140,0.670296,0.823985,0.209688,20
500,515.554,0.748532,0.673134,0.823930,0.207949,20
525,541.011,0.753522,0.676787,0.830257,0.204532,20
550,566.662,0.755837,0.677889,0.833785,0.200532,20
575,592.126,0.756048,0.677704,0.834392,0.203403,20
600,617.849,0.753894,0.676421,0.831368,0.201839,20
625,643.882,0.757546,0.681033,0.834060,0.198874,20
650,669.795,0.761918,0.684410,0.839426,0.196931,20
675,695.412,0.763037,0.686704,0.839370,0.195332,20
700,720.830,0.765419,0.693880,0.836958,0.193792,20
725,746.137,0.769057,0.695556,0.842558,0.190729,20
750,771.664,0.769238,0.696775,0.841702,0.190209,20
775,797.233,0.771227,0.699314,0.843140,0.188558,20
800,822.846,0.773557,0.698894,0.848221,0.187213,20
825,848.342,0.772906,0.697817,0.847995,0.186936,20
850,873.798,0.775692,0.702150,0.849234,0.185526,20
875,899.361,0.779133,0.705244,0.853021,0.183924,20
900,924.939,0.786832,0.719402,0.854262,0.177087,20
925,950.350,0.794226,0.725282,0.863170,0.172361,20
950,975.726,0.799656,0.730065,0.869247,0.167810,20
975,1001.110,0.798479,0.732818,0.864141,0.164688,20
1000,1026.675,0.802400,0.732911,0.871889,0.163561,20
1025,1052.433,0.799131,0.732311,0.865951,0.165188,20
1050,1078.139,0.798307,0.733481,0.863132,0.164919,20
1075,1104.246,0.798595,0.735024,0.862167,0.165982,20
1100,1130.344,0.801352,0.734952,0.867751,0.164546,20
1125,1155.678,0.799941,0.735409,0.864473,0.165457,20
1150,1181.284,0.799677,0.734535,0.864820,0.167405,20
1175,1206.986,0.795090,0.738211,0.851969,0.169274,20
1200,1232.665,0.795297,0.737487,0.853107,0.169073,20
1225,1258.412,0.792487,0.735781,0.849192,0.170430,20
