step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.375,2.509515,0.193328,0.153888,0.232768,20,0.00000000,0,0.217026,0.095766,0.338286,0.558592,0.637786,0.479397,0.240068,0.168625,0.311510,0.035213,0.047031,0.826851,0.681671,0.000000,0,0,0
25,26.895,1.888159,0.356830,0.280783,0.432877,20,0.00001994,0,0.182037,0.063992,0.300082,0.737906,0.823589,0.652223,0.430763,0.298751,0.562776,0.022972,0.041427,0.697381,0.432584,0.000000,0,0,0
50,198.936,1.456204,0.468282,0.362888,0.573677,23,0.00007297,1,0.218541,0.067613,0.369469,0.765777,0.851413,0.680141,0.586528,0.387423,0.785633,0.024392,0.051018,0.608557,0.211391,0.000000,3,0,0
75,229.819,1.148490,0.552980,0.438497,0.667463,23,0.00010424,1,0.218135,0.069903,0.366367,0.791866,0.870322,0.713410,0.690575,0.469149,0.912000,0.025183,0.050764,0.527569,0.086148,0.000000,3,0,0
100,412.369,0.950045,0.612597,0.529161,0.696034,24,0.00011526,2,0.215761,0.073155,0.358367,0.805511,0.885879,0.725144,0.756670,0.567871,0.945469,0.026113,0.049385,0.428277,0.054037,0.000000,6,0,2
125,444.160,0.779463,0.667158,0.620847,0.713469,24,0.00007697,1,0.206888,0.071898,0.341878,0.819682,0.902495,0.736869,0.811436,0.665484,0.957388,0.025967,0.047342,0.330850,0.042138,0.000000,6,0,2
150,641.549,0.625197,0.711454,0.711114,0.711794,27,0.00001316,1,0.222384,0.078401,0.366367,0.816811,0.907247,0.726375,0.869719,0.766866,0.972571,0.028384,0.050926,0.230071,0.028099,0.000000,9,0,2
175,676.592,0.524319,0.741255,0.763976,0.718533,27,0.00009207,0,0.220254,0.078549,0.361959,0.821483,0.912969,0.729996,0.901299,0.823986,0.978612,0.028537,0.049327,0.172730,0.021046,0.000000,9,0,2
200,902.785,0.447429,0.768968,0.806627,0.731309,30,0.00025835,0,0.205625,0.072637,0.338612,0.832774,0.922550,0.742999,0.922079,0.865218,0.978939,0.026168,0.046900,0.132501,0.019528,0.000000,12,0,2
225,942.270,0.406052,0.785624,0.835132,0.736116,30,0.00009797,0,0.196967,0.068056,0.325878,0.839398,0.929110,0.749686,0.933984,0.891968,0.976000,0.025042,0.045209,0.105889,0.024265,0.000000,12,0,2
