step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.385,5.488431,0.194768,0.155094,0.234443,20,0.00000000,0,0.220776,0.098204,0.343347,0.556355,0.634287,0.478423,0.242632,0.170324,0.314939,0.036136,0.047783,0.825351,0.678234,0.000000,0,0,0
25,27.529,3.659136,0.380478,0.332559,0.428398,20,0.00003103,0,0.294696,0.112983,0.476408,0.668257,0.766136,0.570377,0.501311,0.370132,0.632490,0.041625,0.066254,0.625568,0.363883,0.000000,0,0,0
50,205.416,2.152221,0.493308,0.492388,0.494227,23,0.00002191,0,0.456761,0.160053,0.753469,0.658021,0.781124,0.534919,0.718904,0.571196,0.866612,0.058462,0.105049,0.425410,0.131547,0.000000,3,0,0
75,236.747,1.273313,0.562339,0.603073,0.521606,23,0.00014286,0,0.530142,0.197591,0.862694,0.657435,0.785186,0.529684,0.846913,0.722235,0.971592,0.073022,0.120511,0.275287,0.030000,0.000000,3,0,0
100,437.923,0.791428,0.595369,0.689948,0.500790,26,0.00025727,1,0.599656,0.235720,0.963592,0.644240,0.783406,0.505073,0.917965,0.852583,0.983347,0.086921,0.134778,0.145734,0.018632,0.000000,6,0,0
125,472.761,0.504620,0.642268,0.749520,0.535017,26,0.00000018,0,0.539563,0.230474,0.848653,0.669133,0.800064,0.538202,0.955663,0.922264,0.989061,0.084872,0.118598,0.076819,0.012486,0.000000,6,0,0
150,654.573,0.307113,0.675469,0.786772,0.564167,28,0.00000053,0,0.497793,0.232321,0.763265,0.686272,0.806702,0.565843,0.982166,0.969556,0.994776,0.085056,0.106667,0.030149,0.007229,0.000000,9,0,1
175,691.515,0.225557,0.701249,0.824192,0.578305,28,0.00000000,1,0.460021,0.193675,0.726367,0.707186,0.835519,0.578853,0.991092,0.983817,0.998367,0.070848,0.101453,0.015500,0.004080,0.000000,9,0,1
200,869.850,0.206611,0.721664,0.846310,0.597018,27,0.00007336,0,0.415848,0.167369,0.664327,0.727222,0.855133,0.599311,0.990794,0.987955,0.993633,0.061086,0.093186,0.011527,0.007282,0.000000,9,0,2
225,905.570,0.182066,0.730073,0.857106,0.603040,27,0.00091216,0,0.405762,0.157319,0.654204,0.733524,0.863113,0.603934,0.994748,0.991946,0.997551,0.057524,0.091539,0.008382,0.004749,0.000000,9,0,2
250,1072.862,0.175614,0.741139,0.867661,0.614616,25,0.00076307,1,0.380781,0.144092,0.617469,0.745051,0.873245,0.616857,0.993403,0.992685,0.994122,0.052427,0.085321,0.007380,0.006816,0.000000,9,0,4
275,1106.402,0.159187,0.749766,0.872518,0.627014,25,0.00086811,1,0.364844,0.138994,0.590694,0.752673,0.877299,0.628046,0.995590,0.993793,0.997388,0.051032,0.082886,0.006071,0.004499,0.000000,9,0,4
300,1282.232,0.163467,0.755994,0.873516,0.638471,25,0.00084754,1,0.348108,0.132787,0.563429,0.760444,0.881683,0.639205,0.993856,0.989507,0.998204,0.048302,0.078778,0.009833,0.003639,0.000000,9,0,4
