step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.388,2.675557,0.158616,0.191797,0.125435,20,0.00019250,0,0.165384,0.114646,0.216122,0.532351,0.650929,0.413773,0.183165,0.213786,0.152544,0.028576,0.048858,0.783622,0.845125,0.000000,0,0,0
25,25.807,2.061746,0.328337,0.364464,0.292211,20,0.00000028,1,0.121525,0.088335,0.154714,0.751745,0.817863,0.685626,0.367039,0.396659,0.337420,0.021956,0.035005,0.600473,0.660102,0.000000,0,0,0
50,185.286,1.445910,0.511432,0.538455,0.484409,23,0.00006570,0,0.117164,0.096539,0.137789,0.829736,0.859473,0.800000,0.570796,0.590436,0.551155,0.023712,0.030966,0.407181,0.447374,0.000000,3,0,0
75,213.682,1.031572,0.635554,0.638610,0.632498,23,0.00004838,2,0.115219,0.105342,0.125095,0.860319,0.870144,0.850493,0.708751,0.705882,0.711620,0.025792,0.027962,0.293006,0.287179,0.000000,3,0,0
100,399.245,0.679597,0.742827,0.730163,0.755490,26,0.00067426,4,0.108698,0.110744,0.106651,0.883363,0.879857,0.886868,0.823544,0.811024,0.836064,0.027314,0.023652,0.188104,0.162715,0.000000,6,0,0
125,432.056,0.456016,0.807266,0.786216,0.828316,26,0.00211208,3,0.121117,0.124950,0.117283,0.881869,0.876214,0.887525,0.904959,0.884454,0.925464,0.030971,0.026186,0.115020,0.073692,0.000000,6,0,0
150,631.816,0.359005,0.834526,0.822498,0.846555,27,0.00219213,4,0.126839,0.129452,0.124227,0.881118,0.877694,0.884542,0.940346,0.928972,0.951720,0.032151,0.027853,0.070613,0.047693,0.000000,9,0,2
175,665.806,0.296445,0.859846,0.843963,0.875729,27,0.00163519,6,0.107138,0.116847,0.097429,0.898831,0.889707,0.907954,0.951814,0.942577,0.961050,0.028780,0.021779,0.057147,0.038603,0.000000,9,0,2
200,873.127,0.275554,0.869533,0.849932,0.889133,30,0.00149286,4,0.096610,0.107943,0.085277,0.907981,0.897160,0.918802,0.953316,0.941677,0.964956,0.026523,0.018754,0.057700,0.034750,0.000000,12,0,2
225,910.684,0.229655,0.888955,0.878274,0.899635,30,0.00196343,6,0.080674,0.092237,0.069111,0.922622,0.912282,0.932961,0.960547,0.959284,0.961810,0.022318,0.014951,0.039915,0.037734,0.000000,12,0,2
