step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.406,4.736409,0.287779,0.265292,0.310266,20,0.00019481,0,0.200438,0.187552,0.213323,0.632567,0.626836,0.638298,0.345750,0.315048,0.376452,0.025111,0.031572,0.681219,0.620241,0.000000,0,0,0
25,27.723,2.504919,0.533173,0.500275,0.566071,20,0.00032911,2,0.232661,0.217916,0.247405,0.738550,0.736565,0.740536,0.657707,0.609294,0.706119,0.029115,0.036586,0.388233,0.291089,0.000000,0,0,0
50,200.313,0.971052,0.656880,0.668551,0.645208,23,0.00145160,5,0.334649,0.275960,0.393338,0.725604,0.755572,0.695637,0.876019,0.853045,0.898993,0.037021,0.058390,0.145686,0.099916,0.000000,3,0,0
75,231.253,0.399120,0.694746,0.723393,0.666098,23,0.00245421,4,0.382621,0.313035,0.452208,0.716781,0.752125,0.681436,0.958576,0.949841,0.967312,0.042007,0.066944,0.050413,0.032739,0.000000,3,0,0
100,404.096,0.205248,0.707844,0.739643,0.676044,25,0.00113656,4,0.395055,0.336353,0.453757,0.715121,0.746106,0.684137,0.985614,0.988425,0.982804,0.045053,0.067263,0.011715,0.016998,0.000000,6,0,1
125,436.781,0.148643,0.726747,0.763676,0.689819,25,0.00105321,3,0.369855,0.303305,0.436406,0.730337,0.766438,0.694236,0.993081,0.995303,0.990860,0.040593,0.064491,0.005166,0.009648,0.000000,6,0,1
150,595.474,0.164224,0.740651,0.774809,0.706493,23,0.00036188,4,0.338781,0.274618,0.402943,0.746699,0.782430,0.710968,0.989378,0.987586,0.991170,0.036588,0.059808,0.012545,0.008903,0.000000,6,0,3
175,626.227,0.128159,0.758776,0.795555,0.721996,23,0.00087342,4,0.312469,0.252978,0.371960,0.762294,0.797584,0.727004,0.993681,0.996813,0.990550,0.033544,0.054677,0.003431,0.009944,0.000000,6,0,3
200,774.378,0.130370,0.763164,0.795234,0.731093,23,0.00062226,4,0.303143,0.246100,0.360186,0.767581,0.801058,0.734103,0.992682,0.990941,0.994423,0.032468,0.053297,0.008969,0.005682,0.000000,6,0,3
225,805.308,0.105469,0.778313,0.809062,0.747563,23,0.00126282,3,0.281968,0.229156,0.334779,0.780751,0.812723,0.748779,0.996148,0.994464,0.997831,0.030508,0.049545,0.006041,0.002997,0.000000,6,0,3
250,987.333,0.093316,0.789943,0.829653,0.750233,22,0.00135413,4,0.265456,0.200470,0.330442,0.791864,0.832445,0.751283,0.997057,0.995974,0.998141,0.026361,0.048433,0.004021,0.002938,0.000000,6,0,4
275,1016.698,0.096372,0.797243,0.837072,0.757415,22,0.00124366,4,0.252709,0.189230,0.316189,0.799737,0.840272,0.759202,0.996186,0.995471,0.996902,0.024809,0.046659,0.004700,0.003961,0.000000,6,0,4
300,1152.913,0.085373,0.800258,0.842426,0.758089,22,0.00034707,6,0.250258,0.183862,0.316654,0.801751,0.844340,0.759161,0.997728,0.997316,0.998141,0.024121,0.046837,0.003234,0.002674,0.000000,6,0,4
325,1182.371,0.090593,0.803264,0.850537,0.755992,22,0.00022971,4,0.245225,0.171783,0.318668,0.805376,0.852979,0.757772,0.996773,0.996645,0.996902,0.022667,0.046462,0.004178,0.003660,0.000000,6,0,4
350,1330.847,0.099828,0.810333,0.857556,0.763111,22,0.00024761,2,0.231963,0.161215,0.302711,0.813620,0.860664,0.766575,0.994960,0.995806,0.994113,0.021155,0.044957,0.004662,0.006492,0.000000,7,0,5
375,1359.792,0.101003,0.811163,0.859418,0.762907,22,0.00028620,2,0.230472,0.158698,0.302246,0.814639,0.862540,0.766738,0.994650,0.995806,0.993493,0.020754,0.044764,0.004609,0.007012,0.000000,7,0,5
400,1502.605,0.092877,0.814247,0.862996,0.765498,24,0.00018813,4,0.227065,0.154672,0.299458,0.817125,0.865637,0.768614,0.995605,0.996477,0.994733,0.020041,0.043963,0.004078,0.005684,0.000000,10,0,6
425,1534.526,0.083798,0.814613,0.864940,0.764287,24,0.00019273,2,0.228305,0.152659,0.303950,0.816750,0.867211,0.766289,0.996786,0.996980,0.996592,0.019846,0.044859,0.003584,0.003480,0.000000,10,0,6
450,1690.593,0.088059,0.818253,0.866199,0.770307,22,0.00014763,2,0.221715,0.148465,0.294965,0.820962,0.870139,0.771785,0.996160,0.994800,0.997521,0.019329,0.043428,0.005749,0.002994,0.000000,10,0,8
475,1719.834,0.082448,0.820200,0.867814,0.772585,22,0.00018654,1,0.219675,0.149807,0.289543,0.822141,0.869464,0.774819,0.997051,0.997819,0.996282,0.019203,0.042854,0.002922,0.004430,0.000000,10,0,8
500,1872.281,0.076985,0.827178,0.874155,0.780201,22,0.00010413,4,0.209814,0.141084,0.278544,0.828902,0.876087,0.781717,0.997502,0.997484,0.997521,0.018418,0.041057,0.003220,0.003276,0.000000,10,0,8
525,1901.471,0.086066,0.826089,0.873675,0.778504,22,0.00034809,3,0.209672,0.139406,0.279938,0.828920,0.877162,0.780677,0.995954,0.995471,0.996437,0.017952,0.041367,0.005006,0.004004,0.000000,10,0,8
550,2041.558,0.086268,0.824433,0.875111,0.773755,20,0.00031782,5,0.212861,0.137729,0.287994,0.827143,0.878478,0.775808,0.996115,0.995638,0.996592,0.017748,0.042206,0.004905,0.004008,0.000000,10,0,10
575,2068.005,0.085752,0.827628,0.876348,0.778908,20,0.00048828,5,0.207511,0.135548,0.279473,0.830553,0.880119,0.780988,0.995863,0.995135,0.996592,0.017230,0.040790,0.005346,0.003874,0.000000,10,0,10
600,2201.430,0.088200,0.825904,0.872591,0.779218,21,0.00039171,5,0.209704,0.140245,0.279163,0.828832,0.876459,0.781204,0.995857,0.994967,0.996747,0.018268,0.040938,0.005668,0.003954,0.000000,12,0,11
625,2229.153,0.087029,0.827834,0.871565,0.784103,21,0.00017504,3,0.206192,0.141587,0.270798,0.830866,0.875424,0.786308,0.995702,0.994967,0.996437,0.018218,0.039939,0.005631,0.003970,0.000000,12,0,11
650,2354.781,0.079663,0.822582,0.864841,0.780322,19,0.00012752,3,0.215182,0.151820,0.278544,0.824746,0.867748,0.781743,0.996909,0.996142,0.997676,0.019551,0.040522,0.004161,0.002925,0.000000,12,0,13
675,2379.726,0.082902,0.828645,0.875922,0.781368,19,0.00017254,2,0.206251,0.137058,0.275445,0.831248,0.879035,0.783461,0.996283,0.995974,0.996592,0.017929,0.040231,0.004364,0.004090,0.000000,12,0,13
700,2491.362,0.084629,0.827667,0.875793,0.779542,19,0.00014806,4,0.207730,0.137225,0.278234,0.830313,0.878905,0.781721,0.996205,0.995974,0.996437,0.017887,0.040797,0.004491,0.004318,0.000000,12,0,13
725,2516.018,0.078028,0.824144,0.871863,0.776425,19,0.00015789,3,0.214145,0.142929,0.285360,0.826101,0.874558,0.777644,0.997232,0.996477,0.997986,0.018436,0.041772,0.003848,0.002744,0.000000,12,0,13
750,2627.286,0.086233,0.822728,0.875793,0.769664,20,0.00012292,3,0.215630,0.137225,0.294036,0.825486,0.878905,0.772067,0.995973,0.995974,0.995972,0.017550,0.042703,0.004278,0.004588,0.000000,13,0,13
775,2652.704,0.077558,0.830129,0.877919,0.782339,20,0.00043725,5,0.205245,0.135044,0.275445,0.832162,0.880652,0.783672,0.997154,0.996477,0.997831,0.017704,0.040655,0.004254,0.002615,0.000000,13,0,13
800,2765.983,0.078958,0.829546,0.875074,0.784018,19,0.00024665,4,0.205231,0.138735,0.271727,0.831813,0.877789,0.785836,0.996767,0.996477,0.997057,0.017674,0.039539,0.004167,0.003414,0.000000,13,0,14
825,2789.812,0.080291,0.825910,0.871512,0.780308,19,0.00028951,3,0.210795,0.142426,0.279163,0.828148,0.874853,0.781443,0.996890,0.995638,0.998141,0.018278,0.040651,0.004977,0.002538,0.000000,13,0,14
850,2897.729,0.073367,0.826799,0.873898,0.779700,19,0.00026512,3,0.210988,0.141419,0.280558,0.828236,0.875829,0.780644,0.997967,0.997484,0.998451,0.018397,0.041009,0.003098,0.002378,0.000000,13,0,14
875,2921.389,0.075829,0.830442,0.875700,0.785183,19,0.00032851,2,0.204573,0.137729,0.271418,0.832394,0.878550,0.786237,0.997303,0.996309,0.998296,0.017696,0.039697,0.004387,0.002264,0.000000,13,0,14
900,3029.985,0.072431,0.831421,0.881316,0.781527,20,0.00023641,3,0.204284,0.132193,0.276375,0.833032,0.883017,0.783048,0.997670,0.997819,0.997521,0.017108,0.040229,0.002654,0.003086,0.000000,14,0,14
925,3054.014,0.073822,0.822778,0.874356,0.771200,20,0.00030690,2,0.217760,0.140245,0.295275,0.824262,0.876678,0.771846,0.997948,0.996980,0.998916,0.017989,0.043024,0.003232,0.001962,0.000000,14,0,14
950,3155.229,0.070906,0.828747,0.881429,0.776065,19,0.00029132,2,0.209306,0.131857,0.286754,0.830084,0.883262,0.776907,0.998129,0.997651,0.998606,0.017058,0.042036,0.002851,0.002015,0.000000,14,0,15
975,3178.423,0.068672,0.830020,0.885812,0.774228,19,0.00040982,2,0.208416,0.126824,0.290008,0.831119,0.887265,0.774973,0.998458,0.998155,0.998761,0.016249,0.042523,0.002307,0.001996,0.000000,14,0,15
1000,3282.709,0.068145,0.830817,0.889038,0.772596,21,0.00017515,2,0.207816,0.123301,0.292332,0.831813,0.890102,0.773524,0.998554,0.998658,0.998451,0.015910,0.042550,0.001960,0.002320,0.000000,15,1,15
1025,3308.127,0.068814,0.829005,0.889138,0.768873,21,0.00012941,3,0.210896,0.122798,0.298993,0.830038,0.890468,0.769607,0.998542,0.998322,0.998761,0.015898,0.043788,0.002147,0.002021,0.000000,15,1,15
1050,3421.357,0.067747,0.828349,0.884695,0.772003,18,0.00010422,2,0.211365,0.129005,0.293726,0.829180,0.885617,0.772744,0.998793,0.998826,0.998761,0.016629,0.043390,0.001658,0.002136,0.000000,15,1,18
1075,3443.586,0.072762,0.829110,0.887397,0.770823,18,0.00015283,1,0.209656,0.124811,0.294500,0.830486,0.888856,0.772117,0.997993,0.998155,0.997831,0.016072,0.043054,0.002385,0.003016,0.000000,15,1,18
1100,3543.754,0.068279,0.826685,0.882501,0.770868,18,0.00013689,2,0.213811,0.132193,0.295430,0.827427,0.883155,0.771699,0.998883,0.999161,0.998606,0.016857,0.043420,0.001529,0.002342,0.000000,15,1,18
1125,3564.977,0.067859,0.827818,0.883514,0.772123,18,0.00014501,1,0.212120,0.130515,0.293726,0.828602,0.884433,0.772771,0.998871,0.998826,0.998916,0.016493,0.043014,0.001841,0.002104,0.000000,15,1,18
1150,3658.834,0.067946,0.830258,0.885451,0.775066,18,0.00013696,2,0.208138,0.127663,0.288613,0.831225,0.886638,0.775812,0.998625,0.998490,0.998761,0.016124,0.042298,0.002071,0.002171,0.000000,15,1,18
1175,3680.515,0.065588,0.835289,0.893457,0.777122,18,0.00014230,2,0.201569,0.117933,0.285205,0.836134,0.894397,0.777872,0.998793,0.998826,0.998761,0.015066,0.041856,0.001822,0.002139,0.000000,15,1,18
1200,3780.894,0.068464,0.833056,0.893978,0.772134,18,0.00014971,2,0.205100,0.117094,0.293106,0.834057,0.895053,0.773060,0.998554,0.998658,0.998451,0.014943,0.043108,0.002014,0.002461,0.000000,15,1,18
1225,3802.475,0.066540,0.835594,0.896401,0.774787,18,0.00010961,2,0.201577,0.114075,0.289078,0.836507,0.897482,0.775532,0.998709,0.998658,0.998761,0.014503,0.042515,0.002018,0.002190,0.000000,15,1,18
1250,3898.134,0.066111,0.836500,0.898958,0.774043,18,0.00011947,2,0.200519,0.110720,0.290318,0.837484,0.900181,0.774787,0.998625,0.998490,0.998761,0.014068,0.042345,0.001993,0.002244,0.000000,15,1,18
1275,3919.881,0.077066,0.835630,0.893508,0.777751,18,0.00010279,2,0.198853,0.113739,0.283966,0.838012,0.897428,0.778596,0.996870,0.995135,0.998606,0.014513,0.041574,0.005056,0.002310,0.000000,15,1,18
1300,4016.589,0.065501,0.836885,0.897436,0.776333,18,0.00018037,3,0.199569,0.112229,0.286909,0.837911,0.898927,0.776894,0.998613,0.998155,0.999070,0.014242,0.041856,0.002259,0.001876,0.000000,15,1,18
1325,4039.043,0.064457,0.840174,0.898218,0.782129,18,0.00033978,3,0.194328,0.110887,0.277769,0.841247,0.899985,0.782508,0.998600,0.997819,0.999380,0.014306,0.040579,0.002678,0.001440,0.000000,15,1,18
1350,4136.419,0.069530,0.837861,0.892342,0.783380,18,0.00014572,3,0.196199,0.117262,0.275136,0.839404,0.894761,0.784047,0.997948,0.996980,0.998916,0.015063,0.040293,0.003593,0.001853,0.000000,15,1,18
1375,4158.710,0.065604,0.845538,0.897676,0.793401,18,0.00016965,3,0.184904,0.111558,0.258249,0.846959,0.899440,0.794477,0.998058,0.997819,0.998296,0.014563,0.037685,0.002777,0.002351,0.000000,15,1,18
1400,4263.405,0.068319,0.845266,0.896157,0.794375,18,0.00014711,2,0.184497,0.113068,0.255926,0.847018,0.898187,0.795848,0.997580,0.997484,0.997676,0.014542,0.037552,0.002885,0.003040,0.000000,15,1,18
1425,4286.740,0.059361,0.841443,0.897050,0.785836,18,0.00010366,2,0.192765,0.114578,0.270953,0.841894,0.897185,0.786603,0.999296,0.999832,0.998761,0.014898,0.039815,0.000790,0.002001,0.000000,15,1,18
1450,4389.692,0.060854,0.843305,0.894042,0.792569,18,0.00016148,1,0.188472,0.117765,0.259179,0.844209,0.894579,0.793839,0.998658,0.999329,0.997986,0.015062,0.038064,0.000980,0.002611,0.000000,15,1,18
1475,4411.915,0.061949,0.843853,0.899834,0.787871,18,0.00012369,1,0.188732,0.110384,0.267080,0.844723,0.900514,0.788932,0.998729,0.999161,0.998296,0.014327,0.039109,0.001396,0.002429,0.000000,15,1,18
1500,4514.963,0.060229,0.840144,0.894982,0.785305,18,0.00010085,1,0.194004,0.116591,0.271418,0.840892,0.895520,0.786263,0.998890,0.999329,0.998451,0.014890,0.039627,0.001072,0.002009,0.000000,15,1,18
1525,4537.539,0.060017,0.841453,0.897139,0.785767,18,0.00008478,1,0.192585,0.113907,0.271263,0.842058,0.897679,0.786437,0.999122,0.999329,0.998916,0.014505,0.039709,0.001344,0.001758,0.000000,15,1,18
1550,4643.716,0.059177,0.842297,0.894713,0.789880,18,0.00010043,1,0.190686,0.116927,0.264446,0.842953,0.895251,0.790655,0.999045,0.999329,0.998761,0.014835,0.038636,0.001112,0.001939,0.000000,15,1,18
1575,4666.496,0.060215,0.840743,0.897154,0.784333,18,0.00012156,1,0.193831,0.114075,0.273586,0.841280,0.897560,0.785001,0.999206,0.999497,0.998916,0.014695,0.040145,0.001085,0.001908,0.000000,15,1,18
1600,4773.984,0.062732,0.842570,0.897077,0.788064,18,0.00007332,1,0.190003,0.113236,0.266770,0.843642,0.898159,0.789126,0.998477,0.998658,0.998296,0.014567,0.038981,0.001698,0.002327,0.000000,15,1,18
1625,4796.277,0.063341,0.844621,0.900136,0.789106,18,0.00007766,1,0.187196,0.108707,0.265686,0.845827,0.901774,0.789880,0.998374,0.997987,0.998761,0.013742,0.038857,0.002265,0.002165,0.000000,15,1,18
1650,4899.131,0.058102,0.842304,0.894729,0.789880,18,0.00012074,1,0.190770,0.117094,0.264446,0.842894,0.895132,0.790655,0.999129,0.999497,0.998761,0.014861,0.038739,0.000912,0.001804,0.000000,15,1,18
1675,4921.063,0.059274,0.842350,0.895401,0.789300,18,0.00012243,4,0.190816,0.116256,0.265376,0.842939,0.895805,0.790074,0.999129,0.999497,0.998761,0.014850,0.038864,0.000963,0.002050,0.000000,15,1,18
1700,5022.741,0.061252,0.839699,0.891116,0.788283,18,0.00012548,3,0.194119,0.121624,0.266615,0.840382,0.891516,0.789248,0.998974,0.999497,0.998451,0.015411,0.039040,0.001076,0.002302,0.000000,15,1,18
