job	pair	arm	silhouette_weight	negative_space_weight	weight_ratio	area_normalized_view_loss	lambda_count	seed	overlap_mode	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_tversky	best_mean_tversky	final_patches	start_patches	max_patches	min_patches	mean_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
aw_sun_moon_r0p25	sun_moon	r0p25	0.9	3.6	0.25	True	0	0	planar	converged	2500	0.063782	0.960710	0.949808	0.971612	0.961449	2050	0.972328	0.972328	31	20	37	20	31.079	0.030126	0.970582	0.989525	0.00008242	17	1	7	13751.593
aw_sun_moon_r0p5	sun_moon	r0p5	1.5	3	0.5	True	0	0	planar	converged	2400	0.103456	0.937147	0.893592	0.980701	0.938654	2100	0.947965	0.950112	25	20	33	20	26.876	0.059389	0.945412	0.990699	0.00001087	21	0	16	11472.543
aw_sun_moon_r1	sun_moon	r1	2.25	2.25	1	True	0	0	planar	converged	1200	0.139101	0.903020	0.836999	0.969040	0.903020	1200	0.912508	0.912508	24	20	28	20	25.469	0.104914	0.909003	0.992553	0.00027809	15	0	11	5219.912
aw_sun_moon_r2	sun_moon	r2	3	1.5	2	True	0	0	planar	converged	1825	0.108327	0.885168	0.816132	0.954205	0.896615	1625	0.891821	0.902951	27	20	29	20	27.135	0.134291	0.886615	0.998012	0.00319988	13	0	6	7802.522
aw_sun_moon_r4	sun_moon	r4	3.6	0.9	4	True	0	0	planar	converged	1675	0.074000	0.883184	0.807716	0.958652	0.888849	1425	0.888952	0.894398	23	20	27	20	23.588	0.138312	0.884656	0.998044	0.00071301	13	0	10	5900.198
aw_cat_face_bass_r0p25	cat_face_bass	r0p25	0.9	3.6	0.25	True	0	0	planar	converged	1975	0.095639	0.943435	0.964146	0.922724	0.949936	1675	0.969075	0.97779	29	20	34	20	29.350	0.031490	0.968635	0.972931	0.00011380	17	1	9	10759.533
aw_cat_face_bass_r0p5	cat_face_bass	r0p5	1.5	3	0.5	True	0	0	planar	converged	1750	0.103866	0.941841	0.943823	0.939858	0.943029	1725	0.957733	0.958787	28	20	30	20	28.028	0.046774	0.954813	0.985877	0.00032770	15	0	7	7978.605
aw_cat_face_bass_r1	cat_face_bass	r1	2.25	2.25	1	True	0	0	planar	converged	1400	0.131496	0.906839	0.892851	0.920828	0.917998	1150	0.918938	0.929402	23	20	29	20	24.123	0.096849	0.911474	0.994428	0.00434453	12	0	9	5646.211
aw_cat_face_bass_r2	cat_face_bass	r2	3	1.5	2	True	0	0	planar	converged	1250	0.117794	0.890149	0.865748	0.914550	0.896542	800	0.902779	0.908577	21	20	28	20	26.020	0.118480	0.894170	0.994904	0.00050262	15	1	15	5063.886
aw_cat_face_bass_r4	cat_face_bass	r4	3.6	0.9	4	True	0	0	planar	converged	2100	0.061055	0.896207	0.870608	0.921806	0.897765	2075	0.905652	0.907269	22	20	28	20	23.506	0.115504	0.897087	0.998907	0.00024742	10	0	8	7356.075
