job_id	job_name	pair	arm	ratio	silhouette_weight	negative_space_weight	output_dir
4193900	aw_sun_moon_r0p25	sun_moon	r0p25	0.25	0.9	3.6	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_sun_moon_r0p25
4193901	aw_sun_moon_r0p5	sun_moon	r0p5	0.5	1.5	3	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_sun_moon_r0p5
4193902	aw_sun_moon_r1	sun_moon	r1	1	2.25	2.25	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_sun_moon_r1
4193903	aw_sun_moon_r2	sun_moon	r2	2	3	1.5	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_sun_moon_r2
4193904	aw_sun_moon_r4	sun_moon	r4	4	3.6	0.9	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_sun_moon_r4
4193905	aw_cat_face_bass_r0p25	cat_face_bass	r0p25	0.25	0.9	3.6	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_cat_face_bass_r0p25
4193906	aw_cat_face_bass_r0p5	cat_face_bass	r0p5	0.5	1.5	3	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_cat_face_bass_r0p5
4193907	aw_cat_face_bass_r1	cat_face_bass	r1	1	2.25	2.25	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_cat_face_bass_r1
4193908	aw_cat_face_bass_r2	cat_face_bass	r2	2	3	1.5	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_cat_face_bass_r2
4193909	aw_cat_face_bass_r4	cat_face_bass	r4	4	3.6	0.9	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_cat_face_bass_r4
4193910	aw_acm_scf_r0p25	acm_scf	r0p25	0.25	0.9	3.6	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_acm_scf_r0p25
4193911	aw_acm_scf_r0p5	acm_scf	r0p5	0.5	1.5	3	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_acm_scf_r0p5
4193912	aw_acm_scf_r1	acm_scf	r1	1	2.25	2.25	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_acm_scf_r1
4193913	aw_acm_scf_r2	acm_scf	r2	2	3	1.5	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_acm_scf_r2
4193914	aw_acm_scf_r4	acm_scf	r4	4	3.6	0.9	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_acm_scf_r4
4193915	aw_teapot_droplets_r0p25	teapot_droplets	r0p25	0.25	0.9	3.6	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_teapot_droplets_r0p25
4193916	aw_teapot_droplets_r0p5	teapot_droplets	r0p5	0.5	1.5	3	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_teapot_droplets_r0p5
4193917	aw_teapot_droplets_r1	teapot_droplets	r1	1	2.25	2.25	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_teapot_droplets_r1
4193918	aw_teapot_droplets_r2	teapot_droplets	r2	2	3	1.5	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_teapot_droplets_r2
4193919	aw_teapot_droplets_r4	teapot_droplets	r4	4	3.6	0.9	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_teapot_droplets_r4
4193920	aw_water_fire_r0p25	water_fire	r0p25	0.25	0.9	3.6	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_water_fire_r0p25
4193921	aw_water_fire_r0p5	water_fire	r0p5	0.5	1.5	3	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_water_fire_r0p5
4193922	aw_water_fire_r1	water_fire	r1	1	2.25	2.25	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_water_fire_r1
4193923	aw_water_fire_r2	water_fire	r2	2	3	1.5	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_water_fire_r2
4193924	aw_water_fire_r4	water_fire	r4	4	3.6	0.9	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_water_fire_r4
4193925	aw_dance_argument_r0p25	dance_argument	r0p25	0.25	0.9	3.6	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_dance_argument_r0p25
4193926	aw_dance_argument_r0p5	dance_argument	r0p5	0.5	1.5	3	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_dance_argument_r0p5
4193927	aw_dance_argument_r1	dance_argument	r1	1	2.25	2.25	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_dance_argument_r1
4193928	aw_dance_argument_r2	dance_argument	r2	2	3	1.5	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_dance_argument_r2
4193929	aw_dance_argument_r4	dance_argument	r4	4	3.6	0.9	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_20260722_2238/aw_dance_argument_r4
