step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.436,0.742115,0.189015,0.149595,0.228435,20,0.00000000,0,0.211138,0.093623,0.328653,0.558069,0.636024,0.480114,0.233555,0.163600,0.303510,0.034360,0.045782,0.832240,0.689033,0.000000,0,0,0,0,0
25,27.529,0.524982,0.238425,0.167678,0.309171,20,0.00000000,0,0.090589,0.034730,0.146449,0.770421,0.833215,0.707627,0.263975,0.173502,0.354449,0.012557,0.020181,0.821474,0.637978,0.000000,0,0,0,0,0
50,202.247,0.464440,0.292978,0.194351,0.391605,23,0.00009258,1,0.068325,0.028080,0.108571,0.838362,0.876783,0.799940,0.316965,0.199808,0.434122,0.010145,0.014851,0.795691,0.558673,0.000000,2,1,0,0,0
75,233.244,0.422162,0.340977,0.213365,0.468590,23,0.00019250,1,0.053651,0.026158,0.081143,0.877611,0.893277,0.861944,0.362779,0.218946,0.506612,0.009747,0.010991,0.776704,0.485815,0.000000,2,1,0,0,0
100,426.090,0.381223,0.385079,0.232154,0.538003,25,0.00038148,1,0.044658,0.021725,0.067592,0.905403,0.916096,0.894710,0.405783,0.237198,0.574367,0.007398,0.009065,0.758053,0.417708,0.000000,4,2,1,0,0
125,459.276,0.354905,0.437535,0.263387,0.611683,25,0.00029061,1,0.048628,0.018399,0.078857,0.914534,0.935808,0.893260,0.464076,0.268233,0.659918,0.006916,0.010613,0.727389,0.332132,0.000000,4,2,1,0,0
150,660.771,0.324833,0.480510,0.281798,0.679222,26,0.00018620,0,0.045524,0.016109,0.074939,0.926827,0.946738,0.906915,0.508230,0.286337,0.730122,0.005712,0.010226,0.709349,0.262295,0.000000,4,5,3,0,0
175,695.995,0.299238,0.521467,0.323354,0.719581,26,0.00000199,1,0.044592,0.014409,0.074776,0.934879,0.957920,0.911838,0.550700,0.328013,0.773388,0.004965,0.010275,0.667669,0.218936,0.000000,4,5,3,0,0
200,894.840,0.273630,0.556848,0.352347,0.761350,25,0.00000044,2,0.044010,0.009163,0.078857,0.943642,0.974878,0.912405,0.588482,0.355575,0.821388,0.003420,0.010456,0.639805,0.171891,0.000000,7,5,7,0,0
225,928.691,0.264213,0.581697,0.375465,0.787929,25,0.00000336,0,0.045659,0.011971,0.079347,0.942059,0.969457,0.914662,0.615205,0.379960,0.850449,0.004183,0.010805,0.614922,0.143391,0.000000,7,5,7,0,0
250,1143.032,0.247908,0.604993,0.397686,0.812301,25,0.00001234,0,0.043328,0.008941,0.077714,0.948334,0.978202,0.918465,0.638335,0.401241,0.875429,0.003421,0.010642,0.594135,0.117356,0.000000,7,5,7,0,0
275,1176.551,0.233296,0.626713,0.420169,0.833258,25,0.00003941,0,0.043279,0.007537,0.079020,0.950860,0.982507,0.919212,0.661219,0.423336,0.899102,0.002818,0.010682,0.571593,0.093632,0.000000,7,5,7,0,0
300,1391.520,0.228169,0.639490,0.428383,0.850597,25,0.00000252,1,0.044123,0.008572,0.079673,0.950358,0.980547,0.920170,0.675211,0.432055,0.918367,0.003103,0.010914,0.563328,0.074362,0.000000,7,5,7,0,0
325,1424.701,0.226346,0.644565,0.436172,0.852959,25,0.00000067,0,0.044910,0.008350,0.081469,0.950109,0.981369,0.918849,0.681131,0.439814,0.922449,0.003227,0.011096,0.555563,0.070353,0.000000,7,5,7,0,0
350,1637.268,0.224899,0.648160,0.436499,0.859822,25,0.00000211,0,0.045157,0.010641,0.079673,0.948703,0.976447,0.920959,0.684735,0.441144,0.928327,0.003798,0.010670,0.554075,0.064046,0.000000,7,5,7,0,0
375,1670.713,0.226050,0.649654,0.438798,0.860511,25,0.00000252,0,0.045447,0.010567,0.080327,0.948595,0.976725,0.920466,0.686534,0.443435,0.929633,0.003916,0.010946,0.551961,0.064206,0.000000,7,5,7,0,0
400,1887.605,0.227856,0.648526,0.435697,0.861355,25,0.00002347,1,0.045830,0.011823,0.079837,0.947416,0.973882,0.920951,0.685485,0.440848,0.930122,0.004374,0.010806,0.554299,0.063547,0.000000,7,5,7,0,0
425,1921.317,0.224133,0.650997,0.439663,0.862330,25,0.00008621,1,0.044469,0.009754,0.079184,0.950043,0.978502,0.921584,0.687282,0.443952,0.930612,0.003776,0.010738,0.551941,0.062323,0.000000,7,5,7,0,0
450,2139.028,0.225917,0.648797,0.432737,0.864857,25,0.00005806,0,0.043820,0.011232,0.076408,0.949562,0.974975,0.924149,0.684268,0.437597,0.930939,0.004158,0.010339,0.558158,0.063202,0.000000,7,5,7,0,0
475,2171.867,0.229080,0.649204,0.435604,0.862804,25,0.00003217,0,0.046287,0.013227,0.079347,0.946195,0.970904,0.921486,0.686315,0.441366,0.931265,0.004853,0.010639,0.554797,0.062653,0.000000,7,5,7,0,0
500,2390.015,0.222761,0.655178,0.443974,0.866383,25,0.00000642,0,0.043433,0.011601,0.075265,0.950033,0.974820,0.925247,0.690358,0.449124,0.931592,0.004362,0.010200,0.546226,0.062295,0.000000,7,5,7,0,0
525,2423.761,0.223717,0.657147,0.446146,0.868149,25,0.00000043,0,0.042814,0.013301,0.072327,0.949664,0.971419,0.927909,0.691509,0.452080,0.930939,0.004922,0.009915,0.543158,0.064591,0.000000,7,5,7,0,0
550,2637.560,0.227672,0.653224,0.448980,0.857468,25,0.00000691,1,0.045276,0.013818,0.076735,0.946901,0.970537,0.923265,0.689224,0.455184,0.923265,0.005148,0.010328,0.541210,0.071251,0.000000,7,5,7,0,0
575,2670.632,0.225433,0.655298,0.451625,0.858970,25,0.00000126,0,0.043131,0.014261,0.072000,0.948643,0.969806,0.927479,0.689441,0.458065,0.920816,0.005239,0.009714,0.537362,0.075021,0.000000,7,5,7,0,0
600,2885.501,0.227132,0.652553,0.450142,0.854964,25,0.00001961,0,0.042507,0.014483,0.070531,0.948856,0.969260,0.928453,0.685963,0.456661,0.915265,0.005410,0.009547,0.539603,0.079083,0.000000,7,5,7,0,0
625,2917.569,0.228957,0.651321,0.449414,0.853228,25,0.00000671,1,0.043405,0.014483,0.072327,0.947976,0.969211,0.926741,0.685431,0.455923,0.914939,0.005471,0.009863,0.539599,0.079977,0.000000,7,5,7,0,0
650,3132.827,0.232547,0.648212,0.452209,0.844215,25,0.00000435,0,0.045170,0.015074,0.075265,0.945820,0.968204,0.923435,0.683391,0.459026,0.907755,0.005662,0.010324,0.537087,0.085647,0.000000,7,5,7,0,0
675,3165.079,0.236721,0.647009,0.452775,0.841243,25,0.00000603,0,0.046902,0.017069,0.076735,0.943080,0.964258,0.921901,0.683150,0.460504,0.905796,0.006347,0.010512,0.535459,0.089072,0.000000,7,5,7,0,0
700,3377.144,0.234828,0.650664,0.455080,0.846247,25,0.00000398,0,0.046432,0.018252,0.074612,0.943140,0.962105,0.924175,0.686387,0.463386,0.909388,0.006656,0.010204,0.531954,0.085398,0.000000,7,5,7,0,0
725,3409.546,0.233620,0.650234,0.457652,0.842816,25,0.00000582,0,0.046243,0.016404,0.076082,0.944270,0.965935,0.922604,0.686049,0.465159,0.906939,0.006142,0.010345,0.530757,0.087993,0.000000,7,5,7,0,0
750,3617.376,0.234926,0.649907,0.458012,0.841802,25,0.00001048,0,0.046813,0.017217,0.076408,0.943298,0.964362,0.922233,0.686010,0.465898,0.906122,0.006461,0.010459,0.530340,0.086407,0.000000,7,5,7,0,0
775,3649.194,0.234105,0.651336,0.458367,0.844306,25,0.00000778,0,0.045839,0.017882,0.073796,0.943908,0.963087,0.924729,0.686588,0.466563,0.906612,0.006551,0.010029,0.529148,0.089959,0.000000,7,5,7,0,0
800,3855.661,0.231998,0.651127,0.458194,0.844059,25,0.00000257,0,0.044737,0.016330,0.073143,0.945702,0.966120,0.925284,0.685736,0.465676,0.905796,0.006011,0.010037,0.530087,0.089577,0.000000,7,5,7,0,0
825,3886.708,0.234373,0.649221,0.457377,0.841065,25,0.00001631,0,0.045565,0.017661,0.073469,0.944097,0.963444,0.924749,0.684156,0.465455,0.902857,0.006462,0.010063,0.530248,0.090717,0.000000,7,5,7,0,0
850,4091.625,0.237553,0.646918,0.457477,0.836358,25,0.00000169,0,0.048475,0.017439,0.079510,0.941475,0.963887,0.919063,0.684156,0.465455,0.902857,0.006507,0.010810,0.530480,0.089871,0.000000,7,5,7,0,0
875,4122.774,0.236631,0.649942,0.459150,0.840733,25,0.00000583,0,0.047894,0.018399,0.077388,0.941715,0.962141,0.921289,0.686697,0.467598,0.905796,0.006618,0.010673,0.528427,0.088844,0.000000,7,5,7,0,0
900,4330.818,0.235382,0.650968,0.459393,0.842544,25,0.00000774,0,0.047792,0.017217,0.078367,0.942530,0.964465,0.920596,0.687937,0.467302,0.908571,0.006426,0.010632,0.528364,0.087915,0.000000,7,5,7,0,0
925,4362.480,0.230828,0.648164,0.460758,0.835571,25,0.00000289,0,0.047202,0.012119,0.082286,0.945635,0.974672,0.916598,0.685334,0.466342,0.904327,0.004570,0.011191,0.529640,0.090181,0.000000,7,5,7,0,0
950,4572.062,0.227387,0.650401,0.459797,0.841005,25,0.00001111,0,0.045014,0.011823,0.078204,0.947910,0.975217,0.920603,0.686004,0.465233,0.906776,0.004418,0.010686,0.529836,0.087484,0.000000,7,5,7,0,0
975,4603.998,0.230845,0.648576,0.459444,0.837707,25,0.00000660,0,0.047284,0.012119,0.082449,0.945627,0.974601,0.916653,0.685893,0.465011,0.906776,0.004608,0.011259,0.530743,0.087457,0.000000,7,5,7,0,0
1000,4811.254,0.233558,0.648570,0.453006,0.844134,25,0.00000850,0,0.046154,0.016552,0.075755,0.944152,0.965304,0.923000,0.684293,0.460504,0.908082,0.006113,0.010184,0.535376,0.086182,0.000000,7,5,7,0,0
