step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.395,0.466222,0.184870,0.201753,0.167987,20,0.00000464,0,0.207316,0.262471,0.152161,0.526177,0.492494,0.559859,0.224128,0.254708,0.193548,0.035947,0.045194,0.738393,0.802813,0.000000,0,0,0,0,0
25,25.477,0.235488,0.226192,0.263895,0.188488,20,0.00000000,0,0.076269,0.096630,0.055908,0.765187,0.749679,0.780696,0.244211,0.289395,0.199026,0.013114,0.016626,0.701918,0.796199,0.000000,0,0,0,0,0
50,183.463,0.193120,0.302585,0.356462,0.248709,23,0.00007647,0,0.058616,0.073670,0.043561,0.847432,0.838581,0.856282,0.321132,0.382722,0.259543,0.009877,0.012681,0.608926,0.736134,0.000000,1,2,0,0,0
75,211.536,0.165947,0.379565,0.446451,0.312678,23,0.00010560,0,0.048339,0.061117,0.035562,0.893386,0.885732,0.901040,0.398767,0.473736,0.323798,0.008195,0.010671,0.517726,0.670788,0.000000,1,2,0,0,0
100,377.520,0.140350,0.449187,0.531882,0.366492,23,0.00009451,1,0.040693,0.054344,0.027041,0.922314,0.911654,0.932974,0.468594,0.560786,0.376402,0.007360,0.007920,0.430138,0.618265,0.000000,3,3,3,0,0
125,406.726,0.123386,0.499076,0.589193,0.408959,23,0.00013644,2,0.036858,0.054675,0.019042,0.937718,0.919130,0.956305,0.519077,0.621407,0.416746,0.007397,0.005614,0.370591,0.577529,0.000000,3,3,3,0,0
150,573.036,0.109555,0.518543,0.616003,0.421084,23,0.00009753,3,0.031190,0.048728,0.013651,0.949436,0.929862,0.969009,0.536426,0.646019,0.426832,0.006405,0.004023,0.346130,0.567976,0.000000,5,4,6,0,0
175,602.470,0.106833,0.538563,0.627436,0.449691,23,0.00001777,4,0.031994,0.051206,0.012781,0.950330,0.927957,0.972702,0.557501,0.659564,0.455439,0.006693,0.003822,0.331235,0.538753,0.000000,5,4,6,0,0
200,784.396,0.098435,0.557747,0.638977,0.476518,23,0.00012181,3,0.026334,0.039974,0.012695,0.958814,0.943259,0.974368,0.573543,0.664519,0.482567,0.005329,0.003764,0.326873,0.511783,0.000000,5,5,7,0,0
225,813.690,0.093141,0.569578,0.647143,0.492013,23,0.00009505,1,0.023726,0.035018,0.012434,0.962982,0.950316,0.975647,0.583968,0.669805,0.498131,0.004752,0.003475,0.321701,0.496185,0.000000,5,5,7,0,0
250,982.700,0.082770,0.580888,0.659623,0.502153,23,0.00003984,2,0.016714,0.023951,0.009477,0.973700,0.965753,0.981647,0.591167,0.675421,0.506912,0.003253,0.002865,0.315256,0.488391,0.000000,7,6,10,0,0
