step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.385,0.437104,0.218091,0.186612,0.249570,20,0.00000000,0,0.176882,0.178155,0.175610,0.588980,0.552389,0.625571,0.256627,0.219857,0.293397,0.040185,0.035411,0.773371,0.702228,0.000000,0,0,0,0,0
25,26.018,0.225140,0.286199,0.276682,0.295716,20,0.00000000,0,0.070166,0.062878,0.077454,0.814148,0.823850,0.804446,0.306350,0.294080,0.318620,0.013821,0.015503,0.698913,0.676389,0.000000,0,0,0,0,0
50,188.094,0.179571,0.394714,0.414358,0.375070,23,0.00007339,1,0.053739,0.048941,0.058537,0.885150,0.898794,0.871507,0.415831,0.434637,0.397026,0.010705,0.011719,0.559408,0.598522,0.000000,2,1,0,0,0
75,217.201,0.148546,0.475321,0.514499,0.436143,23,0.00000147,1,0.042369,0.043215,0.041523,0.920866,0.925484,0.916247,0.495493,0.536733,0.454253,0.009608,0.008326,0.456813,0.541046,0.000000,2,1,0,0,0
100,404.391,0.141195,0.521049,0.560724,0.481375,26,0.00000837,2,0.041670,0.045268,0.038073,0.928753,0.928303,0.929204,0.542904,0.586106,0.499703,0.010122,0.007642,0.407614,0.494879,0.000000,5,1,0,0,0
125,437.050,0.133745,0.564583,0.602711,0.526454,26,0.00004151,2,0.041438,0.043971,0.038905,0.934136,0.934681,0.933591,0.588075,0.629213,0.546936,0.009702,0.007769,0.364958,0.448382,0.000000,5,1,0,0,0
150,648.052,0.132661,0.595073,0.633250,0.556896,29,0.00006523,2,0.043311,0.041054,0.045568,0.934399,0.941376,0.927421,0.620760,0.659248,0.582272,0.009100,0.009130,0.335308,0.413519,0.000000,8,1,0,0,0
175,684.606,0.123582,0.627910,0.666701,0.589119,29,0.00009791,2,0.041140,0.036949,0.045330,0.940352,0.949266,0.931438,0.653580,0.691335,0.615824,0.008053,0.009172,0.302494,0.379168,0.000000,8,1,0,0,0
200,926.828,0.105508,0.663680,0.688710,0.638650,32,0.00009325,2,0.034344,0.032519,0.036169,0.952222,0.956269,0.948176,0.686428,0.711106,0.661749,0.006969,0.007193,0.283037,0.333655,0.000000,8,4,0,0,0
225,968.177,0.090745,0.690699,0.705182,0.676216,32,0.00005048,4,0.027848,0.025713,0.029982,0.962200,0.965671,0.958729,0.709902,0.723315,0.696490,0.005718,0.005848,0.271271,0.298786,0.000000,8,4,0,0,0
250,1198.287,0.071081,0.723417,0.719263,0.727570,29,0.00006215,4,0.019322,0.020203,0.018441,0.974461,0.973205,0.975717,0.737391,0.733794,0.740988,0.004296,0.003703,0.261114,0.253103,0.000000,11,4,6,0,0
275,1236.888,0.068051,0.736344,0.726723,0.745965,29,0.00004406,2,0.018025,0.018799,0.017252,0.976505,0.975238,0.977771,0.749609,0.740385,0.758834,0.004140,0.003547,0.254170,0.236408,0.000000,11,4,6,0,0
300,1483.920,0.068132,0.758190,0.747176,0.769204,29,0.00003907,2,0.019753,0.023444,0.016062,0.975058,0.970254,0.979863,0.773126,0.764693,0.781559,0.005106,0.003339,0.230325,0.212878,0.000000,11,4,6,0,0
325,1522.593,0.066858,0.762874,0.751109,0.774640,29,0.00002971,2,0.019175,0.023120,0.015229,0.975898,0.970793,0.981003,0.777456,0.768475,0.786437,0.005160,0.003124,0.225954,0.209255,0.000000,11,4,6,0,0
350,1771.315,0.070477,0.772512,0.762603,0.782421,29,0.00005136,3,0.021845,0.024417,0.019274,0.973047,0.969693,0.976402,0.789362,0.781223,0.797501,0.005546,0.003934,0.213628,0.197142,0.000000,11,4,6,0,0
375,1810.263,0.071120,0.771924,0.768557,0.775291,29,0.00002834,3,0.022025,0.023228,0.020821,0.972838,0.971310,0.974366,0.788921,0.786409,0.791434,0.005315,0.004265,0.209403,0.204492,0.000000,11,4,6,0,0
400,2060.033,0.068536,0.778783,0.785072,0.772494,30,0.00013450,3,0.021376,0.021932,0.020821,0.973834,0.973391,0.974276,0.795434,0.802290,0.788578,0.004866,0.004343,0.192267,0.206965,0.000000,11,5,6,0,0
425,2099.541,0.064997,0.781249,0.793464,0.769033,30,0.00005879,3,0.020262,0.021608,0.018917,0.975232,0.974036,0.976427,0.797095,0.810609,0.783581,0.004780,0.003695,0.184278,0.211587,0.000000,11,5,6,0,0
450,2340.724,0.048227,0.798383,0.818492,0.778275,31,0.00005310,2,0.012068,0.014261,0.009875,0.985352,0.983112,0.987592,0.808062,0.830164,0.785961,0.003098,0.001914,0.165486,0.209803,0.000000,14,5,8,0,0
475,2381.567,0.040236,0.799671,0.823448,0.775895,31,0.00004142,3,0.007419,0.010912,0.003926,0.991023,0.987061,0.994985,0.805687,0.832433,0.778941,0.002333,0.000832,0.162511,0.215721,0.000000,14,5,8,0,0
500,2638.345,0.040588,0.813596,0.839312,0.787879,30,0.00004162,3,0.008500,0.011884,0.005116,0.989891,0.986200,0.993581,0.820598,0.849287,0.791910,0.002640,0.001058,0.145096,0.204131,0.000000,14,5,9,0,0
525,2677.926,0.038115,0.818805,0.839457,0.798153,30,0.00001424,3,0.008225,0.011452,0.004997,0.990250,0.986692,0.993809,0.825606,0.849071,0.802142,0.002474,0.000832,0.146203,0.192606,0.000000,14,5,9,0,0
550,2931.381,0.034926,0.829516,0.846220,0.812811,30,0.00005777,1,0.006619,0.010264,0.002974,0.992251,0.988137,0.996365,0.835067,0.854905,0.815229,0.002233,0.000651,0.141023,0.178288,0.000000,14,5,9,0,0
575,2971.258,0.033166,0.834750,0.851447,0.818053,30,0.00003609,1,0.006198,0.007995,0.004402,0.992721,0.990771,0.994671,0.839954,0.858254,0.821654,0.001745,0.000902,0.136542,0.172731,0.000000,14,5,9,0,0
600,3228.858,0.031538,0.839321,0.855195,0.823446,30,0.00009109,1,0.005621,0.006482,0.004759,0.993403,0.992525,0.994281,0.844052,0.860739,0.827365,0.001435,0.000949,0.134717,0.167321,0.000000,14,5,9,0,0
625,3269.009,0.030638,0.837027,0.850865,0.823188,30,0.00002929,2,0.005075,0.005510,0.004640,0.994011,0.993601,0.994421,0.841280,0.855553,0.827008,0.001187,0.000900,0.141063,0.167587,0.000000,14,5,9,0,0
650,3526.320,0.030621,0.834239,0.842762,0.825716,30,0.00006412,2,0.004708,0.004538,0.004878,0.994412,0.994669,0.994155,0.838165,0.846586,0.829744,0.001038,0.000954,0.149169,0.164964,0.000000,14,5,9,0,0
675,3566.249,0.030552,0.840311,0.848807,0.831814,30,0.00004792,1,0.005318,0.005402,0.005235,0.993744,0.993710,0.993778,0.844781,0.853392,0.836169,0.001146,0.001028,0.142776,0.158937,0.000000,14,5,9,0,0
