group	arm	ratio	silhouette_weight	negative_space_weight	n	final_mean_iou	best_mean_iou	final_mean_tversky	best_mean_tversky	final_view1_iou	final_view2_iou	final_patches	max_patches	final_mean_spill	final_mean_coverage	final_mean_precision	final_loss	final_step	total_seconds
basic	r0p015625	0.015625	0.0692308	4.43077	2	0.836534	0.847684	0.963426	0.969791	0.796981	0.876086	34	34.5	0.019954	0.853939	0.978966	0.0468725	2312.5	12741.2
basic	r0p03125	0.03125	0.136364	4.36364	2	0.795142	0.812101	0.9512	0.959045	0.73831	0.851974	27	30.5	0.0259125	0.81706	0.971411	0.0889615	1162.5	7941.82
basic	r0p0625	0.0625	0.264706	4.23529	2	0.766815	0.771926	0.935324	0.940191	0.648801	0.88483	26	27	0.0349055	0.794927	0.959208	0.161407	1037.5	5162.38
basic	r0p125	0.125	0.5	4	2	0.84506	0.854793	0.906977	0.933423	0.83211	0.858011	29.5	32	0.097103	0.924727	0.912972	0.21065	1112.5	8005.84
basic	r0p25	0.25	0.9	3.6	2	0.895024	0.904912	0.925445	0.932846	0.903814	0.886234	33.5	35	0.0834065	0.965963	0.924091	0.174565	1300	10234.1
hard	r0p015625	0.015625	0.0692308	4.43077	1	0.746939	0.76345	0.941376	0.956191	0.779666	0.714212	26	28	0.027385	0.76812	0.967843	0.068298	1400	6671.66
hard	r0p03125	0.03125	0.136364	4.36364	1	0.838937	0.85039	0.946539	0.957965	0.79111	0.886763	27	29	0.04047	0.871822	0.9554	0.094297	1375	6898.84
hard	r0p0625	0.0625	0.264706	4.23529	1	0.861523	0.869985	0.926938	0.950552	0.835939	0.887106	33	35	0.072111	0.92215	0.931845	0.131368	2125	11241.5
hard	r0p125	0.125	0.5	4	1	0.893526	0.896517	0.944981	0.949067	0.880834	0.906218	30	34	0.054437	0.941668	0.947561	0.122207	1650	9430.92
hard	r0p25	0.25	0.9	3.6	1	0.90452	0.908292	0.941205	0.946917	0.881179	0.927861	24	27	0.062201	0.960071	0.940059	0.14435	2150	9713.89
all	r0p015625	0.015625	0.0692308	4.43077	3	0.806669	0.819606	0.956076	0.965258	0.791209	0.822128	31.3333	32.3333	0.022431	0.825333	0.975258	0.0540143	2008.33	10718
all	r0p03125	0.03125	0.136364	4.36364	3	0.80974	0.824864	0.949646	0.958685	0.75591	0.86357	27	30	0.030765	0.835314	0.966074	0.09074	1233.33	7594.16
all	r0p0625	0.0625	0.264706	4.23529	3	0.798384	0.804612	0.932529	0.943644	0.71118	0.885589	28.3333	29.6667	0.0473073	0.837335	0.950087	0.151394	1400	7188.76
all	r0p125	0.125	0.5	4	3	0.861215	0.868701	0.919645	0.938637	0.848351	0.87408	29.6667	32.6667	0.082881	0.930374	0.924502	0.181169	1291.67	8480.86
all	r0p25	0.25	0.9	3.6	3	0.898189	0.906039	0.930698	0.937536	0.896269	0.900109	30.3333	32.3333	0.076338	0.963999	0.929413	0.164493	1583.33	10060.7
