job	pair	arm	silhouette_weight	negative_space_weight	weight_ratio	area_normalized_view_loss	lambda_count	seed	overlap_mode	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_tversky	best_mean_tversky	final_patches	start_patches	max_patches	min_patches	mean_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
aw_sun_moon_r0p015625	sun_moon	r0p015625	0.0692308	4.43077	0.015625	True	0	0	planar	converged	1350	0.031142	0.851045	0.845353	0.856737	0.859439	1150	0.977231	0.980857	32	20	32	20	29.127	0.006205	0.992803	0.856323	0.00002924	17	5	10	7618.449
aw_sun_moon_r0p03125	sun_moon	r0p03125	0.136364	4.36364	0.0312501	True	0	0	planar	converged	1275	0.071759	0.834442	0.853431	0.815453	0.851346	1175	0.965621	0.972411	27	20	30	20	27.346	0.016722	0.980719	0.848433	0.00001989	13	3	9	10675.153
aw_sun_moon_r0p0625	sun_moon	r0p0625	0.264706	4.23529	0.0625001	True	0	0	planar	converged	1075	0.089255	0.885060	0.844595	0.925526	0.886704	975	0.967174	0.971566	27	20	28	20	26.636	0.023657	0.974264	0.905561	0.00005648	9	0	2	5513.496
aw_sun_moon_r0p125	sun_moon	r0p125	0.5	4	0.125	True	0	0	planar	converged	1225	0.142760	0.905406	0.878217	0.932596	0.906073	1200	0.942921	0.953742	28	20	31	20	28.240	0.060056	0.940984	0.959611	0.00039717	12	1	5	10573.395
aw_sun_moon_r0p25	sun_moon	r0p25	0.9	3.6	0.25	True	0	0	planar	converged	1425	0.082314	0.950058	0.933639	0.966477	0.952180	1125	0.962381	0.965049	36	20	38	20	34.552	0.041802	0.959841	0.989449	0.00019747	19	0	3	14065.996
aw_acm_scf_r0p015625	acm_scf	r0p015625	0.0692308	4.43077	0.015625	True	0	0	planar	converged	3275	0.062603	0.822022	0.748608	0.895435	0.835930	2975	0.94962	0.958726	36	20	37	20	28.591	0.033703	0.965129	0.851555	0.00000980	28	6	18	17863.871
aw_acm_scf_r0p03125	acm_scf	r0p03125	0.136364	4.36364	0.0312501	True	0	0	planar	converged	1050	0.106164	0.755842	0.623189	0.888495	0.772855	775	0.936779	0.945679	27	20	31	20	27.791	0.035103	0.962104	0.785688	0.00000000	15	3	11	5208.492
aw_acm_scf_r0p0625	acm_scf	r0p0625	0.264706	4.23529	0.0625001	True	0	0	planar	converged	1000	0.233558	0.648570	0.453006	0.844134	0.657147	525	0.903474	0.908815	25	20	26	20	24.707	0.046154	0.944152	0.684293	0.00000850	7	5	7	4811.270
aw_acm_scf_r0p125	acm_scf	r0p125	0.5	4	0.125	True	0	0	planar	converged	1000	0.278540	0.784714	0.786003	0.783425	0.803512	475	0.871034	0.913103	31	20	33	20	29.780	0.134150	0.884960	0.889843	0.00000000	16	3	8	5438.278
aw_acm_scf_r0p25	acm_scf	r0p25	0.9	3.6	0.25	True	0	0	planar	converged	1175	0.266816	0.839990	0.873989	0.805990	0.857644	925	0.888509	0.900643	31	20	32	20	28.833	0.125011	0.888340	0.942476	0.00000026	19	2	10	6402.150
aw_dance_argument_r0p015625	dance_argument	r0p015625	0.0692308	4.43077	0.015625	True	0	0	planar	converged	1400	0.068298	0.746939	0.779666	0.714212	0.763450	1075	0.941376	0.956191	26	20	28	20	25.860	0.027385	0.967843	0.768120	0.00006742	17	6	17	6671.659
aw_dance_argument_r0p03125	dance_argument	r0p03125	0.136364	4.36364	0.0312501	True	0	0	planar	converged	1375	0.094297	0.838937	0.791110	0.886763	0.850390	1150	0.946539	0.957965	27	20	29	20	26.393	0.040470	0.955400	0.871822	0.00004819	13	5	11	6898.840
aw_dance_argument_r0p0625	dance_argument	r0p0625	0.264706	4.23529	0.0625001	True	0	0	planar	converged	2125	0.131368	0.861523	0.835939	0.887106	0.869985	1825	0.926938	0.950552	33	20	35	20	27.930	0.072111	0.931845	0.922150	0.00007765	21	2	10	11241.521
aw_dance_argument_r0p125	dance_argument	r0p125	0.5	4	0.125	True	0	0	planar	converged	1650	0.122207	0.893526	0.880834	0.906218	0.896517	1400	0.944981	0.949067	30	20	34	20	29.791	0.054437	0.947561	0.941668	0.00000012	19	3	12	9430.921
aw_dance_argument_r0p25	dance_argument	r0p25	0.9	3.6	0.25	True	0	0	planar	converged	2150	0.144350	0.904520	0.881179	0.927861	0.908292	1725	0.941205	0.946917	24	20	27	20	25.218	0.062201	0.940059	0.960071	0.00000370	12	1	9	9713.886
aw_horse_circle_r0p015625	horse_circle	r0p015625	0.0692308	4.43077	0.015625	True	0	0	planar	converged	1975	0.032149	0.849191	0.867306	0.831075	0.851743	1800	0.97831	0.978986	30	20	36	20	30.625	0.004714	0.994606	0.853252	0.00009747	29	8	27	11956.666
aw_horse_circle_r0p03125	horse_circle	r0p03125	0.136364	4.36364	0.0312501	True	0	0	planar	converged	3050	0.032909	0.887453	0.891486	0.883419	0.887780	2925	0.98608	0.986557	25	20	31	20	25.260	0.001594	0.998220	0.888872	0.00015984	16	2	13	15224.928
aw_horse_circle_r0p0625	horse_circle	r0p0625	0.264706	4.23529	0.0625001	True	0	0	planar	converged	1800	0.125373	0.908688	0.879715	0.937660	0.917527	1625	0.963187	0.974985	34	20	35	20	28.932	0.033056	0.965953	0.938727	0.00012695	30	1	17	10083.316
aw_horse_circle_r0p125	horse_circle	r0p125	0.5	4	0.125	True	0	0	planar	converged	1075	0.150838	0.917535	0.875243	0.959828	0.940042	800	0.957366	0.972073	34	20	40	20	33.136	0.042413	0.957243	0.955987	0.00000585	27	1	14	6740.246
aw_horse_circle_r0p25	horse_circle	r0p25	0.9	3.6	0.25	True	0	0	planar	converged	1275	0.168716	0.924390	0.899858	0.948921	0.937355	925	0.954891	0.969276	37	20	38	20	34.192	0.047248	0.953375	0.967965	0.00124728	27	0	10	8295.205
