step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.379,1.080300,0.190643,0.150422,0.230864,20,0.00000000,0,0.212466,0.093992,0.330939,0.558960,0.636468,0.481453,0.235913,0.164561,0.307265,0.034504,0.045997,0.830963,0.685628,0.000000,0,0,0
25,26.630,0.826483,0.284123,0.203993,0.364253,20,0.00000238,0,0.107810,0.036356,0.179265,0.779408,0.853266,0.705551,0.320480,0.211409,0.429551,0.013350,0.024767,0.784157,0.563870,0.000000,0,0,0
50,195.336,0.706512,0.379723,0.265180,0.494266,23,0.00017184,1,0.099043,0.030740,0.167347,0.837038,0.898906,0.775170,0.425156,0.273332,0.576980,0.011285,0.022973,0.722450,0.416273,0.000000,2,1,0
75,225.339,0.611930,0.452292,0.322266,0.582318,23,0.00022021,1,0.088060,0.023794,0.152327,0.873863,0.932734,0.814991,0.500477,0.329934,0.671020,0.008634,0.020791,0.666140,0.322008,0.000000,2,1,0
100,403.445,0.549099,0.502762,0.369653,0.635871,24,0.00022747,1,0.082215,0.019286,0.145143,0.892553,0.951306,0.833801,0.552473,0.376783,0.728163,0.007047,0.019858,0.618387,0.264252,0.000000,5,1,2
125,435.198,0.486829,0.561216,0.432411,0.690021,24,0.00021137,1,0.085380,0.017291,0.153469,0.900264,0.962179,0.838349,0.617903,0.439888,0.795918,0.006427,0.020921,0.556308,0.198269,0.000000,5,1,2
150,641.064,0.436023,0.610286,0.484282,0.736290,27,0.00011450,1,0.086168,0.020173,0.152163,0.904341,0.960770,0.847911,0.671189,0.494052,0.848327,0.006990,0.020967,0.501575,0.146653,0.000000,8,1,2
175,676.696,0.397778,0.647965,0.538679,0.757250,27,0.00005353,0,0.086667,0.019212,0.154122,0.908139,0.966190,0.850087,0.711494,0.549028,0.873959,0.006888,0.021384,0.447291,0.122018,0.000000,8,1,2
200,898.447,0.373025,0.671593,0.572682,0.770503,29,0.00011364,0,0.091892,0.019212,0.164571,0.906576,0.968133,0.845018,0.740495,0.583684,0.897306,0.006951,0.022282,0.412489,0.099538,0.000000,10,2,3
225,936.195,0.357347,0.688588,0.608844,0.768332,29,0.00002592,0,0.096374,0.019360,0.173388,0.904225,0.969749,0.838700,0.761091,0.620631,0.901551,0.006755,0.024048,0.374966,0.093265,0.000000,10,2,3
250,1172.872,0.343963,0.702481,0.631476,0.773485,31,0.00003839,0,0.097330,0.019803,0.174857,0.904399,0.970166,0.838632,0.776358,0.643981,0.908735,0.006821,0.024054,0.352415,0.088454,0.000000,13,2,4
275,1213.179,0.312439,0.731287,0.675103,0.787470,31,0.00000000,0,0.090601,0.018917,0.162286,0.911315,0.973236,0.849394,0.801570,0.687874,0.915265,0.006753,0.022593,0.308709,0.081405,0.000000,13,2,4
300,1461.483,0.295435,0.748152,0.702115,0.794189,29,0.00000000,0,0.085931,0.020025,0.151837,0.915223,0.972799,0.857646,0.815475,0.716175,0.914776,0.007583,0.021222,0.280516,0.079917,0.000000,13,2,6
325,1499.254,0.282685,0.761322,0.722644,0.800000,29,0.00000601,0,0.089230,0.021725,0.156735,0.913289,0.971417,0.855160,0.831866,0.738343,0.925388,0.008070,0.021491,0.258401,0.070471,0.000000,13,2,6
350,1744.277,0.282531,0.765368,0.736246,0.794490,29,0.00000000,0,0.093149,0.024828,0.161469,0.909610,0.968143,0.851077,0.838651,0.754526,0.922776,0.009227,0.022133,0.242379,0.071804,0.000000,13,2,6
375,1781.851,0.268120,0.777113,0.742357,0.811869,29,0.00000000,0,0.086010,0.024754,0.147265,0.915982,0.968485,0.863478,0.846081,0.760733,0.931429,0.009192,0.020301,0.236008,0.064284,0.000000,13,2,6
400,2023.911,0.252988,0.787855,0.752890,0.822819,31,0.00015360,0,0.079424,0.022685,0.136163,0.922123,0.971381,0.872866,0.852413,0.769970,0.934857,0.008549,0.018715,0.226437,0.061210,0.000000,15,3,7
425,2065.418,0.243617,0.795905,0.758118,0.833693,31,0.00000289,1,0.079926,0.024015,0.135837,0.922271,0.969994,0.874548,0.861632,0.776325,0.946939,0.008692,0.018413,0.220471,0.049922,0.000000,15,3,7
450,2314.501,0.232639,0.807759,0.763361,0.852158,29,0.00000964,0,0.076021,0.024533,0.127510,0.926212,0.969586,0.882838,0.871452,0.782088,0.960816,0.008949,0.017791,0.214479,0.036857,0.000000,15,3,9
475,2352.538,0.228138,0.809483,0.758210,0.860756,29,0.00002766,0,0.073529,0.023794,0.123265,0.928592,0.970260,0.886925,0.871554,0.776251,0.966857,0.008519,0.017257,0.220622,0.029401,0.000000,15,3,9
500,2597.820,0.220104,0.815772,0.766970,0.864574,29,0.00000773,0,0.073434,0.023276,0.123592,0.929164,0.971196,0.887133,0.878125,0.784822,0.971429,0.008077,0.017399,0.212317,0.024069,0.000000,15,3,9
525,2635.973,0.217264,0.818712,0.771213,0.866212,29,0.00000551,0,0.072267,0.020616,0.123918,0.930782,0.974476,0.887087,0.880332,0.787113,0.973551,0.007702,0.017429,0.210017,0.023453,0.000000,15,3,9
550,2879.412,0.217757,0.819388,0.768837,0.869939,29,0.00000197,0,0.072424,0.023868,0.120980,0.930103,0.970572,0.889634,0.881185,0.787187,0.975184,0.008502,0.016991,0.209634,0.021934,0.000000,15,3,9
575,2917.181,0.218141,0.818721,0.770126,0.867317,29,0.00000252,0,0.071759,0.022538,0.120980,0.930757,0.972177,0.889337,0.879864,0.787482,0.972245,0.008222,0.016993,0.209436,0.025116,0.000000,15,3,9
600,3158.198,0.218858,0.817603,0.769431,0.865776,29,0.00000293,0,0.072969,0.022020,0.123918,0.929899,0.972761,0.887037,0.879718,0.786374,0.973061,0.008144,0.017203,0.210708,0.024230,0.000000,15,3,9
625,3195.729,0.221524,0.815693,0.770793,0.860593,29,0.00001482,0,0.075795,0.022611,0.128980,0.927460,0.972113,0.882807,0.879907,0.788221,0.971592,0.008566,0.017615,0.208603,0.024972,0.000000,15,3,9
650,3438.768,0.216346,0.818078,0.770965,0.865191,29,0.00000088,0,0.070489,0.019508,0.121469,0.932261,0.975782,0.888739,0.878145,0.786005,0.970286,0.007370,0.017135,0.211018,0.025636,0.000000,15,3,9
675,3476.020,0.218625,0.815727,0.767369,0.864085,29,0.00004616,1,0.072751,0.019951,0.125551,0.930405,0.975143,0.885668,0.877625,0.782679,0.972571,0.007219,0.017601,0.214390,0.024237,0.000000,15,3,9
700,3723.339,0.215507,0.816534,0.769710,0.863359,29,0.00006485,1,0.070844,0.019730,0.121959,0.931827,0.975480,0.888174,0.876775,0.784896,0.968653,0.007286,0.016582,0.212212,0.027769,0.000000,15,3,9
725,3761.861,0.213110,0.819167,0.770743,0.867591,29,0.00010681,1,0.068605,0.018843,0.118367,0.933919,0.976567,0.891272,0.877776,0.785266,0.970286,0.007080,0.016402,0.211891,0.026322,0.000000,15,3,9
750,4010.085,0.211164,0.822006,0.774486,0.869527,29,0.00010010,1,0.067482,0.020025,0.114939,0.934643,0.975278,0.894008,0.879732,0.789995,0.969469,0.007518,0.016014,0.207105,0.026829,0.000000,15,3,9
775,4048.696,0.216587,0.819020,0.775550,0.862489,29,0.00030763,2,0.073231,0.020912,0.125551,0.929874,0.974268,0.885480,0.881272,0.791768,0.970776,0.007609,0.017517,0.204949,0.026791,0.000000,15,3,9
