step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.344,0.554617,0.153583,0.185379,0.121787,20,0.00018427,0,0.161355,0.111144,0.211566,0.530201,0.649527,0.410876,0.176768,0.205982,0.147553,0.027799,0.047965,0.791809,0.849974,0.000000,0,0,0
25,25.438,0.351326,0.222757,0.234311,0.211203,20,0.00000028,1,0.071777,0.047319,0.096235,0.772367,0.838346,0.706389,0.238463,0.245398,0.231529,0.011602,0.021466,0.751586,0.766636,0.000000,0,0,0
50,175.017,0.285124,0.331248,0.310401,0.352094,23,0.00007324,0,0.054793,0.039716,0.069871,0.866980,0.890422,0.843537,0.349712,0.322729,0.376695,0.009470,0.015379,0.674236,0.621125,0.000000,3,0,0
75,201.587,0.227807,0.447374,0.404880,0.489867,23,0.00037589,1,0.041897,0.029112,0.054682,0.919493,0.934695,0.904292,0.466660,0.416667,0.516654,0.006910,0.012082,0.580286,0.480620,0.000000,3,0,0
100,373.044,0.205375,0.506919,0.459544,0.554295,25,0.00019858,1,0.039144,0.026210,0.052078,0.932683,0.947347,0.918019,0.527375,0.471589,0.583162,0.006233,0.011446,0.524840,0.414480,0.000000,6,0,1
125,402.807,0.176574,0.580996,0.510156,0.651835,25,0.00012338,1,0.034012,0.024410,0.043615,0.947562,0.955377,0.939748,0.601437,0.522609,0.680265,0.005960,0.009764,0.473596,0.317475,0.000000,6,0,1
150,599.140,0.152043,0.631588,0.554530,0.708647,28,0.00019468,2,0.029029,0.019108,0.038950,0.958525,0.967295,0.949755,0.650687,0.565126,0.736248,0.004547,0.008620,0.431980,0.260666,0.000000,8,1,1
175,633.887,0.131920,0.670289,0.615005,0.725573,28,0.00013378,3,0.023681,0.014706,0.032657,0.967606,0.976977,0.958235,0.686659,0.624050,0.749268,0.003614,0.007194,0.373390,0.247500,0.000000,8,1,1
200,836.616,0.113606,0.717942,0.684881,0.751002,28,0.00024128,2,0.020578,0.012405,0.028751,0.973273,0.982424,0.964121,0.732986,0.693377,0.772594,0.002998,0.006481,0.303752,0.224787,0.000000,11,1,4
225,871.090,0.101974,0.758710,0.738551,0.778870,28,0.00011402,3,0.020256,0.013605,0.026907,0.974802,0.982150,0.967454,0.774213,0.748599,0.799826,0.003347,0.006063,0.248961,0.197133,0.000000,11,1,4
250,1083.052,0.093062,0.790788,0.784076,0.797501,29,0.00042811,4,0.020459,0.016507,0.024411,0.975348,0.979710,0.970986,0.806994,0.797019,0.816969,0.003817,0.005506,0.201080,0.180854,0.000000,13,2,6
275,1119.285,0.084602,0.805198,0.803985,0.806411,29,0.00009797,0,0.018174,0.014106,0.022242,0.978361,0.982994,0.973728,0.819836,0.815326,0.824346,0.003302,0.004962,0.181999,0.173466,0.000000,13,2,6
300,1337.336,0.079740,0.822663,0.827464,0.817863,30,0.00004470,0,0.017848,0.014106,0.021591,0.979139,0.983468,0.974810,0.837328,0.839136,0.835521,0.003431,0.004792,0.159193,0.162220,0.000000,16,2,8
325,1374.544,0.075547,0.837025,0.849207,0.824843,30,0.00008681,1,0.017943,0.015706,0.020180,0.979348,0.982116,0.976580,0.852017,0.862545,0.841489,0.003809,0.004344,0.136146,0.156524,0.000000,16,2,8
350,1609.878,0.071644,0.845560,0.860112,0.831008,29,0.00008797,1,0.017192,0.015506,0.018878,0.980373,0.982557,0.978190,0.860073,0.873449,0.846696,0.003650,0.004162,0.124002,0.150977,0.000000,16,2,9
375,1645.957,0.074213,0.847759,0.863302,0.832215,29,0.00005594,0,0.018901,0.018707,0.019095,0.978576,0.979171,0.977981,0.863779,0.879452,0.848107,0.004642,0.003993,0.118475,0.149167,0.000000,16,2,9
400,1869.611,0.069062,0.858189,0.871186,0.845191,28,0.00007067,0,0.016906,0.019708,0.014104,0.981054,0.978297,0.983811,0.872734,0.888355,0.857112,0.004836,0.003149,0.110032,0.140533,0.000000,16,2,10
