step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.390,1.091635,0.188546,0.206013,0.171079,20,0.00000464,0,0.208155,0.263627,0.152682,0.530233,0.496847,0.563618,0.228762,0.260324,0.197200,0.036067,0.045312,0.732984,0.799247,0.000000,0,0,0
25,25.965,0.806626,0.306329,0.373141,0.239517,20,0.00001867,0,0.096866,0.121738,0.071994,0.777848,0.774687,0.781010,0.337663,0.418566,0.256760,0.016404,0.021132,0.573715,0.739221,0.000000,0,0,0
50,189.703,0.670597,0.405411,0.488431,0.322391,23,0.00004569,0,0.079051,0.106541,0.051561,0.851660,0.835333,0.867988,0.439742,0.540469,0.339014,0.013956,0.015009,0.452666,0.656751,0.000000,2,1,0
75,219.307,0.551864,0.510382,0.613878,0.406887,23,0.00002423,1,0.074973,0.104559,0.045387,0.884991,0.866399,0.903583,0.551709,0.678064,0.425354,0.013664,0.013383,0.317166,0.570156,0.000000,2,1,0
100,413.331,0.452459,0.600534,0.696471,0.504598,26,0.00001322,1,0.077029,0.113974,0.040083,0.900479,0.871914,0.929044,0.650337,0.775851,0.524824,0.014871,0.011839,0.220002,0.471214,0.000000,5,1,0
125,447.286,0.397109,0.651355,0.723486,0.579225,26,0.00008261,3,0.078524,0.118269,0.038779,0.905957,0.872462,0.939452,0.705369,0.809052,0.601687,0.015522,0.011185,0.186273,0.394173,0.000000,5,1,0
150,661.392,0.352423,0.678767,0.725999,0.631534,28,0.00005941,2,0.065491,0.108028,0.022955,0.923648,0.881608,0.965688,0.725229,0.804427,0.646031,0.014158,0.006484,0.189900,0.349729,0.000000,7,2,1
175,698.030,0.311315,0.714636,0.748272,0.681000,28,0.00015160,2,0.059118,0.099108,0.019129,0.932816,0.892454,0.973177,0.758229,0.822431,0.694027,0.013231,0.005162,0.173112,0.302162,0.000000,7,2,1
200,914.940,0.269852,0.753339,0.755268,0.751410,28,0.00013858,3,0.057293,0.097456,0.017129,0.936436,0.894793,0.978079,0.796577,0.828873,0.764281,0.012763,0.004865,0.166458,0.232026,0.000000,10,2,4
225,951.508,0.243572,0.780680,0.765817,0.795544,28,0.00013625,2,0.060136,0.101751,0.018520,0.935019,0.892383,0.977654,0.827009,0.843740,0.810277,0.013469,0.005148,0.152385,0.185633,0.000000,10,2,4
250,1182.668,0.219639,0.804042,0.762763,0.845320,27,0.00010160,2,0.059614,0.100099,0.019129,0.935850,0.893422,0.978278,0.850302,0.839115,0.861490,0.012832,0.005733,0.156349,0.134265,0.000000,10,2,5
275,1217.973,0.207565,0.816056,0.763872,0.868240,27,0.00013312,3,0.058171,0.095474,0.020868,0.937294,0.897590,0.976998,0.861580,0.836802,0.886358,0.012260,0.006029,0.158364,0.110274,0.000000,10,2,5
300,1446.409,0.196344,0.827562,0.774316,0.880808,27,0.00020107,1,0.055915,0.092005,0.019824,0.940137,0.901868,0.978407,0.871913,0.845557,0.898270,0.012213,0.005804,0.150308,0.097967,0.000000,10,2,5
325,1481.745,0.189346,0.834126,0.782418,0.885833,27,0.00009009,2,0.056489,0.091675,0.021302,0.940035,0.903074,0.976995,0.879425,0.854146,0.904704,0.012056,0.006109,0.141362,0.091886,0.000000,10,2,5
350,1705.756,0.176581,0.843297,0.793447,0.893147,26,0.00004970,3,0.048786,0.078791,0.018781,0.947743,0.915709,0.979777,0.882942,0.855963,0.909921,0.010635,0.005357,0.138753,0.086401,0.000000,10,2,6
375,1740.133,0.178421,0.843165,0.788603,0.897726,26,0.00003375,3,0.049668,0.078295,0.021042,0.946624,0.915688,0.977559,0.883481,0.850347,0.916616,0.010395,0.006181,0.144786,0.079394,0.000000,10,2,6
400,1958.506,0.171353,0.847676,0.791794,0.903559,26,0.00003527,2,0.050851,0.082920,0.018781,0.945914,0.911822,0.980006,0.888989,0.857450,0.920529,0.010584,0.005483,0.138059,0.076059,0.000000,10,2,6
425,1992.723,0.172871,0.847046,0.787708,0.906383,26,0.00001260,2,0.050977,0.083086,0.018868,0.945617,0.911256,0.979978,0.888320,0.853155,0.923485,0.010939,0.005549,0.141213,0.072602,0.000000,10,2,6
450,2211.534,0.170455,0.847858,0.790438,0.905278,26,0.00002592,2,0.050629,0.081434,0.019824,0.945999,0.913020,0.978978,0.889015,0.854807,0.923224,0.010218,0.005658,0.141061,0.072802,0.000000,10,2,6
475,2245.846,0.166957,0.852568,0.792530,0.912606,26,0.00001962,1,0.052181,0.083581,0.020781,0.944743,0.911306,0.978179,0.895171,0.858771,0.931571,0.010577,0.006016,0.136353,0.064792,0.000000,10,2,6
500,2456.686,0.169345,0.849897,0.788114,0.911679,25,0.00000445,1,0.053315,0.086720,0.019911,0.943546,0.908056,0.979035,0.893145,0.856459,0.929832,0.010946,0.005790,0.138413,0.066380,0.000000,10,2,7
525,2489.781,0.168910,0.853070,0.793559,0.912581,25,0.00000530,2,0.054428,0.087380,0.021476,0.942764,0.908048,0.977480,0.897540,0.862901,0.932180,0.011442,0.006180,0.132383,0.064455,0.000000,10,2,7
550,2699.509,0.167511,0.855079,0.795714,0.914444,25,0.00000219,2,0.055054,0.086720,0.023389,0.942235,0.908854,0.975616,0.900275,0.864718,0.935832,0.011096,0.006812,0.131340,0.060409,0.000000,10,2,7
575,2732.524,0.165831,0.855745,0.795838,0.915652,25,0.00000193,2,0.054472,0.087380,0.021563,0.942877,0.908287,0.977467,0.900388,0.865378,0.935397,0.011646,0.006168,0.128924,0.060224,0.000000,10,2,7
600,2941.864,0.167956,0.852419,0.789179,0.915659,25,0.00000237,2,0.055232,0.089858,0.020607,0.941916,0.905408,0.978425,0.897310,0.860093,0.934527,0.011391,0.005969,0.135640,0.061385,0.000000,10,2,7
625,2974.963,0.170855,0.853194,0.790176,0.916213,25,0.00000989,1,0.055850,0.089528,0.022172,0.941339,0.905805,0.976873,0.898723,0.860918,0.936527,0.011835,0.006471,0.135158,0.060091,0.000000,10,2,7
650,3185.348,0.172674,0.851644,0.786145,0.917142,25,0.00000162,2,0.057762,0.094483,0.021042,0.939540,0.901055,0.978024,0.898432,0.860423,0.936440,0.012538,0.006253,0.135390,0.059630,0.000000,10,2,7
675,3218.383,0.169128,0.852551,0.786885,0.918216,25,0.00001722,2,0.053885,0.088206,0.019564,0.943071,0.906611,0.979531,0.896236,0.856293,0.936179,0.011756,0.005616,0.139050,0.060200,0.000000,10,2,7
700,3428.003,0.169415,0.852331,0.783608,0.921055,25,0.00000779,2,0.055558,0.092336,0.018781,0.941504,0.902630,0.980378,0.897158,0.855963,0.938353,0.011943,0.005600,0.139925,0.058548,0.000000,10,2,7
725,3461.089,0.167595,0.853519,0.787502,0.919536,25,0.00000596,2,0.054559,0.089032,0.020085,0.942493,0.905950,0.979036,0.897810,0.857615,0.938005,0.011533,0.005688,0.138806,0.058609,0.000000,10,2,7
750,3669.225,0.173288,0.850852,0.780971,0.920734,25,0.00000415,2,0.055524,0.092005,0.019042,0.941366,0.902622,0.980109,0.895545,0.852825,0.938266,0.012431,0.005635,0.143572,0.058473,0.000000,10,2,7
775,3702.302,0.167273,0.854591,0.789106,0.920075,25,0.00000714,2,0.054567,0.088702,0.020433,0.942557,0.906413,0.978700,0.898988,0.859101,0.938875,0.011548,0.005919,0.136833,0.057968,0.000000,10,2,7
800,3912.081,0.163699,0.859518,0.800272,0.918765,28,0.00000573,2,0.058575,0.094979,0.022172,0.939573,0.902211,0.976936,0.907708,0.876280,0.939136,0.012440,0.006277,0.120031,0.057620,0.000000,13,2,7
