step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.377,0.699363,0.183534,0.185991,0.181076,20,0.00007088,0,0.476678,0.107229,0.846126,0.470395,0.657594,0.283197,0.270112,0.205935,0.334290,0.025123,0.049814,0.788086,0.654773,0.000000,0,0,0
25,26.533,0.482466,0.290720,0.235512,0.345928,20,0.00003200,2,0.229045,0.053141,0.404950,0.684521,0.823550,0.545491,0.367019,0.248027,0.486011,0.012427,0.023584,0.744974,0.501409,0.000000,0,0,0
50,186.865,0.407824,0.376221,0.309663,0.442779,23,0.00006957,0,0.182012,0.047669,0.316356,0.760037,0.871889,0.648185,0.453639,0.324424,0.582855,0.010852,0.018135,0.669385,0.407302,0.000000,2,1,0
75,215.683,0.366479,0.439204,0.398975,0.479433,23,0.00021875,1,0.168679,0.046827,0.290531,0.789829,0.899184,0.680473,0.518190,0.417658,0.618723,0.010718,0.016525,0.576600,0.371418,0.000000,2,1,0
100,390.322,0.329984,0.482890,0.469634,0.496146,24,0.00040303,1,0.147170,0.037883,0.256456,0.818202,0.927885,0.708520,0.555405,0.487425,0.623386,0.008743,0.014500,0.507123,0.366531,0.000000,5,1,2
125,421.097,0.311511,0.509243,0.503048,0.515437,24,0.00009688,2,0.145168,0.035673,0.254663,0.826693,0.935917,0.717469,0.583847,0.520993,0.646700,0.007876,0.014542,0.473199,0.344669,0.000000,5,1,2
150,621.553,0.291796,0.539836,0.548377,0.531294,27,0.00006309,2,0.154510,0.031043,0.277977,0.828737,0.947953,0.709520,0.622191,0.565400,0.678981,0.006988,0.015532,0.429034,0.312819,0.000000,8,1,2
175,656.510,0.264975,0.576578,0.592931,0.560226,27,0.00006565,3,0.147862,0.024203,0.271521,0.842849,0.961673,0.724025,0.659810,0.607282,0.712339,0.005343,0.015526,0.387758,0.279180,0.000000,8,1,2
200,879.616,0.248286,0.609501,0.643063,0.575939,30,0.00001860,2,0.169366,0.020941,0.317791,0.836977,0.969090,0.704863,0.707748,0.656530,0.758967,0.004729,0.018203,0.338275,0.232722,0.000000,11,1,2
225,918.805,0.233354,0.636589,0.674948,0.598229,30,0.00000401,1,0.178586,0.020730,0.336442,0.837305,0.970789,0.703821,0.744219,0.688940,0.799498,0.004616,0.019305,0.305313,0.193493,0.000000,11,1,2
250,1167.072,0.214521,0.662391,0.685095,0.639686,32,0.00001572,1,0.172584,0.020204,0.324964,0.847378,0.971905,0.722851,0.773249,0.698937,0.847561,0.004448,0.018580,0.296528,0.145382,0.000000,14,1,3
275,1208.693,0.183699,0.702131,0.718792,0.685470,32,0.00006818,2,0.138218,0.017468,0.258967,0.872927,0.976672,0.769182,0.797166,0.731348,0.862984,0.004026,0.014609,0.264494,0.131138,0.000000,14,1,3
300,1474.650,0.164644,0.735227,0.754797,0.715658,32,0.00003321,3,0.126262,0.020099,0.232425,0.883000,0.974560,0.791439,0.825981,0.769967,0.881994,0.004515,0.013244,0.224201,0.113566,0.000000,15,1,4
325,1517.262,0.152086,0.753485,0.786690,0.720280,32,0.00005247,3,0.123861,0.016732,0.230990,0.886418,0.979510,0.793325,0.843255,0.799853,0.886657,0.003848,0.013050,0.195504,0.108544,0.000000,15,1,4
350,1786.859,0.144094,0.764627,0.796707,0.732548,32,0.00004761,2,0.116909,0.016100,0.217719,0.892157,0.980500,0.803814,0.850786,0.809534,0.892037,0.003597,0.012368,0.185437,0.103361,0.000000,15,1,4
375,1829.295,0.136874,0.775838,0.814803,0.736873,32,0.00002241,1,0.116223,0.016521,0.215925,0.893125,0.980443,0.805806,0.862124,0.828265,0.895983,0.003560,0.012145,0.167663,0.098079,0.000000,15,1,4
400,2103.262,0.129100,0.785809,0.828995,0.742623,35,0.00005578,2,0.121247,0.014732,0.227762,0.891457,0.982788,0.800126,0.876486,0.841208,0.911765,0.002790,0.012893,0.154478,0.082161,0.000000,17,2,4
425,2150.554,0.125991,0.797759,0.841817,0.753700,35,0.00002853,1,0.114387,0.017152,0.211621,0.896112,0.980361,0.811862,0.884728,0.856256,0.913199,0.003669,0.012210,0.139630,0.082199,0.000000,17,2,4
450,2433.041,0.121275,0.799627,0.843396,0.755859,32,0.00001615,0,0.110869,0.012628,0.209110,0.899614,0.985430,0.813798,0.883981,0.854046,0.913917,0.002677,0.011888,0.141985,0.083092,0.000000,17,2,7
475,2476.080,0.115696,0.805764,0.848725,0.762803,32,0.00002257,0,0.104183,0.010733,0.197633,0.904893,0.987642,0.822143,0.885696,0.857834,0.913558,0.002328,0.011234,0.137717,0.082305,0.000000,17,2,7
500,2750.339,0.110241,0.813536,0.857217,0.769856,32,0.00000828,0,0.100967,0.009681,0.192253,0.907878,0.988938,0.826817,0.891689,0.865516,0.917862,0.001928,0.010972,0.130226,0.079827,0.000000,17,2,7
525,2792.036,0.109284,0.816164,0.857901,0.774427,32,0.00000306,0,0.100479,0.011575,0.189383,0.908147,0.986837,0.829457,0.894461,0.867831,0.921090,0.002270,0.010758,0.128597,0.075807,0.000000,17,2,7
550,3064.987,0.104005,0.824603,0.868904,0.780303,32,0.00001220,0,0.096715,0.009786,0.183644,0.911556,0.988969,0.834143,0.900504,0.877407,0.923601,0.001993,0.010598,0.118486,0.072933,0.000000,17,2,7
575,3107.272,0.099907,0.830336,0.876488,0.784184,32,0.00001253,0,0.098100,0.007892,0.188307,0.911519,0.991145,0.831892,0.907628,0.883405,0.931851,0.001676,0.010860,0.112349,0.064460,0.000000,17,2,7
600,3373.365,0.101002,0.827391,0.870251,0.784532,30,0.00001533,1,0.099998,0.008103,0.191894,0.910287,0.990849,0.829726,0.906190,0.877302,0.935079,0.001657,0.011033,0.118328,0.060154,0.000000,17,2,9
625,3413.727,0.099019,0.830103,0.866757,0.793449,30,0.00001785,1,0.094757,0.006945,0.182568,0.914613,0.992105,0.837120,0.905542,0.872777,0.938307,0.001494,0.010617,0.123188,0.057061,0.000000,17,2,9
650,3673.771,0.096157,0.834015,0.872988,0.795042,30,0.00003462,0,0.096572,0.006629,0.186514,0.913717,0.992512,0.834921,0.911052,0.878775,0.943329,0.001512,0.010557,0.117361,0.052699,0.000000,17,2,9
675,3713.727,0.098426,0.829961,0.867162,0.792760,30,0.00001606,1,0.097143,0.005261,0.189024,0.913482,0.994000,0.832964,0.907168,0.871725,0.942611,0.001356,0.010824,0.123542,0.053376,0.000000,17,2,9
700,3965.338,0.097272,0.830984,0.861968,0.800000,30,0.00000863,1,0.092289,0.006314,0.178264,0.916867,0.992774,0.840960,0.905011,0.867410,0.942611,0.001428,0.010230,0.128054,0.052864,0.000000,17,2,9
725,4004.082,0.098036,0.834187,0.865583,0.802791,30,0.00000046,0,0.096051,0.009892,0.182209,0.913873,0.988811,0.838935,0.911606,0.874145,0.949067,0.001932,0.010608,0.121327,0.048382,0.000000,17,2,9
750,4260.635,0.096123,0.834544,0.870361,0.798727,30,0.00001850,1,0.094905,0.006524,0.183286,0.915090,0.992608,0.837572,0.910581,0.876039,0.945122,0.001681,0.010385,0.119355,0.050662,0.000000,17,2,9
775,4300.603,0.094434,0.837144,0.872835,0.801453,30,0.00000091,0,0.096906,0.008734,0.185079,0.913546,0.990178,0.836915,0.915122,0.880459,0.949785,0.001681,0.010583,0.115206,0.045304,0.000000,17,2,9
800,4556.355,0.093673,0.840866,0.879073,0.802659,30,0.00000689,0,0.097277,0.007682,0.186872,0.913706,0.991403,0.836009,0.919240,0.885826,0.952654,0.001726,0.010747,0.110003,0.044289,0.000000,17,2,9
825,4595.311,0.094377,0.838987,0.879716,0.798259,30,0.00000681,1,0.100854,0.006945,0.194763,0.911320,0.992221,0.830418,0.919778,0.885826,0.953730,0.001558,0.011178,0.109564,0.043167,0.000000,17,2,9
850,4848.491,0.094750,0.837101,0.870695,0.803507,30,0.00000016,1,0.097413,0.008313,0.186514,0.913497,0.990620,0.836375,0.915652,0.877933,0.953372,0.001588,0.010708,0.117834,0.043377,0.000000,17,2,9
875,4887.315,0.093480,0.839224,0.872505,0.805943,30,0.00000419,0,0.094936,0.006945,0.182927,0.915586,0.992157,0.839015,0.915968,0.878565,0.953372,0.001431,0.010626,0.117448,0.042777,0.000000,17,2,9
900,5141.290,0.095637,0.837482,0.867877,0.807087,30,0.00000037,1,0.096337,0.008313,0.184362,0.914452,0.990590,0.838314,0.915487,0.875092,0.955882,0.001897,0.010553,0.121095,0.040996,0.000000,17,2,9
925,5180.247,0.092934,0.840825,0.874595,0.807055,30,0.00000013,0,0.098343,0.006945,0.189742,0.913586,0.992175,0.834997,0.920428,0.880669,0.960187,0.001525,0.010934,0.115354,0.036386,0.000000,17,2,9
