job_id	job_name	pair	arm	ratio	silhouette_weight	negative_space_weight	output_dir
4225961	aw_sun_moon_r0p015625	sun_moon	r0p015625	0.015625	0.0692308	4.43077	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_sun_moon_r0p015625
4225962	aw_sun_moon_r0p03125	sun_moon	r0p03125	0.03125	0.136364	4.36364	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_sun_moon_r0p03125
4225963	aw_sun_moon_r0p0625	sun_moon	r0p0625	0.0625	0.264706	4.23529	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_sun_moon_r0p0625
4225964	aw_sun_moon_r0p125	sun_moon	r0p125	0.125	0.5	4	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_sun_moon_r0p125
4225965	aw_sun_moon_r0p25	sun_moon	r0p25	0.25	0.9	3.6	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_sun_moon_r0p25
4225966	aw_cat_face_bass_r0p015625	cat_face_bass	r0p015625	0.015625	0.0692308	4.43077	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_cat_face_bass_r0p015625
4225967	aw_cat_face_bass_r0p03125	cat_face_bass	r0p03125	0.03125	0.136364	4.36364	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_cat_face_bass_r0p03125
4225968	aw_cat_face_bass_r0p0625	cat_face_bass	r0p0625	0.0625	0.264706	4.23529	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_cat_face_bass_r0p0625
4225969	aw_cat_face_bass_r0p125	cat_face_bass	r0p125	0.125	0.5	4	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_cat_face_bass_r0p125
4225970	aw_cat_face_bass_r0p25	cat_face_bass	r0p25	0.25	0.9	3.6	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_cat_face_bass_r0p25
4225971	aw_acm_scf_r0p015625	acm_scf	r0p015625	0.015625	0.0692308	4.43077	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_acm_scf_r0p015625
4225972	aw_acm_scf_r0p03125	acm_scf	r0p03125	0.03125	0.136364	4.36364	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_acm_scf_r0p03125
4225973	aw_acm_scf_r0p0625	acm_scf	r0p0625	0.0625	0.264706	4.23529	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_acm_scf_r0p0625
4225974	aw_acm_scf_r0p125	acm_scf	r0p125	0.125	0.5	4	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_acm_scf_r0p125
4225975	aw_acm_scf_r0p25	acm_scf	r0p25	0.25	0.9	3.6	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_acm_scf_r0p25
4225976	aw_teapot_droplets_r0p015625	teapot_droplets	r0p015625	0.015625	0.0692308	4.43077	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_teapot_droplets_r0p015625
4225977	aw_teapot_droplets_r0p03125	teapot_droplets	r0p03125	0.03125	0.136364	4.36364	/oscar/home/cjmok/automated-perspective-sculptor/results/areaweights/aw_lowratio_20260723/aw_teapot_droplets_r0p03125
