step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,2.147,0.159968,0.156430,0.163505,0.962531,20
25,41.558,0.198347,0.168981,0.227713,0.761622,20
50,301.706,0.249594,0.208710,0.290478,0.690414,23
75,348.902,0.307564,0.259762,0.355366,0.641913,23
100,630.499,0.359718,0.301525,0.417910,0.593234,24
125,679.881,0.392224,0.343350,0.441099,0.568665,24
150,994.934,0.429604,0.392220,0.466987,0.536953,27
175,1051.303,0.458458,0.437176,0.479740,0.511147,27
200,1401.709,0.483679,0.466199,0.501158,0.486302,29
225,1463.041,0.504848,0.497771,0.511926,0.463755,29
250,1821.256,0.529768,0.523785,0.535751,0.438196,29
275,1883.090,0.564881,0.565761,0.564002,0.413307,29
300,2239.437,0.590335,0.596466,0.584204,0.389196,29
325,2300.319,0.624273,0.633564,0.614982,0.359471,29
350,2669.558,0.656720,0.662386,0.651055,0.334984,30
375,2732.820,0.683571,0.687131,0.680012,0.315776,30
400,3130.968,0.700934,0.703785,0.698083,0.303944,29
425,3192.769,0.711520,0.718008,0.705032,0.298109,29
450,3590.051,0.724296,0.725821,0.722772,0.285637,29
475,3652.389,0.730077,0.722677,0.737476,0.282952,29
500,4047.157,0.740870,0.731261,0.750480,0.273545,29
525,4108.438,0.743820,0.732538,0.755102,0.274510,29
550,4501.887,0.746570,0.734418,0.758721,0.275609,29
575,4562.833,0.742768,0.735032,0.750504,0.282252,29
600,4958.162,0.744603,0.739786,0.749421,0.277014,32
625,5026.312,0.750324,0.749167,0.751480,0.270076,32
650,5462.954,0.759775,0.757440,0.762111,0.265058,34
675,5536.808,0.771632,0.769075,0.774189,0.254252,34
700,5985.647,0.781824,0.771766,0.791883,0.250958,32
725,6054.350,0.797889,0.789546,0.806233,0.237920,32
750,6496.965,0.803458,0.791465,0.815451,0.233423,32
775,6565.366,0.807848,0.793875,0.821821,0.230086,32
800,7003.782,0.804294,0.787143,0.821444,0.232647,32
825,7072.317,0.799633,0.786371,0.812896,0.236223,32
850,7511.367,0.803003,0.787248,0.818758,0.236932,32
875,7580.148,0.802975,0.786446,0.819504,0.238665,32
900,8020.107,0.803056,0.783764,0.822347,0.238369,32
925,8088.759,0.803646,0.779338,0.827954,0.241831,32
950,8529.412,0.804629,0.778498,0.830760,0.240784,32
975,8597.954,0.803886,0.779222,0.828551,0.240355,32
1000,9038.535,0.802967,0.774424,0.831511,0.241489,32
