step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.789,0.214895,0.193297,0.236492,0.775728,20
25,27.307,0.298795,0.262775,0.334814,0.621741,20
50,192.041,0.395536,0.338744,0.452328,0.532727,23
75,222.173,0.491641,0.420835,0.562447,0.449425,23
100,411.294,0.611258,0.530492,0.692023,0.357004,26
125,445.321,0.668773,0.593738,0.743809,0.308670,26
150,644.270,0.719243,0.645102,0.793384,0.263751,26
175,678.813,0.756703,0.693686,0.819721,0.233326,26
200,886.477,0.785273,0.735357,0.835189,0.209780,27
225,922.482,0.814028,0.777864,0.850191,0.185263,27
250,1135.106,0.824978,0.789789,0.860166,0.175487,24
275,1167.304,0.830908,0.791889,0.869926,0.169020,24
300,1364.345,0.833081,0.795792,0.870370,0.167414,23
325,1394.989,0.834507,0.798916,0.870098,0.164729,23
350,1592.759,0.839153,0.811753,0.866553,0.164275,26
375,1627.018,0.848336,0.823774,0.872898,0.152345,26
400,1824.801,0.861687,0.845227,0.878148,0.139341,26
425,1859.001,0.869172,0.857671,0.880672,0.131910,26
450,2054.757,0.873972,0.871835,0.876110,0.130050,23
475,2084.278,0.874392,0.872717,0.876067,0.130218,23
500,2267.215,0.874770,0.874088,0.875453,0.129409,22
525,2295.406,0.880294,0.876726,0.883862,0.126824,22
550,2476.420,0.882785,0.879094,0.886475,0.122734,25
575,2509.130,0.887034,0.883556,0.890512,0.118074,25
600,2700.868,0.885292,0.881068,0.889516,0.118915,23
625,2730.257,0.883395,0.878127,0.888663,0.119680,23
650,2917.045,0.883003,0.875537,0.890470,0.117854,22
675,2945.710,0.882668,0.881819,0.883518,0.120782,22
700,3128.913,0.884584,0.881465,0.887704,0.120182,22
725,3157.143,0.883423,0.881762,0.885083,0.119700,22
750,3344.955,0.882689,0.882072,0.883307,0.119793,22
775,3374.255,0.885887,0.884401,0.887373,0.115964,22
800,3563.184,0.885150,0.876919,0.893382,0.117512,22
825,3592.260,0.883809,0.876109,0.891510,0.120753,22
850,3778.902,0.886752,0.876218,0.897286,0.117139,22
875,3808.136,0.885790,0.875914,0.895667,0.119284,22
900,3987.024,0.886254,0.879329,0.893180,0.118551,23
