step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.398,0.221311,0.191183,0.251440,0.844565,20
25,27.035,0.331309,0.318868,0.343750,0.599463,20
50,52.670,0.436954,0.433110,0.440798,0.495492,20
75,78.577,0.515845,0.514203,0.517486,0.411044,20
100,104.891,0.568944,0.565213,0.572674,0.372158,20
125,131.054,0.594290,0.581162,0.607419,0.351601,20
150,157.049,0.622551,0.603152,0.641951,0.331924,20
175,183.284,0.653346,0.610623,0.696069,0.311486,20
200,208.908,0.679394,0.613708,0.745080,0.298164,20
225,233.463,0.687137,0.617852,0.756422,0.296003,20
250,258.112,0.700888,0.629127,0.772649,0.286238,20
275,283.048,0.716155,0.633313,0.798997,0.269505,20
300,307.905,0.723747,0.638725,0.808769,0.263628,20
325,332.075,0.726265,0.645079,0.807450,0.257743,20
350,356.115,0.722859,0.649284,0.796434,0.256400,20
375,379.943,0.720047,0.652460,0.787634,0.250556,20
400,403.989,0.722486,0.649049,0.795923,0.247220,20
425,428.626,0.723854,0.654991,0.792716,0.246329,20
450,453.098,0.724716,0.662779,0.786654,0.235027,20
475,478.329,0.726296,0.667642,0.784950,0.230555,20
500,503.557,0.726008,0.670570,0.781445,0.227813,20
525,528.013,0.729736,0.677463,0.782009,0.224282,20
550,552.938,0.730199,0.679635,0.780764,0.223394,20
575,577.656,0.734136,0.684723,0.783548,0.220352,20
600,602.003,0.736302,0.688272,0.784332,0.219473,20
625,626.015,0.738088,0.694404,0.781773,0.216730,20
650,650.234,0.740755,0.699895,0.781615,0.214909,20
675,674.620,0.744623,0.704576,0.784670,0.211683,20
700,698.505,0.743488,0.705439,0.781537,0.212283,20
725,722.984,0.747780,0.710628,0.784931,0.208564,20
750,746.845,0.751205,0.710380,0.792029,0.208468,20
775,771.462,0.751131,0.709654,0.792608,0.208980,20
800,795.519,0.749803,0.712610,0.786997,0.210385,20
825,819.734,0.755148,0.714241,0.796055,0.207773,20
850,843.959,0.752650,0.714510,0.790791,0.207976,20
875,868.059,0.755021,0.713614,0.796429,0.207615,20
900,892.778,0.751347,0.714420,0.788274,0.207948,20
925,917.017,0.753009,0.713883,0.792136,0.208606,20
950,941.730,0.750491,0.714136,0.786845,0.211408,20
975,965.944,0.746233,0.720278,0.772189,0.210499,20
