step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.384,0.156898,0.173700,0.140095,1.080129,20
25,26.548,0.268778,0.306563,0.230993,0.854215,20
50,52.257,0.411587,0.459720,0.363453,0.690121,20
75,77.894,0.531413,0.592692,0.470134,0.564034,20
100,103.911,0.610006,0.677325,0.542688,0.482432,20
125,129.741,0.650233,0.694129,0.606337,0.435799,20
150,155.571,0.680392,0.704872,0.655911,0.408193,20
175,181.728,0.708647,0.714820,0.702473,0.372489,20
200,208.140,0.719502,0.716860,0.722145,0.357080,20
225,234.320,0.738755,0.720305,0.757206,0.338137,20
250,260.237,0.758941,0.728107,0.789776,0.314182,20
275,285.803,0.774231,0.741595,0.806867,0.289263,20
300,311.517,0.787910,0.752178,0.823642,0.266161,20
325,337.122,0.796721,0.748624,0.844817,0.261433,20
350,362.760,0.809385,0.754406,0.864363,0.246006,20
375,388.575,0.811751,0.745300,0.878202,0.251472,20
400,414.471,0.815897,0.743530,0.888265,0.247242,20
425,440.040,0.820062,0.744128,0.895996,0.244069,20
450,466.092,0.822299,0.741453,0.903145,0.241452,20
475,491.882,0.825281,0.742204,0.908358,0.237348,20
500,517.649,0.828203,0.743110,0.913296,0.233349,20
525,543.226,0.829438,0.743444,0.915432,0.226947,20
550,568.999,0.831532,0.744453,0.918610,0.224878,20
575,594.846,0.830222,0.745242,0.915202,0.223997,20
600,620.895,0.828860,0.743570,0.914150,0.223923,20
625,646.847,0.829504,0.744738,0.914271,0.223616,20
650,672.889,0.828905,0.742988,0.914822,0.223400,20
675,698.769,0.828303,0.743685,0.912920,0.222242,20
700,724.541,0.827591,0.748373,0.906808,0.212872,20
725,750.169,0.828046,0.747859,0.908233,0.210263,20
750,775.984,0.826216,0.749978,0.902455,0.210166,20
775,801.837,0.827414,0.750645,0.904184,0.205986,20
800,827.615,0.828348,0.750111,0.906584,0.204706,20
825,853.082,0.820782,0.749978,0.891587,0.207756,20
850,878.775,0.824777,0.753636,0.895917,0.201861,20
875,904.547,0.827717,0.754016,0.901419,0.198525,20
900,930.165,0.828878,0.755651,0.902104,0.197431,20
925,955.429,0.830998,0.755949,0.906048,0.193251,20
950,980.802,0.832821,0.757829,0.907813,0.193525,20
975,1006.121,0.832352,0.757407,0.907297,0.192865,20
1000,1031.496,0.831744,0.755831,0.907658,0.193667,20
1025,1056.815,0.832396,0.756715,0.908077,0.192048,20
1050,1082.183,0.833223,0.756546,0.909901,0.191279,20
1075,1107.506,0.833387,0.756400,0.910375,0.190261,20
1100,1132.876,0.833205,0.756876,0.909535,0.189961,20
1125,1158.238,0.833034,0.756036,0.910032,0.190353,20
1150,1183.559,0.834152,0.757143,0.911161,0.190250,20
1175,1209.154,0.833816,0.757143,0.910489,0.189049,20
1200,1234.583,0.834803,0.757862,0.911745,0.187787,20
1225,1260.086,0.834182,0.758407,0.909956,0.186997,20
1250,1285.879,0.836091,0.758720,0.913463,0.185972,20
1275,1311.671,0.835987,0.760698,0.911277,0.185422,20
1300,1337.550,0.836798,0.761879,0.911716,0.184233,20
1325,1363.356,0.837389,0.762666,0.912113,0.185459,20
1350,1389.197,0.836503,0.762003,0.911002,0.184525,20
1375,1414.977,0.838699,0.764611,0.912788,0.182619,20
1400,1440.819,0.836152,0.761272,0.911033,0.184709,20
1425,1466.713,0.838092,0.764463,0.911722,0.184729,20
1450,1492.575,0.838100,0.764579,0.911621,0.184129,20
1475,1518.336,0.837843,0.764151,0.911535,0.185239,20
1500,1544.186,0.837433,0.765107,0.909758,0.184295,20
1525,1569.978,0.837925,0.765510,0.910340,0.183888,20
1550,1595.847,0.839444,0.766739,0.912150,0.181529,20
1575,1621.596,0.836473,0.764552,0.908394,0.184754,20
1600,1647.453,0.836340,0.762628,0.910052,0.185032,20
