step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.388,0.238827,0.242809,0.234845,0.599534,20
25,26.890,0.416015,0.401319,0.430712,0.366827,20
50,52.085,0.517243,0.486702,0.547784,0.293867,20
75,77.939,0.609507,0.556069,0.662945,0.232378,20
100,103.852,0.704680,0.659548,0.749813,0.188404,20
125,129.764,0.768308,0.750987,0.785629,0.161013,20
150,155.828,0.793826,0.774015,0.813637,0.148561,20
175,181.788,0.801097,0.770572,0.831623,0.145128,20
200,207.796,0.808652,0.777239,0.840066,0.141904,20
225,233.467,0.815238,0.792079,0.838396,0.134723,20
250,259.296,0.820789,0.810304,0.831274,0.124073,20
275,285.002,0.829686,0.830879,0.828494,0.110667,20
300,310.625,0.831778,0.842062,0.821493,0.107824,20
325,335.874,0.834249,0.851022,0.817476,0.107450,20
350,360.643,0.832254,0.857423,0.807085,0.110991,20
375,385.492,0.827865,0.860347,0.795383,0.109602,20
400,410.371,0.824254,0.862418,0.786089,0.112288,20
425,434.996,0.818063,0.864173,0.771953,0.116194,20
450,459.374,0.817401,0.861061,0.773740,0.115216,20
475,484.043,0.811368,0.856179,0.766557,0.116477,20
500,508.588,0.811274,0.859756,0.762793,0.117667,20
525,533.190,0.808815,0.856553,0.761078,0.116802,20
550,557.752,0.806944,0.850679,0.763209,0.115351,20
