job_id	job_name	pair	method	seed	output_dir
4093896	conv_acm_scf_srd_seed0	acm_scf	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_acm_scf_srd_seed0
4093897	conv_acm_scf_srd_seed1	acm_scf	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_acm_scf_srd_seed1
4093898	conv_acm_scf_srd_seed2	acm_scf	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_acm_scf_srd_seed2
4093899	conv_acm_scf_base_seed0	acm_scf	base	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_acm_scf_base_seed0
4093900	conv_acm_scf_base_seed1	acm_scf	base	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_acm_scf_base_seed1
4093901	conv_acm_scf_base_seed2	acm_scf	base	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_acm_scf_base_seed2
4093902	conv_cat_face_bass_srd_seed0	cat_face_bass	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_cat_face_bass_srd_seed0
4093903	conv_cat_face_bass_srd_seed1	cat_face_bass	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_cat_face_bass_srd_seed1
4093904	conv_cat_face_bass_srd_seed2	cat_face_bass	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_cat_face_bass_srd_seed2
4093905	conv_cat_face_bass_base_seed0	cat_face_bass	base	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_cat_face_bass_base_seed0
4093906	conv_cat_face_bass_base_seed1	cat_face_bass	base	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_cat_face_bass_base_seed1
4093907	conv_cat_face_bass_base_seed2	cat_face_bass	base	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_cat_face_bass_base_seed2
4093908	conv_horse_circle_srd_seed0	horse_circle	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_horse_circle_srd_seed0
4093909	conv_horse_circle_srd_seed1	horse_circle	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_horse_circle_srd_seed1
4093910	conv_horse_circle_srd_seed2	horse_circle	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_horse_circle_srd_seed2
4093911	conv_horse_circle_base_seed0	horse_circle	base	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_horse_circle_base_seed0
4093912	conv_horse_circle_base_seed1	horse_circle	base	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_horse_circle_base_seed1
4093913	conv_horse_circle_base_seed2	horse_circle	base	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_horse_circle_base_seed2
4093914	conv_sun_moon_srd_seed0	sun_moon	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_sun_moon_srd_seed0
4093915	conv_sun_moon_srd_seed1	sun_moon	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_sun_moon_srd_seed1
4093916	conv_sun_moon_srd_seed2	sun_moon	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_sun_moon_srd_seed2
4093917	conv_sun_moon_base_seed0	sun_moon	base	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_sun_moon_base_seed0
4093918	conv_sun_moon_base_seed1	sun_moon	base	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_sun_moon_base_seed1
4093919	conv_sun_moon_base_seed2	sun_moon	base	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_sun_moon_base_seed2
4093920	conv_water_fire_srd_seed0	water_fire	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_water_fire_srd_seed0
4093921	conv_water_fire_srd_seed1	water_fire	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_water_fire_srd_seed1
4093922	conv_water_fire_srd_seed2	water_fire	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_water_fire_srd_seed2
4093923	conv_water_fire_base_seed0	water_fire	base	0	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_water_fire_base_seed0
4093924	conv_water_fire_base_seed1	water_fire	base	1	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_water_fire_base_seed1
4093925	conv_water_fire_base_seed2	water_fire	base	2	/oscar/home/cjmok/automated-perspective-sculptor/results/convergence_20260718_1835/conv_water_fire_base_seed2
