step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,2.208,0.001972,0.003944,0.000000,1.079509,20
25,43.262,0.000603,0.001207,0.000000,0.814964,20
50,85.227,0.001080,0.002159,0.000000,0.628295,20
75,127.345,0.000642,0.001283,0.000000,0.488368,20
100,169.105,0.000992,0.001983,0.000000,0.402064,20
125,210.453,0.001193,0.002385,0.000000,0.356477,20
150,251.425,0.000957,0.001915,0.000000,0.328935,20
175,292.874,0.000922,0.001844,0.000000,0.298238,20
200,334.252,0.001286,0.002572,0.000000,0.286626,20
225,375.621,0.001404,0.002807,0.000000,0.280642,20
250,417.332,0.001546,0.003091,0.000000,0.275340,20
275,459.106,0.001207,0.002414,0.000000,0.272445,20
300,500.403,0.001209,0.002417,0.000000,0.270497,20
325,541.967,0.001465,0.002929,0.000000,0.269660,20
350,583.906,0.001463,0.002926,0.000000,0.269458,20
375,625.607,0.001059,0.002119,0.000000,0.290593,20
400,666.959,0.000616,0.001232,0.000000,0.289604,20
