step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.362,0.742229,0.217108,0.245244,0.188971,20,0.00096609,0,0.284969,0.187025,0.382914,0.507242,0.608845,0.405639,0.276221,0.291111,0.261331,0.020082,0.048054,0.087845,0.125271,0.050000,0,0,0
25,24.723,0.481334,0.372694,0.370740,0.374647,20,0.00014238,0,0.119086,0.090331,0.147842,0.780758,0.817352,0.744164,0.417133,0.404229,0.430036,0.009597,0.018114,0.067040,0.079516,0.050000,0,0,0
50,181.161,0.370933,0.485444,0.476464,0.494423,21,0.00022482,1,0.076638,0.072880,0.080396,0.872202,0.875220,0.869183,0.522681,0.511189,0.534173,0.007613,0.009659,0.054728,0.060228,0.050000,3,0,2
75,206.147,0.316148,0.560619,0.533092,0.588146,21,0.00004580,0,0.070739,0.076370,0.065108,0.894195,0.882539,0.905852,0.600121,0.573804,0.626439,0.008063,0.007944,0.048926,0.048443,0.050000,3,0,2
100,374.346,0.282212,0.603267,0.566023,0.640511,23,0.00000183,0,0.065486,0.074317,0.056655,0.906926,0.891095,0.922756,0.642444,0.608089,0.676799,0.007726,0.006813,0.045249,0.041552,0.050000,6,0,3
125,401.647,0.243030,0.656479,0.635229,0.677730,23,0.00000140,0,0.057319,0.068774,0.045863,0.923623,0.908018,0.939228,0.693864,0.678916,0.708813,0.007169,0.005481,0.037754,0.036931,0.050000,6,0,3
150,589.122,0.213138,0.698755,0.678051,0.719459,25,0.00005729,1,0.053978,0.070006,0.037950,0.931819,0.912000,0.951639,0.736140,0.725518,0.746763,0.007290,0.004557,0.033250,0.031859,0.050000,8,0,3
175,618.725,0.195427,0.725292,0.697983,0.752601,25,0.00001316,0,0.052990,0.068569,0.037410,0.935041,0.915805,0.954276,0.763299,0.745843,0.780755,0.007166,0.004563,0.031169,0.028105,0.050000,8,0,3
200,822.412,0.180067,0.750354,0.724415,0.776293,25,0.00002883,1,0.053784,0.071238,0.036331,0.936355,0.915920,0.956791,0.790259,0.776021,0.804496,0.007677,0.004458,0.028627,0.025321,0.050000,8,0,3
225,852.514,0.165191,0.774550,0.754419,0.794680,25,0.00000979,1,0.057299,0.080066,0.034532,0.935110,0.910530,0.959689,0.818472,0.814822,0.822122,0.008326,0.004306,0.025424,0.023322,0.050000,8,0,3
