step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.354,1.489770,0.161199,0.164435,0.157964,20,0.00000000,0,0.076986,0.090495,0.063476,0.695182,0.664598,0.725765,0.173653,0.179315,0.167990,0.024774,0.027771,0.196353,0.273964,0.050000,0,0,0
25,25.025,1.182863,0.290809,0.296457,0.285161,20,0.00000000,0,0.037297,0.050037,0.024557,0.891992,0.861519,0.922466,0.301727,0.311291,0.292163,0.013400,0.010479,0.158564,0.223785,0.050000,0,0,0
50,192.421,0.920441,0.437709,0.429135,0.446283,21,0.00000930,0,0.026391,0.036830,0.015952,0.944783,0.923552,0.966013,0.449171,0.444940,0.453402,0.009846,0.006790,0.126673,0.171820,0.050000,3,0,2
75,218.692,0.717142,0.556593,0.541224,0.571962,21,0.00019929,2,0.021612,0.033296,0.009929,0.963455,0.943808,0.983102,0.568443,0.559245,0.577641,0.008843,0.003948,0.100942,0.131663,0.050000,3,0,2
100,397.322,0.612221,0.619714,0.609610,0.629819,21,0.00093552,1,0.015787,0.022042,0.009531,0.975531,0.965830,0.985231,0.629434,0.623047,0.635822,0.006185,0.004013,0.084968,0.113788,0.050000,4,0,3
125,423.707,0.531815,0.669701,0.659849,0.679554,21,0.00132413,0,0.015782,0.023158,0.008406,0.977359,0.966835,0.987882,0.680198,0.675130,0.685266,0.006396,0.003560,0.073666,0.098319,0.050000,4,0,3
150,595.418,0.471554,0.710237,0.707915,0.712560,19,0.00128663,2,0.018161,0.028181,0.008141,0.975760,0.962726,0.988794,0.723113,0.727865,0.718361,0.007743,0.003426,0.063157,0.088143,0.050000,5,0,6
175,619.527,0.427158,0.739232,0.730762,0.747701,19,0.00082216,2,0.021138,0.034598,0.007678,0.973076,0.956240,0.989912,0.754744,0.756045,0.753442,0.009582,0.003223,0.058555,0.077237,0.050000,5,0,6
200,781.388,0.397147,0.763903,0.746071,0.781735,19,0.00001149,1,0.030399,0.053385,0.007413,0.963533,0.936392,0.990674,0.786715,0.785900,0.787530,0.015014,0.003344,0.056338,0.066863,0.050000,5,0,6
225,805.278,0.367034,0.784355,0.758220,0.810491,19,0.00000802,0,0.035283,0.063616,0.006950,0.959220,0.926884,0.991556,0.811289,0.806455,0.816124,0.017899,0.002856,0.054212,0.057753,0.050000,5,0,6
250,964.753,0.347589,0.797713,0.762202,0.833224,19,0.00004113,1,0.039854,0.072824,0.006884,0.955043,0.918225,0.991862,0.828334,0.817708,0.838959,0.020434,0.002828,0.053595,0.050627,0.050000,5,0,6
275,988.217,0.326802,0.811560,0.763273,0.859846,19,0.00001293,0,0.044085,0.080822,0.007347,0.951180,0.910771,0.991589,0.845563,0.824963,0.866164,0.022583,0.002955,0.053769,0.042393,0.050000,5,0,6
300,1147.615,0.295542,0.829759,0.761360,0.898158,18,0.00020461,0,0.047502,0.088914,0.006089,0.948224,0.903141,0.993306,0.866341,0.829055,0.903627,0.024822,0.002406,0.054402,0.030450,0.050000,5,0,7
325,1170.051,0.280608,0.837954,0.764444,0.911463,18,0.00057798,1,0.046802,0.086589,0.007016,0.949006,0.905597,0.992414,0.874247,0.830636,0.917858,0.024145,0.002678,0.053544,0.026445,0.050000,5,0,7
350,1321.218,0.272899,0.841902,0.762235,0.921569,17,0.00078074,1,0.045529,0.085100,0.005957,0.950162,0.906709,0.993615,0.877080,0.827102,0.927059,0.024000,0.002468,0.054134,0.023416,0.050000,5,0,8
375,1342.569,0.258828,0.850954,0.767961,0.933947,17,0.00091003,1,0.047254,0.087426,0.007082,0.948879,0.905232,0.992526,0.887831,0.835100,0.940561,0.024592,0.002841,0.052905,0.019442,0.050000,5,0,8
400,1486.325,0.256064,0.854898,0.772743,0.937054,16,0.00164204,1,0.050184,0.089844,0.010524,0.946305,0.903602,0.989008,0.894542,0.842169,0.946916,0.025150,0.004159,0.051796,0.018521,0.050000,5,0,9
425,1506.186,0.246814,0.859796,0.778253,0.941338,16,0.00133842,1,0.048504,0.087147,0.009862,0.948175,0.906618,0.989732,0.898349,0.846075,0.950622,0.024469,0.004009,0.050411,0.017308,0.050000,5,0,9
450,1640.730,0.235903,0.868299,0.790515,0.946084,15,0.00100808,0,0.050217,0.086403,0.014032,0.947087,0.908590,0.985584,0.909088,0.858817,0.959359,0.024238,0.005804,0.047560,0.015818,0.050000,5,0,10
475,1659.228,0.216973,0.881498,0.811060,0.951937,15,0.00033214,0,0.052401,0.089844,0.014959,0.946245,0.907736,0.984753,0.925053,0.883929,0.966177,0.024980,0.006237,0.042603,0.014036,0.050000,5,0,10
500,1785.512,0.219167,0.876077,0.787210,0.964943,13,0.00041213,0,0.049009,0.087891,0.010127,0.948321,0.906924,0.989717,0.915557,0.856399,0.974715,0.024479,0.004521,0.048292,0.010167,0.050000,5,0,12
525,1801.895,0.200290,0.890520,0.808815,0.972226,13,0.00101912,0,0.051778,0.093099,0.010458,0.947098,0.904730,0.989467,0.933254,0.884115,0.982393,0.025850,0.004592,0.043388,0.007917,0.050000,5,0,12
550,1913.968,0.220305,0.879017,0.786181,0.971853,12,0.00161812,1,0.054096,0.097005,0.011186,0.943820,0.898895,0.988745,0.922584,0.862444,0.982724,0.027075,0.004970,0.048976,0.008058,0.050000,5,0,13
575,1929.373,0.206397,0.888371,0.801034,0.975709,12,0.00192633,2,0.054242,0.097563,0.010921,0.944582,0.900114,0.989049,0.932775,0.879185,0.986365,0.027136,0.005014,0.045340,0.006934,0.050000,5,0,13
