step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.392,1.012011,0.150333,0.126963,0.173704,20,0.00016185,0,0.466056,0.203275,0.728837,0.360439,0.429077,0.291802,0.226538,0.152771,0.300305,0.042887,0.056541,0.185008,0.102577,0.050000,0,0,0
25,26.445,0.779154,0.204872,0.156126,0.253619,20,0.00001391,1,0.229354,0.097343,0.361366,0.563145,0.637681,0.488610,0.258296,0.171324,0.345268,0.020354,0.027551,0.163319,0.072443,0.050000,0,0,0
50,193.540,0.690361,0.262186,0.206052,0.318321,22,0.00000097,1,0.172197,0.074897,0.269498,0.673606,0.747295,0.599918,0.312796,0.221484,0.404108,0.015548,0.020464,0.150499,0.061615,0.050000,3,0,1
75,220.558,0.599655,0.356757,0.292002,0.421512,22,0.00001495,1,0.153977,0.066766,0.241188,0.753976,0.823494,0.684459,0.417337,0.311498,0.523175,0.013816,0.018199,0.133102,0.050773,0.050000,3,0,1
100,409.313,0.493822,0.457935,0.419028,0.496843,23,0.00014822,2,0.140744,0.050847,0.230641,0.811292,0.896479,0.726104,0.525885,0.440334,0.611435,0.010483,0.017313,0.107304,0.043370,0.050000,5,1,3
125,437.927,0.427670,0.514537,0.497259,0.531815,23,0.00031981,0,0.113252,0.044434,0.182070,0.848303,0.921186,0.775419,0.573998,0.519354,0.628643,0.009200,0.013677,0.092261,0.038782,0.050000,5,1,3
150,616.324,0.386448,0.551718,0.560994,0.542442,23,0.00031272,2,0.104919,0.045809,0.164030,0.860682,0.927576,0.793789,0.609055,0.586693,0.631418,0.009470,0.012291,0.080661,0.037202,0.050000,6,2,5
175,645.225,0.356828,0.574916,0.609097,0.540735,23,0.00047858,2,0.098622,0.042373,0.154871,0.869359,0.937437,0.801282,0.629693,0.634906,0.624480,0.008741,0.011777,0.071321,0.037251,0.050000,6,2,5
200,845.832,0.338312,0.599042,0.645739,0.552345,25,0.00022399,3,0.106686,0.041571,0.171801,0.866015,0.941790,0.790241,0.659911,0.672584,0.647238,0.008679,0.013131,0.064783,0.037031,0.050000,8,2,5
225,877.941,0.319323,0.617346,0.672297,0.562396,25,0.00022862,2,0.103701,0.044205,0.163197,0.870550,0.940761,0.800340,0.678096,0.702016,0.654177,0.009081,0.012456,0.059859,0.035760,0.050000,8,2,5
250,1090.334,0.305310,0.636842,0.689262,0.584422,25,0.00018747,2,0.106419,0.044091,0.168748,0.872080,0.942270,0.801890,0.701347,0.719652,0.683042,0.009023,0.012770,0.056831,0.033999,0.050000,9,2,6
275,1122.615,0.285650,0.662704,0.713361,0.612046,25,0.00028062,3,0.107195,0.043976,0.170414,0.876034,0.944243,0.807825,0.730540,0.744732,0.716347,0.009043,0.012943,0.052368,0.031790,0.050000,9,2,6
300,1346.693,0.272167,0.679714,0.741563,0.617865,25,0.00021163,3,0.119013,0.041800,0.196225,0.869439,0.948671,0.790208,0.755833,0.772561,0.739106,0.008582,0.014960,0.047067,0.031835,0.050000,9,2,6
325,1379.183,0.262732,0.693629,0.747118,0.640140,25,0.00020336,1,0.116116,0.042945,0.189287,0.874320,0.947764,0.800876,0.770256,0.779203,0.761310,0.008884,0.014489,0.046060,0.029784,0.050000,9,2,6
350,1597.027,0.251453,0.710771,0.754640,0.666901,25,0.00019475,2,0.113365,0.042716,0.184013,0.879756,0.948509,0.811003,0.788248,0.786876,0.789620,0.008806,0.014269,0.044590,0.027645,0.050000,9,2,6
375,1628.979,0.241009,0.721913,0.765036,0.678789,25,0.00028668,0,0.111264,0.039624,0.182903,0.883507,0.952544,0.814471,0.799146,0.795350,0.802942,0.008227,0.014071,0.042696,0.026424,0.050000,9,2,6
