step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.420,0.721905,0.285406,0.264819,0.305994,20,0.00017358,0,0.193571,0.180171,0.206971,0.637590,0.634321,0.640860,0.340929,0.312531,0.369326,0.024248,0.030491,0.104397,0.108828,0.050000,0,0,0
25,27.439,0.468361,0.470978,0.457935,0.484020,20,0.00014587,1,0.087992,0.070793,0.105190,0.854757,0.873842,0.835673,0.512644,0.490354,0.534934,0.009351,0.015447,0.069589,0.074098,0.050000,0,0,0
50,198.857,0.287202,0.675128,0.685978,0.664279,21,0.00006870,1,0.067598,0.054018,0.081177,0.914467,0.930484,0.898450,0.720618,0.723033,0.718203,0.006946,0.011902,0.039327,0.046966,0.050000,2,1,2
75,225.593,0.209645,0.767208,0.778312,0.756105,21,0.00014818,0,0.062926,0.047307,0.078544,0.928647,0.945147,0.912147,0.815312,0.815132,0.815492,0.006080,0.011374,0.027453,0.033667,0.050000,2,1,2
100,395.769,0.178735,0.805173,0.818997,0.791349,19,0.00027315,1,0.062693,0.047307,0.078079,0.931942,0.947729,0.916154,0.855440,0.857742,0.853137,0.006016,0.011263,0.022220,0.028656,0.050000,2,1,4
125,420.320,0.159422,0.827955,0.856428,0.799483,19,0.00001662,1,0.058261,0.038752,0.077769,0.937737,0.958258,0.917216,0.875637,0.889616,0.861658,0.004924,0.011261,0.017534,0.027510,0.050000,2,1,4
150,590.488,0.139307,0.845145,0.873443,0.816848,19,0.00001096,0,0.044967,0.023318,0.066615,0.951774,0.974575,0.928973,0.882536,0.893810,0.871263,0.002928,0.009557,0.015274,0.024916,0.050000,2,1,4
175,615.330,0.129574,0.855153,0.885389,0.824916,19,0.00008711,1,0.040863,0.017279,0.064446,0.956400,0.981177,0.931624,0.889383,0.900688,0.878079,0.002010,0.009414,0.013660,0.023799,0.050000,2,1,4
200,777.360,0.122195,0.862622,0.888889,0.836356,17,0.00003208,0,0.037719,0.016105,0.059334,0.959858,0.982482,0.937234,0.894592,0.903204,0.885980,0.001939,0.008617,0.013332,0.022114,0.050000,2,1,6
225,799.368,0.115045,0.868920,0.896911,0.840929,17,0.00004944,0,0.034595,0.015434,0.053757,0.963071,0.983336,0.942805,0.898444,0.910753,0.886135,0.001819,0.007716,0.012256,0.021314,0.050000,2,1,6
250,950.185,0.109312,0.874594,0.898196,0.850991,16,0.00027054,1,0.030180,0.013421,0.046940,0.967710,0.985470,0.949950,0.900594,0.910250,0.890937,0.001639,0.006777,0.012232,0.019934,0.050000,2,1,7
275,971.601,0.105330,0.876751,0.902778,0.850724,16,0.00011115,1,0.026198,0.014595,0.037800,0.971630,0.984316,0.958943,0.899418,0.915954,0.882881,0.001706,0.005495,0.011576,0.019908,0.050000,2,1,7
300,1118.523,0.104867,0.874596,0.893874,0.855319,14,0.00015510,1,0.022196,0.013253,0.031139,0.975738,0.985579,0.965898,0.893836,0.905721,0.881952,0.001685,0.004494,0.012776,0.019054,0.050000,2,1,9
